Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,LAUKARIA,AHIR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544285)
2,LAUKARIA,AHIR TOLA WEST,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544286)
3,LAUKARIA,BALWA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544287)
4,LAUKARIA,BHATHER TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544288)
5,LAUKARIA,BIRTA TOLA,Shallow tubewell,Ground Water,,HandPump,Bairia Scheme(0001959347)
6,LAUKARIA,KACHARI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544289)
7,LAUKARIA,KOSHAL ROY KE TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544290)
8,LAUKARIA,LAUKANYA,Shallow tubewell,Ground Water,,HandPump,Bairia Scheme(0001959350)
9,LAUKARIA,LAUKANYA,Deep tubewell,Ground Water,Road Side,HandPump,Bairiya Scheme(0006550248)
10,LAUKARIA,LAUKANYA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Bairiya Scheme(0006550248)
11,LAUKARIA,MOORGAHI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544291)
12,LAUKARIA,MURGAHI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544292)
13,LAUKARIA,NAWAKA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544293)
14,LAUKARIA,POKHARIA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544294)
15,LAUKARIA,R. RAI KE TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544295)
16,LAUKARIA,RAMESHWAR LAL KE TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544296)
17,LAUKARIA,S. RAI KE TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544297)
18,LAUKARIA,SUKARAJ RAUT KE TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544298)
19,LAUKARIA,THAKUR KE TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544299)
20,LAUKARIA,THAKUR RAUT KE TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544300)
21,LAUKARIA,VRITA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544301)
22,LAUKARIA,YADU ROY KE TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544302)
