Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BALUA RAMPUR,BALUWA,Shallow tubewell,Ground Water,,HandPump,Bairia Scheme(0001959216)
2,BALUA RAMPUR,BALWA RAMPURWA,Shallow tubewell,Ground Water,,HandPump,Bairia Scheme(0001959220)
3,BALUA RAMPUR,BALWA RAMPURWA,Deep tubewell,Ground Water,Near Chaw k,HandPump,Bairiya Scheme(0006546000)
4,BALUA RAMPUR,BALWA RAMPURWA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Bairiya Scheme(0006546000)
5,BALUA RAMPUR,BIN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544223)
6,BALUA RAMPUR,HARIZAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544224)
7,BALUA RAMPUR,KAMAL NATH TIWARI KA TOLA,Shallow tubewell,Ground Water,,HandPump,Bairia Scheme(0001959225)
8,BALUA RAMPUR,KOIRI TOLA,Shallow tubewell,Ground Water,,HandPump,Bairia Scheme(0001959230)
9,BALUA RAMPUR,MUSHAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544225)
10,SIRSIA MATHIA,KUMAHAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544226)
11,SIRSIA MATHIA,MUSHAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544227)
12,SIRSIA MATHIA,REFUGEE COLONY,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544228)
13,SIRSIA MATHIA,S. MATHIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544229)
14,SIRSIA MATHIA,SHEKH TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544230)
15,SIRSIA MATHIA,SIRISEA MATHEA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Bairiya Scheme(0006546012)
16,SIRSIA MATHIA,SIRISEA MATHEA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544231)
17,TOLA MALAHI,BANDH TOLA,Shallow tubewell,Ground Water,,HandPump,Bairia Scheme(0001959244)
18,TOLA MALAHI,BARHI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544232)
19,TOLA MALAHI,BAZAR KE WEST,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544233)
20,TOLA MALAHI,DOM TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544234)
21,TOLA MALAHI,KUHAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544235)
22,TOLA MALAHI,MALAH TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544236)
23,TOLA MALAHI,TOLA MALAHI,Deep tubewell,Ground Water,Malahi Tola,HandPump,Bairiya Scheme(0006550080)
24,TOLA MALAHI,TOLA MALAHI,Deep tubewell,Ground Water,Inside Habitatin,HandPump,Bairiya Scheme(0006550080)
25,TOLA MALAHI,TOLA MALAHI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544237)
