Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAIKUNTHWA,BAIKUNTHWA,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,NAUTAN SCHEME(0006549603)
2,BAIKUNTHWA,BAIKUNTHWA,Deep tubewell,Ground Water,HARIJAN TOLI,HandPump,NAUTAN SCHEME(0006549603)
3,BAIKUNTHWA,BAIKUNTHWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546339)
4,BAIKUNTHWA,JOY NAGAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546340)
5,BAIKUNTHWA,MURATIA,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958430)
6,BAIKUNTHWA,MURATIA,Deep tubewell,Ground Water,Murtia Tola,HandPump,Nautan Scheme(0007072934)
7,BISHUNPURA,BALUHI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546341)
8,BISHUNPURA,BARHAM PUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546342)
9,BISHUNPURA,BISUN PURA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546343)
10,BISHUNPURA,CHAWTARIYA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546344)
11,BISHUNPURA,CHURIYBA TOLA,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958434)
12,BISHUNPURA,DUSADH TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546345)
13,BISHUNPURA,HARDIYA TOLA,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958451)
14,BISHUNPURA,HARDIYA TOLA,Deep tubewell,Ground Water,Near P.C.C. Road,HandPump,Nautan Scheme(0007072934)
15,BISHUNPURA,KATHAIYA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546346)
16,BISHUNPURA,KATHAIYA CHAWK,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546347)
17,BISHUNPURA,MAHUAWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546348)
18,BISHUNPURA,MALAH TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546349)
19,BISHUNPURA,MUSHAHER TOLI,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958454)
20,BISHUNPURA,PACHHAMI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546350)
21,BISHUNPURA,PURBARI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546351)
22,BISHUNPURA,SEMRAHI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546352)
23,PATERWA,PATERWA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nautan Scheme(0007072934)
24,PATERWA,PATERWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546353)
