Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BARDAHA,BANHAORA,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958459)
2,BARDAHA,BARDAHA,Shallow tubewell,Ground Water,Near P.C.C. Road,HandPump,Nautan Scheme(0001958467)
3,BARDAHA,BARDAHA,Deep tubewell,Ground Water,MANDRI KE PASS,HandPump,NAUTAN SCHEME(0006549795)
4,BARDAHA,BARDAHA,Deep tubewell,Ground Water,MANDIR KE PASS,HandPump,NAUTAN SCHEME(0006550036)
5,BARDAHA,BARDAHA,Deep tubewell,Ground Water,MANDIR KE PASS,HandPump,NAUTAN SCHEME(0006550037)
6,BARDAHA,BARDAHA,Deep tubewell,Ground Water,PASWAN TOLI,HandPump,NAUTAN SCHEME(0006550393)
7,BARDAHA,HARI NAGAR,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958470)
8,BARDAHA,HARIZAN TOLA,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001978303)
9,BARDAHA,MALAH TOLI,Shallow tubewell,Ground Water,Near Primary School,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004662691)
10,BARDAHA,MALAH TOLI,Shallow tubewell,Ground Water,Near P.C.C. Road,HandPump,Nautan Scheme(0001958492)
11,MARUAHA,AHIR TOLA,Deep tubewell,Ground Water,Near School Side,HandPump,Nautan Scheme(0007072934)
12,MARUAHA,AHIR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546354)
13,MARUAHA,CHAMAR TOLI,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958498)
14,MARUAHA,HAZAM TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546355)
15,MARUAHA,MARUAHA,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958504)
16,MARUAHA,MARUAHA,Deep tubewell,Ground Water,CHAWK SIDE,HandPump,NAUTAN SCHEME(0006551160)
17,MARUAHA,MARUAHA,Deep tubewell,Ground Water,ROAD SIDE,HandPump,NAUTAN SCHEME(0006551160)
18,MARUAHA,MUKHIYA KA TOLA,Deep tubewell,Ground Water,Near Purana Mukhiya Niw as,HandPump,Nautan Scheme(0007072934)
19,MARUAHA,MUKHIYA KA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546356)
20,MARUAHA,MUSAHER TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546357)
21,MARUAHA,SIHULIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546358)
22,MARUAHA,SONAR PATTI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546359)
