Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BHAGWANPUR,BAGHAWAN YADAV KA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546360)
2,BHAGWANPUR,BHAGWANPUR,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004734678)
3,BHAGWANPUR,BHAGWANPUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546361)
4,BHAGWANPUR,MALAH TOLI,Deep tubewell,Ground Water,Malah Basti,HandPump,Nautan Scheme(0007072934)
5,BHAGWANPUR,MALAH TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546362)
6,BHAGWANPUR,NAYA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546363)
7,BISAMBHARPUR,BISHAMBHAR PUR,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nautan Scheme(0007072934)
8,BISAMBHARPUR,BISHAMBHAR PUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546364)
9,FULIAKHAR,BANGLA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546365)
10,FULIAKHAR,FULIAKHAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546366)
