Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,DHUMNAGAR,BAGAICHA TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Nautan Scheme(0007072934)
2,DHUMNAGAR,BAGAICHA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546378)
3,DHUMNAGAR,BARORIA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546379)
4,DHUMNAGAR,BHUALI TOLA,Deep tubewell,Ground Water,Near P.C.C. Road,HandPump,Nautan Scheme(0007072934)
5,DHUMNAGAR,BHUALI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546380)
6,DHUMNAGAR,CHAMAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546381)
7,DHUMNAGAR,DHOOM NAGAR,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004662753)
8,DHUMNAGAR,DHOOM NAGAR,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958514)
9,DHUMNAGAR,DHOOM NAGAR,Deep tubewell,Ground Water,Road Side,HandPump,NAUTAN SCHEME(0006558719)
10,DHUMNAGAR,DHOOM NAGAR,Deep tubewell,Ground Water,Inside Habitation,HandPump,NAUTAN SCHEME(0006558719)
11,DHUMNAGAR,DHUSWA,Deep tubewell,Ground Water,Near Nahar,HandPump,Nautan Scheme(0007072934)
12,DHUMNAGAR,DHUSWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546382)
13,DHUMNAGAR,JAG TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546383)
14,DHUMNAGAR,KACHAHRI TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,NAUTAN SCHEME(0006558743)
15,DHUMNAGAR,KACHAHRI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546384)
16,DHUMNAGAR,KHAP TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546385)
17,DHUMNAGAR,KOHAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546386)
18,DHUMNAGAR,KUMHAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546387)
19,DHUMNAGAR,KURMI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546388)
20,DHUMNAGAR,PACHHAMI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546389)
21,DHUMNAGAR,PURBARI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546390)
22,DHUMNAGAR,SOFAWA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546391)
