Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,GAHIRI,BALUA BAZAR,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958519)
2,GAHIRI,GAHARI,Deep tubewell,Ground Water,Inside Habitation,HandPump,NAUTAN SCHEME(0006558764)
3,GAHIRI,GAHARI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546392)
4,GAHIRI,GAHIRI KOTHI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546393)
5,GAHIRI,GAHIRI MAN,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546394)
6,GAHIRI,GAM HARIYA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546395)
7,GAHIRI,KACHAHERI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546396)
8,GAHIRI,MURALIYA TOLA,Deep tubewell,Ground Water,Near Road Side,HandPump,Nautan Scheme(0007072934)
9,GAHIRI,MURALIYA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546397)
10,GAHIRI,MUSHAHARI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546398)
