Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,GUDARIA,AWADHIYA TOLA,Deep tubewell,Ground Water,Near School,HandPump,Nautan Scheme(0007072934)
2,GUDARIA,AWADHIYA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546399)
3,GUDARIA,BANKATWA,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958525)
4,GUDARIA,BANKATWA,Deep tubewell,Ground Water,Near Chauraha,HandPump,NAUTAN SCHEME(0006558801)
5,GUDARIA,BANKATWA,Deep tubewell,Ground Water,Harijan Tola,HandPump,NAUTAN SCHEME(0006558801)
6,GUDARIA,BANKATWA,Deep tubewell,Ground Water,Inside Habitation,HandPump,NAUTAN SCHEME(0006558801)
7,GUDARIA,GUDARIYA,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958529)
8,GUDARIA,MANGAL PUR,Deep tubewell,Ground Water,Inside Habitation,HandPump,NAUTAN SCHEME(0006558837)
9,GUDARIA,MANGAL PUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546400)
10,SHAMPUR KOTRAHA,CHAMAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546401)
11,SHAMPUR KOTRAHA,DUSADH TOLI,Deep tubewell,Ground Water,Near Dusad Toli,HandPump,Nautan Scheme(0007072934)
12,SHAMPUR KOTRAHA,DUSADH TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546402)
13,SHAMPUR KOTRAHA,SAMDHAWA DUBE TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546403)
14,SHAMPUR KOTRAHA,SHYAMPUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546404)
