Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAHUARWA,BAHUARWA,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958582)
2,BAHUARWA,BAHUARWA,Deep tubewell,Ground Water,Road Side,HandPump,NAUTAN SCHEME(0006558913)
3,BAHUARWA,BAHUARWA,Deep tubewell,Ground Water,Inside Habitation,HandPump,NAUTAN SCHEME(0006558913)
4,JAMUNIA,BAJAR MARA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546409)
5,JAMUNIA,DOM TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546410)
6,JAMUNIA,HARIZAN TOLA,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958583)
7,JAMUNIA,HARIZAN TOLA,Deep tubewell,Ground Water,Near P.C.C. Road,HandPump,Nautan Scheme(0007072934)
8,JAMUNIA,JAMUNIYA,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958584)
9,JAMUNIA,JAMUNIYA,Deep tubewell,Ground Water,Inside Habitation,HandPump,NAUTAN SCHEME(0006558951)
10,JAMUNIA,MANDIR TOLA,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958586)
11,JAMUNIA,MANDIR TOLA,Deep tubewell,Ground Water,Near Mandir,HandPump,Nautan Scheme(0007072934)
12,JAMUNIA,NAWKA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546411)
13,JAMUNIA,PURBARI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546412)
14,JAMUNIA,SOUTH TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546413)
15,MAJHARIA KISHUN,BIRCHHARAM KA TOLA,Deep tubewell,Ground Water,Near P.C.C. Road,HandPump,Nautan Scheme(0007072934)
16,MAJHARIA KISHUN,BIRCHHARAM KA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546414)
17,MAJHARIA KISHUN,MAJHARIYA KISUN,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958595)
18,MAJHARIA KISHUN,MAJHARIYA KISUN,Deep tubewell,Ground Water,Road Side,HandPump,NAUTAN SCHEME(0006558986)
19,MAJHARIA KISHUN,MAJHARIYA KISUN,Deep tubewell,Ground Water,Near Temple,HandPump,NAUTAN SCHEME(0006558986)
20,MAJHARIA KISHUN,MAJHARIYA KISUN,Deep tubewell,Ground Water,Inside Habitation,HandPump,NAUTAN SCHEME(0006558986)
21,MAJHARIA KISHUN,SOUTH TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546415)
