Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,JHAKHARA,BASAWARIYA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004662722)
2,JHAKHARA,BASAWARIYA,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958601)
3,JHAKHARA,CHAMAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546416)
4,JHAKHARA,HARIJAN TOLA,Deep tubewell,Ground Water,Near Harijan Basti,HandPump,Nautan Scheme(0007072934)
5,JHAKHARA,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546417)
6,JHAKHARA,JHAKHARA,Shallow tubewell,Ground Water,Near Pepal Tree,HandPump,Nautan Scheme(0001958604)
7,JHAKHARA,JHAKHARA,Deep tubewell,Ground Water,Inside Habitation,HandPump,NAUTAN SCHEME(0006559027)
8,JHAKHARA,KACHAHARI TOLA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004662677)
9,JHAKHARA,KACHAHARI TOLA,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958607)
10,JHAKHARA,KARBOLA TOLA,Deep tubewell,Ground Water,Near Basti,HandPump,Nautan Scheme(0007072934)
11,JHAKHARA,KARBOLA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546418)
12,JHAKHARA,MALAH TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546419)
13,JHAKHARA,MANIHARI,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004734683)
14,JHAKHARA,MANIHARI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546420)
