Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,CHURAMANPATTI,CHURAMAN PATTI,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004734695)
2,CHURAMANPATTI,CHURAMAN PATTI,Deep tubewell,Ground Water,Churiharw a Toli,HandPump,Nautan Scheme(0007072934)
3,CHURAMANPATTI,CHURAMAN PATTI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546462)
4,LILAPATTI,FATEH PUR,Deep tubewell,Ground Water,,HandPump,Nautan Scheme(0001958699)
5,LILAPATTI,LILA PATTI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546463)
6,PAKARIA,AHIR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546464)
7,PAKARIA,BAHORAN PUR,Deep tubewell,Ground Water,Near School,HandPump,Nautan Scheme(0007072934)
8,PAKARIA,BAHORAN PUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546465)
9,PAKARIA,BELWA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546466)
10,PAKARIA,MAHUWABA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546467)
11,PAKARIA,MALAH TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546468)
12,PAKARIA,MATHIA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546469)
13,PAKARIA,PAKARIYA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004734697)
14,PAKARIA,PAKARIYA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546470)
15,PAKARIA,SIYARAHI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546471)
16,REKHA SUNDARPATTI,CHAMAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546472)
17,REKHA SUNDARPATTI,HARDI PATTI,Deep tubewell,Ground Water,Near Wall,HandPump,Nautan Scheme(0007072934)
18,REKHA SUNDARPATTI,HARDI PATTI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546473)
19,REKHA SUNDARPATTI,REKHA SUNDAR PATTI,Deep tubewell,Ground Water,,HandPump,Nautan Scheme(0001958701)
20,REKHA SUNDARPATTI,SHEKH TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546474)
