Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,CHARGAHA,CHARGAHA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546475)
2,CHARGAHA,KANHAI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546476)
3,CHARGAHA,SUBHASH NAGAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546477)
4,CHARGAHA,YADAW TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546478)
5,NOORAKHAP,NOORAKHAP,Deep tubewell,Ground Water,Near School,HandPump,Nautan Scheme(0007072934)
6,NOORAKHAP,NOORAKHAP,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546479)
7,PARVATHA TOLLA,NAWKA TOLA,Deep tubewell,Ground Water,Near Braham Sthan,HandPump,Nautan Scheme(0007072934)
8,PARVATHA TOLLA,NAWKA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546480)
9,PARVATHA TOLLA,PATVATIA TOLLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546481)
10,SANSARAIYA,BAGHMARWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546482)
11,SANSARAIYA,KADMWA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546483)
12,SANSARAIYA,NONIYA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546484)
13,SANSARAIYA,PASHI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546485)
14,SANSARAIYA,RATAN PUR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546486)
15,SANSARAIYA,SADHAWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546487)
16,SANSARAIYA,SANSARAIYA,Shallow tubewell,Ground Water,,HandPump,Nautan Scheme(0001958704)
17,SANSARAIYA,SANSARAIYA,Deep tubewell,Ground Water,Near Chaw k,HandPump,NAUTAN SCHEME(0006560736)
18,SANSARAIYA,SANSARAIYA,Deep tubewell,Ground Water,Inside Habitation,HandPump,NAUTAN SCHEME(0006560736)
19,SANSARAIYA,TIM TOLIYA,Deep tubewell,Ground Water,Nc/Pc Scheme For Nautan Block,SPOT,Nc/Pc Scheme For Nautan Block(0004546488)
