Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAIRATWA,BAIRATAWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544639)
2,BAIRIA,BAIRIYA,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544640)
3,BHITHARWA,BAZAR,Deep tubewell,Ground Water,,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
4,BHITHARWA,BAZAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544641)
5,BHITHARWA,BHITIHARWA,Deep tubewell,Ground Water,NEAR BHITHARWA ASHRAM,PWS,Bhitiharw a Rural Piped Water Supply Scheme(0001947812)
6,BHITHARWA,BHITIHARWA,Deep tubewell,Ground Water,,HandPump,Gaunaha Scheme(0001961824)
7,BHITHARWA,BHITIHARWA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha Scheme(0007067025)
8,BHITHARWA,MEGHOULI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544642)
9,KOHARGARI,KOHARGADI,Deep tubewell,Ground Water,,HandPump,Gaunaha Scheme(0001961836)
10,MARJADI,MARZADI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544643)
11,MATIHANI,MATIHANI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
12,MATIHANI,MATIHANI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha Scheme(0001961850)
13,MATIHANI,MATIHANI,Deep tubewell,Ground Water,Near Braham Sthan,HandPump,Gaunaha Scheme(0007067025)
14,SEMRA SIRAMPUR,HARIJAN TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
15,SEMRA SIRAMPUR,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544644)
16,SEMRA SIRAMPUR,SEMARA SRIRAMPUR,Deep tubewell,Ground Water,,HandPump,Gaunaha Scheme(0001961854)
17,SEMRA SIRAMPUR,SEMARA SRIRAMPUR,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,GAUNAHA SCHEME(0006569470)
18,SEMRA SIRAMPUR,SEMARA SRIRAMPUR,Deep tubewell,Ground Water,NEAR CHAUCK,HandPump,GAUNAHA SCHEME(0006569470)
