Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BALUA,BALUA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
2,BALUA,BALUA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
3,BALUA,BALUA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha Scheme(0001961867)
4,BASANTPUR,BASANTPUR,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
5,BASANTPUR,BASANTPUR,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha Scheme(0007067025)
6,BASANTPUR,BASANTPUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544645)
7,BHUSKI,BHUSAKI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
8,BHUSKI,BHUSAKI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
9,BHUSKI,BHUSAKI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
10,BHUSKI,BHUSAKI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha Scheme(0001961873)
11,CHARIHANI,CHARIHARI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
12,CHARIHANI,CHARIHARI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544646)
13,DARAUL,DARSAUL,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004668144)
14,DARAUL,DARSAUL,Deep tubewell,Ground Water,,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
15,DARAUL,DARSAUL,Deep tubewell,Ground Water,,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
16,DARAUL,DARSAUL,Deep tubewell,Ground Water,,HandPump,Gaunaha Scheme(0001961883)
17,DARAUL,HARIJAN TOLI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
18,DARAUL,HARIJAN TOLI,Deep tubewell,Ground Water,Near Harijan Toli,HandPump,Gaunaha Scheme(0007067025)
19,DARAUL,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544647)
20,DARAUL,WEST TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
21,DARAUL,WEST TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544648)
22,EKDARWA,EKDARWA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
23,EKDARWA,EKDARWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544649)
24,EKDARWA,EKDERWA FORM,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544650)
25,GOITHAHI,GOITHAHI,Deep tubewell,Ground Water,Near Centre Of Village,HandPump,Gaunaha Scheme(0007067025)
26,GOITHAHI,GOITHAHI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544651)
27,HARDIA,HARDIA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
28,HARDIA,HARDIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544652)
29,SAITHAUL,SANTHOUL,Deep tubewell,Ground Water,,HandPump,Gaunaha Scheme(0001961886)
30,SERAHWA,SERWA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
31,SERAHWA,SERWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544653)
