Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BALUA,BALUWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544654)
2,BALUA,CHHBKI TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544655)
3,DHANAUJI,BARLI DHANOJI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha Scheme(0007067025)
4,DHANAUJI,BARLI DHANOJI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544656)
5,DHANAUJI,DHANOJI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544657)
6,DHANAUJI,HARIJAN TOLI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004769624)
7,DHANAUJI,HARIJAN TOLI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
8,DHANAUJI,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544658)
9,DHANAUJI,THREO TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544659)
10,KATHRAW,KATRAW,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
11,KATHRAW,KATRAW,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544660)
12,KATHRAW,MIYA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha
13,KATHRAW,THARI TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544662)
14,KAUAHA,JADALI TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544663)
15,KAUAHA,KAUWAHA,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544664)
16,KAUAHA,MUSHWAR TOLI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
17,KAUAHA,MUSHWAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544665)
18,MANDIHA,HARIJAN TOLI,Deep tubewell,Ground Water,,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
19,MANDIHA,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544666)
20,MANDIHA,JADAB TOLI,Deep tubewell,Ground Water,,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
21,MANDIHA,JADAB TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544667)
22,MANDIHA,MANDIHA,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544668)
23,MANDIHA,MIYA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544669)
24,MANDIHA,THARUI TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544670)
25,PAHKAUL,KANCHANPUR BRAHMAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544671)
26,PAHKAUL,MIUANM TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544672)
27,PAHKAUL,MUSHHAR TOLI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
28,PAHKAUL,MUSHHAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544673)
29,PAHKAUL,PAHKOUL,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544674)
30,PAHKAUL,THANA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Gaunaha Block,SPOT,Nc/Pc Scheme For Gaunaha Block(0004544675)
31,RATANPURWA,RATNPURWA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Gaunaha (Bajra) Spot Source Scheme(0005676027)
