Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BANKATAWA,BANKATWA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004092947)
2,BANKATAWA,BANKATWA,Deep tubewell,Ground Water,U.M.S. Narkatiya Don,HandPump,School Scheme Of Ramnagar(0006262540)
3,BANKATAWA,BANKATWA,Deep tubewell,Ground Water,U.M.S. Narkatiya Don,HandPump,School Scheme(0006575932)
4,BANKATAWA,BANKATWA,Deep tubewell,Ground Water,U.M.S. Narkatiya Don,HandPump,School Scheme(0006575978)
5,BANKATAWA,MADRAHNI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546542)
6,BANKATAWA,MUSHAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546543)
7,BANKATWA,BANKATWA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0001967969)
8,BANKATWA,BANKATWA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004092039)
9,BANKATWA,BANKATWA,Deep tubewell,Ground Water,P.S.Champapur Don,HandPump,School Scheme For Ramnagar(0006228253)
10,BANKATWA,BANKATWA,Deep tubewell,Ground Water,P.S.Champapur Don,HandPump,School Scheme For Ramnagar(0006231933)
11,BANKATWA,HARIJAN TOLI,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004668019)
12,BANKATWA,HARIJAN TOLI,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004092079)
13,BANKATWA,JHUGHWA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0001967975)
14,BANKATWA,JHUGHWA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004092124)
15,BANKATWA,MUSHAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546544)
16,BANKATWA,SUGGI MAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546545)
17,BANKATWA,THARU TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546546)
18,BELATANDI,BELAA TANDI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546547)
19,BELATANDI,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546548)
20,DOKHNI,DOKHNI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546549)
21,DOKHNI,DOKHNI,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,RAMNAGAR SCHEME(0006555671)
22,DOKHNI,DOKHNI,Deep tubewell,Ground Water,MOR PAR,HandPump,RAMNAGAR SCHEME(0006555671)
23,DOKHNI,DOKHNI,Deep tubewell,Ground Water,P.S.Dokhni Don West,HandPump,School Scheme For Ramnagar(0006228253)
24,DOKHNI,DOKHNI,Deep tubewell,Ground Water,P.S.Dokhni Don East,HandPump,School Scheme For Ramnagar(0006228253)
25,DOKHNI,DOKHNI,Deep tubewell,Ground Water,P.S.Dokhni Don West,HandPump,School Scheme For Ramnagar(0006231933)
26,DOKHNI,DOKHNI,Deep tubewell,Ground Water,P.S.Dokhni Don East,HandPump,School Scheme For Ramnagar(0006231933)
27,DOKHNI,DOKHNI,Deep tubewell,Ground Water,P.S.Dokhni Don West,HandPump,School Scheme Of Ramnagar(0006262540)
28,DOKHNI,DOKHNI,Deep tubewell,Ground Water,P.S.Dokhni Don East,HandPump,School Scheme Of Ramnagar(0006262540)
29,DOKHNI,DOKHNI,Deep tubewell,Ground Water,P.S.Dokhni Don East,HandPump,School Scheme(0006576008)
30,DOKHNI,DOKHNI,Deep tubewell,Ground Water,P.S.Dokhni Don West,HandPump,School Scheme(0006576041)
31,DOKHNI,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546550)
32,DOKHNI,THARU TOLA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0001967979)
33,DOKHNI,THARU TOLA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004092290)
34,NARKATIA,NARKATIA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0001967984)
35,NARKATIA,NARKATIA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004092297)
36,NARKATIA,THARU TOLA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0001967986)
37,NARKATIA,THARU TOLA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004092720)
38,PIPRA,MASJID TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546551)
39,PIPRA,MINYA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546552)
40,PIPRA,PIPRA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546553)
41,POKHARIA,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546554)
42,POKHARIA,MINYA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546555)
43,POKHARIA,POKHARIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546556)
44,RUPWALIYA,OM TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546557)
45,RUPWALIYA,RUPWALIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546558)
46,RUPWALIYA,THARU TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546559)
47,SITALBARI,CHAMPA PUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546560)
48,SITALBARI,DHANGAR TOLI,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004092687)
49,SITALBARI,MIA TOLA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004092695)
50,SITALBARI,SEMRA HARI,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0001967990)
51,SITALBARI,SEMRA HARI,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004092881)
52,SITALBARI,SITAL BARI,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004092725)
53,SITALBARI,SITAL BARI,Deep tubewell,Ground Water,P.S. Sitalbari Don,HandPump,School Scheme(0006576053)
