Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BELWA,AHIR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546577)
2,BELWA,BELWA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0001968003)
3,BELWA,BELWA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004092981)
4,BELWA,HARIJAN TOLA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004092993)
5,BELWA,MINYA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546578)
6,BELWA,TIWARI TOLA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0001968013)
7,BELWA,TIWARI TOLA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004093007)
8,DAINMARWA,DAINMARWA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0001968024)
9,DAINMARWA,DAINMARWA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004093019)
10,DAINMARWA,GOWR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546579)
11,DAINMARWA,HARIJAN TOLA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004093026)
12,DAINMARWA,KHAN TOLA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0001968033)
13,DAINMARWA,KHAN TOLA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004093038)
14,DAINMARWA,KOIRI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546580)
15,DAINMARWA,MINYA TOLA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0001968045)
16,DAINMARWA,MINYA TOLA,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,RAMNAGAR SCHEME(0006555745)
17,DAINMARWA,MINYA TOLA,Deep tubewell,Ground Water,MANDIR KE PAS,HandPump,RAMNAGAR SCHEME(0006555745)
18,DAINMARWA,MINYA TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,RAMNAGAR SCHEME(0006609027)
19,DAINMARWA,PANDAY TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546581)
20,MURERA,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546582)
21,MURERA,MINYA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546583)
22,MURERA,MINYA TOLI,Deep tubewell,Ground Water,"Ward-2, Near Sanjay Chaudhary",HandPump,Ramnagar Scheme(0007064909)
23,MURERA,MURERA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0001968047)
24,MURERA,MURERA,Deep tubewell,Ground Water,M.S.Murera,HandPump,Ramnagar Scheme(0002766216)
25,MURERA,MURERA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004093045)
26,MURERA,MURERA,Deep tubewell,Ground Water,"Ward-2, Near Sanjay Chaudhary",HandPump,Ramnagar Scheme(0007064909)
27,MURERA,MURERA,Deep tubewell,Ground Water,M.S.Murera,HandPump,School Scheme For Ramnagar(0006231933)
28,MURERA,MURERA,Deep tubewell,Ground Water,M.S.Murera,HandPump,School Scheme Of Ramnagar(0006262540)
29,MURERA,MURERA,Deep tubewell,Ground Water,M.S.Murera,HandPump,School Scheme(0006576324)
30,NAYAGANW,HARIJAN TOLA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0001968058)
31,NAYAGANW,HARIJAN TOLA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004093053)
32,NAYAGANW,NAYA GAWN,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0001968061)
33,NAYAGANW,NAYA GAWN,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004093061)
34,NAYAGANW,PANDIT TOLA,Deep tubewell,Ground Water,,HandPump,Ramnagar Scheme(0004093075)
35,SIKTA,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546584)
36,SIKTA,SIKTA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546585)
37,SIKTA,SIKTA,Deep tubewell,Ground Water,P.S. Sikta Belw a,HandPump,School Scheme For Ramnagar(0006231933)
38,SIKTA,SIKTA,Deep tubewell,Ground Water,P.S. Sikta Belw a,HandPump,School Scheme Of Ramnagar(0006262540)
