Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAIRIYA,BAIRIYA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546661)
2,BAIRIYA,BAIRIYA,Deep tubewell,Ground Water,"Barw a Mishra Tola, Ward-5, Near Ajay Kr. Mishra",HandPump,Ramnagar Scheme(0007064909)
3,GHORAGHAT KHAIRA,GHORAGHAT KHAIRA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546662)
4,GHORAGHAT KHAIRA,GHORAGHAT KHAIRA,Deep tubewell,Ground Water,HARIJAN TOLI,HandPump,RAMNAGAR SCHEME(0006556636)
5,GOBARDHANA,AHIR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546663)
6,GOBARDHANA,GOBARDHANA,Deep tubewell,Ground Water,U.M.S.Gobardhana,HandPump,Ramnagar Scheme(0002766870)
7,GOBARDHANA,GOBARDHANA,Deep tubewell,Ground Water,"Ward-8, Near Mahendra Mahto",HandPump,Ramnagar Scheme(0007064909)
8,GOBARDHANA,HARA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546664)
9,GOBARDHANA,KHAIRAHNI TOLA,Shallow tubewell,Ground Water,P.C.C. Road,HandPump,Ramnagar Scheme(0001968684)
10,KANGHUSRI,KANGHUSRI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546665)
11,KANGHUSRI,KANGHUSRI,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,RAMNAGAR SCHEME(0006556761)
12,KANGHUSRI,KANGHUSRI,Deep tubewell,Ground Water,MUSAHAR TOLI,HandPump,RAMNAGAR SCHEME(0006556761)
13,MANOHAGWAN,DUSADH TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546666)
14,MANOHAGWAN,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546667)
15,MANOHAGWAN,MANCHANGWA,Deep tubewell,Ground Water,P.S. Bankatw a,HandPump,Ramnagar Scheme(0002766862)
16,MANOHAGWAN,MANCHANGWA,Deep tubewell,Ground Water,P.S. Manchangw a,HandPump,Ramnagar Scheme(0002766867)
17,MANOHAGWAN,MINYA TOLI,Shallow tubewell,Ground Water,Out Side Of School,HandPump,Ramnagar Scheme(0001968689)
18,MANOHAGWAN,MISHRA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546668)
