Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,HARDIA,DOM TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546711)
2,HARDIA,HARDIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546712)
3,HARDIA,KOIRI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546713)
4,HARDIA,LOHAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546714)
5,HARDIA,NAHAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546715)
6,HARDIA,POKHRA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546716)
7,KAULACHI,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546717)
8,KAULACHI,KAULACHI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546718)
9,KAULACHI,KAULACHI,Deep tubewell,Ground Water,"Ward-3, Near Dw arika Ram",HandPump,Ramnagar Scheme(0007064909)
10,MAGURAHA,BARHAN ASTHAN,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546719)
11,MAGURAHA,HARIJAN TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,Ramnagar Scheme(0001968781)
12,MAGURAHA,MANGURAHA,Shallow tubewell,Ground Water,Mor Per,HandPump,Ramnagar Scheme(0001968784)
13,MAGURAHA,MASJID TOLA,Shallow tubewell,Ground Water,Near Masjid,HandPump,Ramnagar Scheme(0001974884)
14,MURLIDIH,MURLI DIH,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546720)
15,PAKRI,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546721)
16,PAKRI,LOHAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546722)
17,PAKRI,PAKRI,Shallow tubewell,Ground Water,Braham Sthan,HandPump,Ramnagar Scheme(0001968787)
18,PAKRI,PAKRI,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,RAMNAGAR SCHEME(0006557770)
19,PAKRI,PAKRI,Deep tubewell,Ground Water,PIPAL KE PAS,HandPump,RAMNAGAR SCHEME(0006557770)
20,SABEA,BARI MASJID TOLA,Shallow tubewell,Ground Water,Near P.C.C. Road,HandPump,Ramnagar Scheme(0001968788)
21,SABEA,DIH TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546723)
22,SABEA,POKHRA TOLA,Shallow tubewell,Ground Water,Mor Per,HandPump,Ramnagar Scheme(0001968790)
23,SABEA,POKHRA TOLA,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,RAMNAGAR SCHEME(0006557845)
24,SABEA,POKHRA TOLA,Deep tubewell,Ground Water,NEAR MASJID,HandPump,RAMNAGAR SCHEME(0006557845)
25,SABEA,ROAD SIDE,Shallow tubewell,Ground Water,Road Side,HandPump,Ramnagar Scheme(0001968792)
26,SABEA,SABEYA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546724)
27,SABEA,SABEYA,Deep tubewell,Ground Water,"Ward-10, Near Md. Sanbau",HandPump,Ramnagar Scheme(0007064909)
28,SABEA,SABEYA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Ramnagar Spot Source Scheme(0005681285)
