Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BHOLEHAR,BHOLEHAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546725)
2,BHOLEHAR,BHOLEHAR,Deep tubewell,Ground Water,"Ward-2, Near Verma Sah",HandPump,Ramnagar Scheme(0007064909)
3,BIRKEHNI,BIRKEHNI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546726)
4,CHURIHARWA,CHURI HARWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546727)
5,CHURIHARWA,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546728)
6,IMRIT KATHARWA,IMRIT KATHARWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546729)
7,IMRIT KATHARWA,MUSHAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546730)
8,JABKA,JABKA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546731)
9,JABKA,JABKA,Deep tubewell,Ground Water,"Ward-5, Near Neeraj Yadav",HandPump,Ramnagar Scheme(0007064909)
10,JABKA,WEST TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546732)
11,JABKA,WEST TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Ramnagar Spot Source Scheme(0005681285)
12,JABKA,WEST TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Ramnagar Spot Source Scheme(0005681285)
13,MADHUBANI,BANIA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546733)
14,MADHUBANI,DHANGAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546734)
15,MADHUBANI,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546735)
16,MADHUBANI,MADHUBANI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546736)
17,PHAGUNAHTA,PHAGUNAHIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546737)
18,PIPRA MAFI,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546738)
19,PIPRA MAFI,PIPRA MAFI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546739)
20,SAPAHI,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546740)
21,SAPAHI,MINYA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546741)
22,SAPAHI,MUSHAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546742)
23,SAPAHI,SAPAHI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546743)
