Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BARGANW,BARGO,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546764)
2,BARGANW,BARGO,Deep tubewell,Ground Water,P.S. Silw atiya Bargo,HandPump,School Scheme(0006575522)
3,BARGANW,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546765)
4,BARGANW,MINYA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546766)
5,BARGANW,PATHAK TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546767)
6,BARWA BANJARIYA,BARWA BANZARIYA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546768)
7,BARWA BANJARIYA,BARWA BANZARIYA,Deep tubewell,Ground Water,P.S.Barw a Banjariya,HandPump,School Scheme(0006575632)
8,BARWA BANJARIYA,HARIJAN TOLA,Shallow tubewell,Ground Water,Near Mandir,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004668032)
9,BARWA BANJARIYA,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546769)
10,BARWA BANJARIYA,TIWARI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546770)
11,CHHAGURAHI BANJARIYA,CHHAUGARIA BANJARIA,Shallow tubewell,Ground Water,Mandir KE PAAS,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004668046)
12,CHHAGURAHI BANJARIYA,CHHAUGARIA BANJARIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546771)
13,CHHAGURAHI BANJARIYA,CHHAUGARIA BANJARIA,Deep tubewell,Ground Water,P.S.Chhaugaria Banjaria,HandPump,School Scheme(0006575695)
14,CHHAGURAHI BANJARIYA,MUSHAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546772)
15,GAUNARA,GAUNDRA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546773)
16,KOT BANJARIYA,KOAT BANJARIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546774)
17,MUJRA,BANIYA TOLA,Shallow tubewell,Ground Water,P.C.C. Road,HandPump,Ramnagar Scheme(0001968798)
18,MUJRA,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546775)
19,MUJRA,MINYA TOLA,Shallow tubewell,Ground Water,Near Pepal Tree,HandPump,Ramnagar Scheme(0001968801)
20,MUJRA,MINYA TOLA,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,RAMNAGAR SCHEME(0006558243)
21,MUJRA,MINYA TOLA,Deep tubewell,Ground Water,MASJID KE PAS,HandPump,RAMNAGAR SCHEME(0006558243)
22,MUJRA,MUJRA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546776)
23,MUJRA,MUJRA,Deep tubewell,Ground Water,P.S. Mujra,HandPump,School Scheme(0006575726)
24,SARHATWA,AHIR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546777)
25,SARHATWA,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546778)
26,SARHATWA,SARHARWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546779)
27,SHIVPURWA,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546780)
28,SHIVPURWA,SHIVPURWA,Deep tubewell,Ground Water,M.S.Shivpur Colony,HandPump,Ramnagar Scheme(0002766211)
29,SHIVPURWA,SHIVPURWA,Deep tubewell,Ground Water,M.S.Shivpur Colony,HandPump,School Scheme(0006575760)
30,SILAUTIA,DUBEY TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546781)
31,SILAUTIA,MUSHAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546782)
32,SILAUTIA,SILAUTIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546783)
33,SONKHAR,HARIJAN TOLA,Shallow tubewell,Ground Water,Near Pepal Tree,HandPump,Ramnagar Scheme(0001968804)
34,SONKHAR,HARIJAN TOLA,Deep tubewell,Ground Water,"Ward-4, Near Rameshw ar Sah",HandPump,Ramnagar Scheme(0007064909)
35,SONKHAR,PANDEY TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ramnagar Block,SPOT,Nc/Pc Scheme For Ramnagar Block(0004546784)
36,SONKHAR,PANDEY TOLA,Deep tubewell,Ground Water,"Ward- 4, Near Bidya Bhusan Nath Tiw ari",HandPump,Ramnagar Scheme(0007064909)
37,SONKHAR,SONKHAR,Deep tubewell,Ground Water,M.S.Sonkhar,HandPump,Ramnagar Scheme(0002766208)
38,SONKHAR,SONKHAR,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,RAMNAGAR SCHEME(0006558275)
39,SONKHAR,SONKHAR,Deep tubewell,Ground Water,BANGALI TOLI,HandPump,RAMNAGAR SCHEME(0006558275)
40,SONKHAR,SONKHAR,Deep tubewell,Ground Water,"Ward-4, Near Bidya Bhusan Nath Tiw ari",HandPump,Ramnagar Scheme(0007064909)
41,SONKHAR,SONKHAR,Deep tubewell,Ground Water,M.S.Sonkhar,HandPump,School Scheme(0006575782)
