Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,CHAKARSEN,CHKASON,Deep tubewell,Ground Water,Road Side,HandPump,Mainatanr And Narkatiaganj Spot Source Scheme(0005681236)
2,CHAKARSEN,CHKASON,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545364)
3,CHAKARSEN,DHANGAR TOLI,Shallow tubewell,Ground Water,Inside Habitation,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004746104)
4,CHAKARSEN,DHANGAR TOLI,Deep tubewell,Ground Water,Near Pepal Tree,HandPump,Mainatand Scheme(0007066845)
5,CHAKARSEN,DHANGAR TOLI,Deep tubewell,Ground Water,Near Mandir,HandPump,Mainatanr And Narkatiaganj Spot Source Scheme(0005681236)
6,CHAKARSEN,DHANGAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545365)
7,CHAKARSEN,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545366)
8,CHAUHATTA,CHOWHATA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545367)
9,CHAUHATTA,HARIJAN TOLI,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004746130)
10,CHAUHATTA,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545368)
11,CHAUHATTA,KAULA NAGAR,Deep tubewell,Ground Water,Road Side Nc/Pc Scheme For,HandPump,Mainatanr And Narkatiaganj Spot Source Scheme(0005681236)
12,CHAUHATTA,KAULA,Deep tubewell,Ground Water,,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545369)
13,CHAUHATTA,MIYA TOLI,Deep tubewell,Ground Water,Near Mandir,HandPump,Mainatanr And Narkatiaganj Spot Source Scheme(0005681236)
14,CHAUHATTA,MIYA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545370)
15,CHAUHATTA,SHARNARTHI COLONY,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545371)
16,CHAUHATTA,THARU TOLA,Deep tubewell,Ground Water,Road Side,HandPump,Mainatanr And Narkatiaganj Spot Source Scheme(0005681236)
17,CHAUHATTA,THARU TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545372)
18,DHOKRAHA,DHANGAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545373)
19,DHOKRAHA,DOKRAHA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545374)
20,DHOKRAHA,SHARNARTHI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545375)
21,LAUKAR,DHAUGAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545376)
22,LAUKAR,FAREU TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545377)
23,LAUKAR,LAUKAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545378)
24,LAUKAR,LOHAR TOLI,Deep tubewell,Ground Water,Lohar Patti,HandPump,Mainatand Scheme(0007066845)
25,LAUKAR,LOHAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545379)
26,MANPUR,MANPUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545380)
27,PURAINIA,DHANGAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545381)
28,PURAINIA,MANDIR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545382)
29,PURAINIA,MIYA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545383)
30,PURAINIA,PURAINIYA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545384)
31,PURAINIA,THAREE TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545385)
