Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BHARBHARWA,BHARBHARWA,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAINATAND SCHEME(0006574049)
2,BHARBHARWA,BHARBHARWA,Deep tubewell,Ground Water,HARIJAN TOLI,HandPump,MAINATAND SCHEME(0006574049)
3,BHARBHARWA,BHARBHARWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545423)
4,BHERIHARI,BHERIHARI,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAINATAND SCHEME(0006574089)
5,BHERIHARI,BHERIHARI,Deep tubewell,Ground Water,MOR PAR,HandPump,MAINATAND SCHEME(0006574089)
6,BHERIHARI,BHERIHARI,Deep tubewell,Ground Water,Near Bherihar Tola,HandPump,Mainatand Scheme(0007066845)
7,BHERIHARI,BHERIHARI,Deep tubewell,Ground Water,Near Boring,HandPump,Mainatanr Scheme(0001967751)
8,LACHHMIPUR,LAKSHMIPUR,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAINATAND SCHEME(0006574126)
9,LACHHMIPUR,LAKSHMIPUR,Deep tubewell,Ground Water,NEAR NEEM KA PER,HandPump,MAINATAND SCHEME(0006574126)
10,LACHHMIPUR,LAKSHMIPUR,Deep tubewell,Ground Water,Near Math,HandPump,Mainatand Scheme(0007066845)
11,LACHHMIPUR,LAKSHMIPUR,Deep tubewell,Ground Water,Near Basic School,HandPump,Mainatanr Scheme(0001967757)
12,MARJADWA,MARZADWA,Deep tubewell,Ground Water,Road Side,HandPump,Mainatanr And Narkatiaganj Spot Source Scheme(0005681236)
13,MARJADWA,MARZADWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545424)
