Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BABHNAULI,BABHANAULI,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545465)
2,BABHNAULI,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545466)
3,BABHNAULI,KACHHAU TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545467)
4,BABHNAULI,KUANKAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545468)
5,BABHNAULI,MIYA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545469)
6,BELWA TOLI,BELWA TOLI,Deep tubewell,Ground Water,Near Primary School,HandPump,Mainatand Scheme(0007066845)
7,BELWA TOLI,BELWA TOLI,Deep tubewell,Ground Water,Road Side,HandPump,Mainatanr And Narkatiaganj Spot Source Scheme(0005681236)
8,BELWA TOLI,BELWA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545470)
9,BHERIHARWA,BHERIHARWA,Deep tubewell,Ground Water,,HandPump,Mainatanr Scheme(0001967793)
10,BHERIHARWA,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545471)
11,BHERIHARWA,YADAW TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545472)
12,MAINATANR,AHIR TOLA,Deep tubewell,Ground Water,,PWS,Mainatar Rural Pipe Water Supply Scheme(0001950260)
13,MAINATANR,BAFANI TOLA,Deep tubewell,Ground Water,,PWS,Mainatar Rural Pipe Water Supply Scheme(0001950260)
14,MAINATANR,DHOBI TOLA,Deep tubewell,Ground Water,Road Side,HandPump,Mainatanr And Narkatiaganj Spot Source Scheme(0005681236)
15,AINATANR,DHOBI TOLA,Deep tubewell,Ground Water,,PWS,Mainatar Rural Pipe Water Supply Scheme(0001950260)
16,AINATANR,DIHA TOLA,Deep tubewell,Ground Water,,PWS,Mainatar Rural Pipe Water Supply Scheme(0001950260)
17,AINATANR,HARIJAN TOLI,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAINATAND SCHEME(0006575235)
18,AINATANR,HARIJAN TOLI,Deep tubewell,Ground Water,CHAUK PAR,HandPump,MAINATAND SCHEME(0006575235)
19,AINATANR,HARIJAN TOLI,Deep tubewell,Ground Water,,HandPump,Mainatanr Scheme(0001967801)
20,AINATANR,HARIJAN TOLI,Deep tubewell,Ground Water,,PWS,Mainatar Rural Pipe Water Supply Scheme(0001950260)
21,AINATANR,MAINATAND,Deep tubewell,Ground Water,"Near Block, Road Side",PWS,Mainatar PWS Scheme(0006511476)
22,AINATANR,MAINATAND,Deep tubewell,Ground Water,,PWS,Mainatar Rural Pipe Water Supply Scheme(0001950260)
23,AINATANR,SEKH TOLA,Deep tubewell,Ground Water,,PWS,Mainatar Rural Pipe Water Supply Scheme(000 950260) T
24,AINATANR,SHIEPUR,Deep tubewell,Ground Water,,PWS,Mainatar Rural Pipe Water Supply Scheme(0001950260)
25,AMNAGRI,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545473)
26,AMNAGRI,POKHARA TOLA,Deep tubewell,Ground Water,Near Pokhara,HandPump,Mainatand Scheme(0007066845)
27,AMNAGRI,POKHARA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545474)
28,AMNAGRI,RAMNAGARI,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545475)
29,AMNAGRI,UTTER TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545476)
30,ANTPUR ARSAUNI,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545477)
31,ANTPUR ARSAUNI,SANTPUR PARSOUNI,Deep tubewell,Ground Water,,HandPump,Mainatanr Scheme(0001967810)
32,ANTPUR ARSAUNI,TIWARI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545478)
33,ANTPUR ARSAUNI,YADAV TOLA,Deep tubewell,Ground Water,Near Parti Tola,HandPump,Mainatanr And Narkatiaganj Spot Source Scheme(0005681236)
34,ANTPUR ARSAUNI,YADAV TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Mainatanr Block,SPOT,Nc/Pc Scheme For Mainatanr Block(0004545479)
