Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,DHANKUTWA,BAIRAGIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Sikta Block,SPOT,Nc/Pc Scheme For Sikta Block(0004546803)
2,DHANKUTWA,DHANKUTWA,Deep tubewell,Ground Water,Near P.C.C. Road,HandPump,Sikta Scheme(0001968896)
3,DHANKUTWA,DHANKUTWA,Deep tubewell,Ground Water,HARIJAN TOLLI,HandPump,SIKTA SCHEME(0006569352)
4,DHANKUTWA,DHANKUTWA,Deep tubewell,Ground Water,NEAR MARKET,HandPump,SIKTA SCHEME(0006569352)
5,DHANKUTWA,JAGIRIYA TOLI,Deep tubewell,Ground Water,Near P.C.C Tree,HandPump,Sikta Scheme(0001968899)
6,DHANKUTWA,LAKHOURE,Deep tubewell,Ground Water,Nc/Pc Scheme For Sikta Block,SPOT,Nc/Pc Scheme For Sikta Block(0004546804)
7,DHANKUTWA,LAKHOURE,Deep tubewell,Ground Water,MANDIR SIDE,HandPump,SIKTA SCHEME(0006569404)
8,DHANKUTWA,PREM NAGAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Sikta Block,SPOT,Nc/Pc Scheme For Sikta Block(0004546805)
9,NARKATIA,DAKHINWARI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Sikta Block,SPOT,Nc/Pc Scheme For Sikta Block(0004546806)
10,NARKATIA,NARKATIA,Deep tubewell,Ground Water,NEAR P.C.C ROAD,HandPump,Sikta Scheme(0001968903)
11,NARKATIA,NARKATIA,Deep tubewell,Ground Water,ROAD SIDE,HandPump,SIKTA SCHEME(0006569450)
12,NARKATIA,NARKATIA,Deep tubewell,Ground Water,NEAREST DHANGAD TOLI,HandPump,SIKTA SCHEME(0006569450)
