Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,SARGATIA,BAIRAGIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Sikta Block,SPOT,Nc/Pc Scheme For Sikta Block(0004546840)
2,SARGATIA,BIRAITH,Deep tubewell,Ground Water,,HandPump,Sikta Scheme(0001969909)
3,SARGATIA,BIRAITH,Deep tubewell,Ground Water,MANDIR KE SIDE,HandPump,SIKTA SCHEME(0006571292)
4,SARGATIA,BIRAITH,Deep tubewell,Ground Water,PIPAL ROAD,HandPump,SIKTA SCHEME(0006571292)
5,SARGATIA,BIRAITH,Deep tubewell,Ground Water,ROAD SIDE,HandPump,SIKTA SCHEME(0006571292)
6,SARGATIA,BIRAITH,Deep tubewell,Ground Water,HARIJAN TOLLI,HandPump,SIKTA SCHEME(0006571292)
7,SARGATIA,DAKAHI,Deep tubewell,Ground Water,,HandPump,Sikta Scheme(0001969912)
8,SARGATIA,DUKHICHHAPAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Sikta Block,SPOT,Nc/Pc Scheme For Sikta Block(0004546841)
9,SARGATIA,GHUSWAPUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Sikta Block,SPOT,Nc/Pc Scheme For Sikta Block(0004546842)
10,SARGATIA,MAHESHPUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Sikta Block,SPOT,Nc/Pc Scheme For Sikta Block(0004546843)
11,SARGATIA,MOGLAMIA,Deep tubewell,Ground Water,,HandPump,Sikta Scheme(0001969915)
12,SARGATIA,SARGATIA,Deep tubewell,Ground Water,,HandPump,Sikta Scheme(0001969923)
13,SARGATIA,SARGATIA,Deep tubewell,Ground Water,,HandPump,Sikta Scheme(0001969931)
14,SARGATIA,SARGATIA,Deep tubewell,Ground Water,VILLAGE MADHAY,HandPump,SIKTA SCHEME(0006571301)
15,SARGATIA,SARGATIA,Deep tubewell,Ground Water,NEAR MARKET,HandPump,SIKTA SCHEME(0006571301)
16,SUNDARGAWN,SUNDARGAWN,Deep tubewell,Ground Water,,HandPump,Sikta Scheme(0001969923)
17,SUNDARGAWN,SUNDARGAWN,Deep tubewell,Ground Water,,HandPump,Sikta Scheme(0001975371)
