Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAHUARWA,BAHUARWA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004772563)
2,BAHUARWA,BAHUARWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543704)
3,BAKULI,BAKULI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543705)
4,LADUAPHASPHAS,BHARTHAPUR,Deep tubewell,Ground Water,"Ward-14, Puclic Place",HandPump,Bagha II Scheme(0007065046)
5,LADUAPHASPHAS,BHARTHAPUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543706)
6,LADUAPHASPHAS,DASRATHA PUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543707)
7,LADUAPHASPHAS,LADUAPHASPHAS,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543708)
8,MAJHAUWA,MAJHAUWA,Deep tubewell,Ground Water,ROAD SIDE,HandPump,BAGAHA SCHEME(0006556618)
9,MAJHAUWA,MAJHAUWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543709)
10,PACHGAMA,PACHGAMA,Deep tubewell,Ground Water,"Ward-10, Near Jokhan Ram",HandPump,Bagha II Scheme(0007065046)
11,PACHGAMA,PACHGAMA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543710)
12,PARORHA,PARORHA,Deep tubewell,Ground Water,HANUMAN MANDIR KE PASS,HandPump,BAGAHA SCHEME(0006556679)
13,PARORHA,PARORHA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543711)
