Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BELAHWA,BELAHAWA,Shallow tubewell,Ground Water,,HandPump,Bagaha Scheme(0001963460)
2,BELAHWA,BELAHAWA,Deep tubewell,Ground Water,PASWAN TOLLI,HandPump,BAGAHA SCHEME(0006556810)
3,BELAHWA,BELAHAWA,Deep tubewell,Ground Water,"Ward-11, Near Poshak Miya",HandPump,Bagha II Scheme(0007065046)
4,BELAHWA,BELAHAWA DHANGAR TOLI,Deep tubewell,Ground Water,"Ward-8, Near Nathuni Been",HandPump,Bagha II Scheme(0007065046)
5,BELAHWA,BELAHAWA DHANGAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543758)
6,MADANPUR,CHIMINI TOLA,Deep tubewell,Ground Water,"Ward-7, Jarlahia, Near Chapas Been",HandPump,Bagha II Scheme(0007065046)
7,MADANPUR,CHIMINI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543759)
8,MADANPUR,MADANPUR,Shallow tubewell,Ground Water,,HandPump,Bagaha Scheme(0001963464)
9,MADANPUR,MADANPUR,Deep tubewell,Ground Water,BAJARNG MANDIR KE SIDE,HandPump,BAGAHA SCHEME(0006556868)
10,PACHRUKHA,ANDARBAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543760)
11,PACHRUKHA,JHALHIYA,Deep tubewell,Ground Water,"Ward- 6, Near Dinanath Mahto",HandPump,Bagha II Scheme(0007065046)
12,PACHRUKHA,JHALHIYA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543761)
13,PACHRUKHA,PACHARUKHA,Shallow tubewell,Ground Water,,HandPump,Bagaha Scheme(0001963469)
14,PACHRUKHA,PACHARUKHA,Deep tubewell,Ground Water,"Ward- 12, Near Shyam Narayan Sahni",HandPump,Bagha II Scheme(0007065046)
15,PACHRUKHA,PACHARUKHA,Deep tubewell,Ground Water,"Ward- 8, Near Rato Bhari Been",HandPump,Bagha II Scheme(0007065046)
16,PACHRUKHA,SIRISIYA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543762)
