Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAIRIYA KALA,BAIRIYA KALA,Deep tubewell,Ground Water,,HandPump,Bagaha Scheme(0001963654)
2,BAIRIYA KALA,MOTI RAJI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543892)
3,BAIRIYA KHURD,BAIRIYA KHURD,Deep tubewell,Ground Water,Inside Habitation,HandPump,Bagaha PC Habitation Scheme(0005537524)
4,BAIRIYA KHURD,BAIRIYA KHURD,Deep tubewell,Ground Water,Inside Habitation,HandPump,Bagaha PC Habitation Scheme(0005537524)
5,BAIRIYA KHURD,BAIRIYA KHURD,Deep tubewell,Ground Water,Inside Habitation,HandPump,Bagaha PC Habitation Scheme(0005537524)
6,BAIRIYA KHURD,BAIRIYA KHURD,Deep tubewell,Ground Water,Inside Habitation,HandPump,Bagaha PC Habitation Scheme(0005537524)
7,BAIRIYA KHURD,BAIRIYA KHURD,Deep tubewell,Ground Water,Inside Habitation,HandPump,Bagaha PC Habitation Scheme(0005537524)
8,BAIRIYA KHURD,BAIRIYA KHURD,Shallow tubewell,Ground Water,Inside Habitation,HandPump,Bettiah Scheme(0001963656)
9,HARNA TANR,HARNA TANR,Deep tubewell,Ground Water,"Ward-10, Near Ramayan Manjhi",HandPump,Bagha II Scheme(0007065046)
10,HARNA TANR,HARNA TANR,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004772691)
11,HARNA TANR,HARNA TANR,Deep tubewell,Ground Water,Near Main Road Side,PWS,Harnatar PWS Scheme(0006510801)
12,HARNA TANR,HARNA TANR,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543893)
13,HARNA TANR,HARNA TANR BAZAR,Deep tubewell,Ground Water,,HandPump,Bagaha PC Habitation Scheme(0005537524)
14,HARNA TANR,HARNA TANR BAZAR,Deep tubewell,Ground Water,,HandPump,Bagaha Scheme(0001963660)
15,HARNA TANR,HARNA TANR BAZAR,Deep tubewell,Ground Water,"Ward-5, Near Ramayan Manjhi",HandPump,Bagha II Scheme(0007065046)
16,HARNA TANR,HARNA TANR BAZAR,Deep tubewell,Ground Water,In Side Of Bazar,PWS,Harnatar PWS Scheme(0006510801)
17,KHAJURIYA,KHAJURIYA,Deep tubewell,Ground Water,,HandPump,Bagaha Scheme(0001963666)
18,KHAJURIYA,KHAJURIYA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004662266)
19,KHAJURIYA,SUNDERPUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543894)
20,MAHDEWA,BICHOUWA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543895)
21,MAHDEWA,HARHAWA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543896)
22,MAHDEWA,MAHDEWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543897)
23,MAHDEWA,MOTI RAJI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543898)
