Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,AMHAT,AMHAT,Deep tubewell,Ground Water,,HandPump,Bagaha Scheme(0001963755)
2,AMHAT,AMHAT,Deep tubewell,Ground Water,"Ward-14, Near Ganesh Mushar",HandPump,Bagha II Scheme(0007065046)
3,AMHAT,AMHAT,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004662338)
4,AMWA,AMWA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004772745)
5,AMWA,AMWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543961)
6,AMWA,AMWA TOLA KATAIYA,Deep tubewell,Ground Water,,HandPump,Bagaha Scheme(0001966375)
7,BANKATWA TEWARI,BANKATWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543962)
8,BANKATWA TEWARI,BANKATWA HRIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543963)
9,BIHAR,BIHAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543964)
10,DEWTAHA,DEWTAHA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543965)
11,KATHARWA,KATHARWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543966)
12,KATHARWA,KATHARWA MUSHAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543967)
13,MAHUAWA,JITPUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543968)
14,MAHUAWA,MAHUAWA,Deep tubewell,Ground Water,,HandPump,Bagaha Scheme(0001966380)
15,MAHUAWA,MAHUAWA,Deep tubewell,Ground Water,Inside Habitation,HandPump,BAGAHA SCHEME(0006608453)
16,MATIARIA,DHUMAWA TANR,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543969)
17,MATIARIA,MATIYARIYA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543970)
18,SAKHUANWA,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543971)
19,SAKHUANWA,SAKHUANWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543972)
20,SEMARA,SEMARA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543973)
21,SEMARA,SEMARA DHANGAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543974)
22,SEMARA,SEMARA HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543975)
