Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BARBAL,BARBAL,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544019)
2,BARBAL,BARBAL HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544020)
3,BARBAL,BARBAL MUSLIM TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544021)
4,BARBAL,BARBAL YADAV TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544022)
5,DHANDHI,DHANDHI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544023)
6,DHANDHI,DHANDHI HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544024)
7,GOETI,GOETI,Shallow tubewell,Ground Water,,HandPump,Bagaha Scheme(0001966409)
8,NARBAL,NARBAL,Shallow tubewell,Ground Water,,HandPump,Bagaha Scheme(0001966413)
9,NARBAL,POKHARA MUSHAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544025)
10,PIPRA,PIPRA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544026)
11,POKHAR BHINDA,POKHAR BHINDA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544027)
12,POKHAR BHINDA,POKHAR BHINDA H.T.,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544028)
13,SEMARKAUL,SEMARKAUL,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544029)
14,SERWA,SERWA,Deep tubewell,Ground Water,,HandPump,Bagaha Scheme(0001966418)
15,TURKI,TURKI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544030)
