Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,CHILWANIYAN,CHARGAHWA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Bhitaha Block,SPOT,Nc/Pc Scheme For Bhitaha Block(0004544403)
2,CHILWANIYAN,CHILVANIA,Deep Tubewell,Ground Water,P.S. Barriha,HandPump,Bhitaha Scheme(0002754081)
3,CHILWANIYAN,CHILVANIA,Deep Tubewell,Ground Water,P.S. Barriha,HandPump,School Scheme(0006567729)
4,CHILWANIYAN,CHILVANIA,Deep Tubewell,Ground Water,P.S. Barriha,HandPump,School Scheme(0006569314)
5,CHILWANIYAN,DHOWAHO,Deep Tubewell,Ground Water,Nc/Pc Scheme For Bhitaha Block,SPOT,Nc/Pc Scheme For Bhitaha Block(0004544404)
6,CHILWANIYAN,KHAP TOLA,Deep Tubewell,Ground Water,P.S. Khap Tola,HandPump,Bhitaha Scheme(0002754073)
7,CHILWANIYAN,KHAP TOLA,Deep Tubewell,Ground Water,Road Side,HandPump,Bhitaha Scheme(0006551591)
8,CHILWANIYAN,KHAP TOLA,Deep Tubewell,Ground Water,P.S. Khap Tola,HandPump,School Scheme(0006567770)
9,CHILWANIYAN,RERHA,Deep Tubewell,Ground Water,U.M.S. Rerha,HandPump,Bhitaha Scheme(0002754765)
10,CHILWANIYAN,RERHA,Deep Tubewell,Ground Water,U.M.S. Rerha,HandPump,School Scheme(0006567813)
