Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BARHARA,BIRT BARHARA,Deep tubewell,Ground Water,U.M.S. Barharw a,HandPump,Bhitaha Scheme(0002755325)
2,BARHARA,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bhitaha Block,SPOT,Nc/Pc Scheme For Bhitaha Block(0004544423)
3,BARHARA,MINYA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bhitaha Block,SPOT,Nc/Pc Scheme For Bhitaha Block(0004544424)
4,MORADIH,KOIRI TOLA,Shallow tubewell,Ground Water,,HandPump,Bhitaha Scheme(0001962125)
5,MORADIH,KOIRI TOLA,Deep tubewell,Ground Water,P.S. Mura Dih Koiri Tola,HandPump,Bhitaha Scheme(0002754535)
6,MORADIH,MURADIH,Deep tubewell,Ground Water,Nc/Pc Scheme For Bhitaha Block,SPOT,Nc/Pc Scheme For Bhitaha Block(0004544425)
7,PAREMAHI,DULARI,Deep tubewell,Ground Water,P.S. Premhi Dulari,HandPump,Bhitaha Scheme(0002754605)
8,PAREMAHI,JIGNAHI,Deep tubewell,Ground Water,P.S. Jignahi,HandPump,Bhitaha Scheme(0002754603)
9,PAREMAHI,MATIYARWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bhitaha Block,SPOT,Nc/Pc Scheme For Bhitaha Block(0004544426)
10,PAREMAHI,PREMHI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bhitaha Block,SPOT,Nc/Pc Scheme For Bhitaha Block(0004544427)
11,PAREMAHI,UCHAWA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bhitaha Block,SPOT,Nc/Pc Scheme For Bhitaha Block(0004544428)
12,PARSAUNA,DHUNIA PATTI,Shallow tubewell,Ground Water,,HandPump,Bhitaha Scheme(0001962129)
13,PARSAUNA,DHUNIA PATTI,Deep tubewell,Ground Water,P.S. Dhunia Patti,HandPump,Bhitaha Scheme(0002754988)
14,PARSAUNA,HARIJAN TOLA,Shallow tubewell,Ground Water,,HandPump,Bhitaha Scheme(0001962132)
15,PARSAUNA,LAXMIPUR,Deep tubewell,Ground Water,M.S. Laxmi Pur,HandPump,Bhitaha Scheme(0002754987)
16,PARSAUNA,PERSAUNA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bhitaha Block,SPOT,Nc/Pc Scheme For Bhitaha Block(0004544429)
17,PARSAUNA,RERHA TOLA,Shallow tubewell,Ground Water,,HandPump,Bhitaha Scheme(0001962136)
18,SENURIA,SENURIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bhitaha Block,SPOT,Nc/Pc Scheme For Bhitaha Block(0004544430)
