Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BHANDARWA MAJHAR,BHANDAR EAST TOLA,Deep tubewell,Ground Water,,HandPump,Madhubani (Barina) Spot Source Scheme(0005681128)
2,BHANDARWA MAJHAR,BHANDAR EAST TOLA,Deep tubewell,Ground Water,P.S. Chiurahi Urdahi,HandPump,Madhubani Scheme(0002756279)
3,BHANDARWA MAJHAR,BHANDAR EAST TOLA,Deep tubewell,Ground Water,P.S. Chiurahi Urdahi,HandPump,School Scheme(0006570239)
4,BHANDARWA MAJHAR,BHANDAR MANJHAR,Deep tubewell,Ground Water,P.S. Chiurahi,HandPump,Madhubani Scheme(0002756278)
5,BHANDARWA MAJHAR,BHANDAR MANJHAR,Deep tubewell,Ground Water,P.S. Chiurahi,HandPump,School Scheme(0006570248)
6,NAINAHA,MIYAN TOLA,Deep tubewell,Ground Water,Near Masjid,HandPump,Madhubani Scheme(0007081181)
7,NAINAHA,MIYAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Madhubani Block,SPOT,Nc/Pc Scheme For Madhubani Block(0004545284)
8,NAINAHA,NAINAHA,Deep tubewell,Ground Water,Nc/Pc Scheme For Madhubani Block,SPOT,Nc/Pc Scheme For Madhubani Block(0004545285)
9,NAINAHA,NAINAHA,Deep tubewell,Ground Water,U.M.S. Nainaha Chiurahi,HandPump,School Scheme(0006571391)
10,NAINAHA,NAINAHA EAST TOLA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA 2012- 13(0004775090)
11,NAINAHA,NAINAHA EAST TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Madhubani Block,SPOT,Nc/Pc Scheme For Madhubani Block(0004545286)
12,NAINAHA,YADAV TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Madhubani Block,SPOT,Nc/Pc Scheme For Madhubani Block(0004545287)
13,REWAHIA,REWAHIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Madhubani Block,SPOT,Nc/Pc Scheme For Madhubani Block(0004545288)
