Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,DUMRI,DUMRI,Shallow tubewell,Ground Water,,HandPump,Piprasi Scheme(0001963270)
2,DUMRI,DUMRI,Deep tubewell,Ground Water,P.S. Mura Dih,HandPump,Piprasi Scheme(0002720928)
3,DUMRI,DUMRI,Deep tubewell,Ground Water,P.S. Thori Bazar,HandPump,Piprasi Scheme(0002720931)
4,DUMRI,DUMRI,Deep tubewell,Ground Water,Harijan Tola,HandPump,Piprasi Scheme(0006553271)
5,DUMRI,DUMRI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Piprasi Scheme(0006553271)
6,DUMRI,DUMRI,Deep tubewell,Ground Water,P.S. Thori Bazar,HandPump,School Scheme(0006575283)
7,DUMRI,DUMRI,Deep tubewell,Ground Water,P.S. Thori Bazar,HandPump,School Scheme(0006575284)
8,DUMRI,DUMRI,Deep tubewell,Ground Water,P.S. Mura Dih,HandPump,School Scheme(0006575320)
9,DUMRI,DUMRI BHAGARWA,Shallow tubewell,Ground Water,,HandPump,Piprasi Scheme(0001963277)
10,DUMRI,DUMRI BHAGARWA,Deep tubewell,Ground Water,P.S. Kichrihaw a Urdu,HandPump,Piprasi Scheme(0002721533)
11,DUMRI,DUMRI BHAGARWA,Deep tubewell,Ground Water,U.M.S. Bharpatia Chankuhw a,HandPump,Piprasi Scheme(0002721570)
12,DUMRI,DUMRI BHAGARWA,Deep tubewell,Ground Water,U.M.S. Lachnahi,HandPump,Piprasi Scheme(0002721571)
13,DUMRI,DUMRI BHAGARWA,Deep tubewell,Ground Water,P.S. Sujnahi Harijan Tola,HandPump,Piprasi Scheme(0002744668)
14,DUMRI,DUMRI BHAGARWA,Deep tubewell,Ground Water,P.S. Bhagarw a,HandPump,Piprasi Scheme(0002745048)
15,DUMRI,DUMRI BHAGARWA,Deep tubewell,Ground Water,Road Side,HandPump,Piprasi Scheme(0006553301)
16,DUMRI,DUMRI BHAGARWA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Piprasi Scheme(0006553301)
17,DUMRI,DUMRI RAMNAGAR,Shallow tubewell,Ground Water,,HandPump,Piprasi Scheme(0001963281)
18,DUMRI,DUMRI RAMNAGAR,Deep tubewell,Ground Water,U.M.S. Sujnahi Ghorahw a,HandPump,Piprasi Scheme(0002745055)
19,DUMRI,DUMRI RAMNAGAR,Deep tubewell,Ground Water,Road Side,HandPump,Piprasi Scheme(0006553326)
20,DUMRI,DUMRI RAMNAGAR,Deep tubewell,Ground Water,Inside Habitation,HandPump,Piprasi Scheme(0006553326)
21,DUMRI,DUMRI RAMNAGAR,Deep tubewell,Ground Water,Near Primary School,HandPump,Piprasi Scheme(0007066566)
