Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,ORIYA RAMOUTI,DIBRA BRAHMIN TOLA,Shallow tubewell,Ground Water,BRAHMIN TOLA,HandPump,HP-IRP(0003805068)
2,ORIYA RAMOUTI,DIBRA BRAHMIN TOLA,Shallow tubewell,Ground Water,BRAHMIN TOLA,HandPump,HP-IRP(0005622515)
3,ORIYA RAMOUTI,DIBRA BRAHMIN TOLA,Shallow tubewell,Ground Water,DIBRA BRAHMIN TOLA,HandPump,NC/PC 2012- 13(0004689618)
4,ORIYA RAMOUTI,DIBRA BRAHMIN TOLA,Shallow tubewell,Ground Water,BRAHMIN TOLA,HandPump,NC/PC(0001957378)
5,ORIYA RAMOUTI,DIBRA MUSLIM TOLA,Shallow tubewell,Ground Water,MUSLIM TOLA,HandPump,HP-IRP(0003806708)
6,ORIYA RAMOUTI,DIBRA MUSLIM TOLA,Shallow tubewell,Ground Water,MUSLIM TOLA,HandPump,HP-IRP(0003806712)
7,ORIYA RAMOUTI,DIBRA MUSLIM TOLA,Shallow tubewell,Ground Water,DIBRA MUSLIM TOLA,HandPump,NC/PC 2012- 13(0004724086)
8,ORIYA RAMOUTI,DIBRA MUSLIM TOLA,Shallow tubewell,Ground Water,MUSLIM TOLA,HandPump,NC/PC(0001989194)
9,ORIYA RAMOUTI,DIBRA MUSLIM TOLA,Shallow tubewell,Ground Water,MUSLIM TOLA,HandPump,NC/PC(0004114999)
10,ORIYA RAMOUTI,DIBRA NORTH TOLA,Shallow tubewell,Ground Water,DIBRA NORTH TOLA,HandPump,HP-IRP(0005622528)
11,ORIYA RAMOUTI,DIBRA NORTH TOLA,Deep tubewell,Ground Water,K Urdu P S Dibra,HandPump,Nauhatta School Scheme(0002727974)
12,ORIYA RAMOUTI,DIBRA NORTH TOLA,Shallow tubewell,Ground Water,DIBRA NORTH TOLA,HandPump,NC/PC 2012- 13(0004729882)
13,ORIYA RAMOUTI,DIBRA NORTH TOLA,Shallow tubewell,Ground Water,DIBRA NORTH TOLA,HandPump,NC/PC(0004114999)
14,ORIYA RAMOUTI,DIBRA NORTH TOLA,Deep tubewell,Ground Water,DIBRA NORTH TOLA,HandPump,Near Sankar Kumar(0001335724)
15,ORIYA RAMOUTI,DIBRA YOGENDRA JHA TOLA,Shallow tubewell,Ground Water,DIBRA YOGENDRA JHA TOLA,HandPump,NC/PC 2012- 13(0004729888)
16,ORIYA RAMOUTI,DIBRA YOGENDRA JHA TOLA,Shallow tubewell,Ground Water,DIBRA,HandPump,NC/PC(0002400629)
17,ORIYA RAMOUTI,DIBRA YOGENDRA JHA TOLA,Shallow tubewell,Ground Water,DIBRA,HandPump,NC/PC(0004114999)
