Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,MURAJPUR,BRAHMIN TOLA,Shallow tubewell,Ground Water,IN TOLA,HandPump,NC/PC(0001989270)
2,MURAJPUR,CHOUTARA,Shallow tubewell,Ground Water,IN TOLA,HandPump,NC/PC(0001989271)
3,MURAJPUR,DHOBI TOLA,Shallow tubewell,Ground Water,: DHOBI TOLA,HandPump,HP- IRP(0005622742)
4,MURAJPUR,DHOBI TOLA,Shallow tubewell,Ground Water,HOBI TOLA,HandPump,NC/PC(0004114999)
5,MURAJPUR,KRISHNA MANDIR TOLA,Shallow tubewell,Ground Water,: KRISHNA MANDIR,HandPump,HP- IRP(0005622775)
6,MURAJPUR,KRISHNA MANDIR TOLA,Shallow tubewell,Ground Water,KRISHNA MANDIR TOLA,HandPump,NC/PC 2012- 13(0004730008)
7,MURAJPUR,KRISHNA MANDIR TOLA,Shallow tubewell,Ground Water,MANDIR TOLA,HandPump,NC/PC(0004114999)
8,MURAJPUR,LAXMIPUR,Shallow tubewell,Ground Water,IN TOLA,HandPump,NC/PC(0001957402)
9,MURAJPUR,MAHAPATRA TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006529281)
10,MURAJPUR,MAHAPATRA TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002400757)
11,MURAJPUR,MIYAN TOLA,Shallow tubewell,Ground Water,MIYA TOLA,HandPump,NC/PC(0001989273)
12,MURAJPUR,MURADPUR,Shallow tubewell,Ground Water,,HandPump,HP- IRP(0003805869)
13,MURAJPUR,MURADPUR,Shallow tubewell,Ground Water,IN TOLA,HandPump,NC/PC(0001989276)
14,MURAJPUR,SIMRAIL,Shallow tubewell,Ground Water,IN TOLA,HandPump,NC/PC(0001957401)
15,MURAJPUR,SOHANTHAKUR GODAOUN TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006529286)
16,MURAJPUR,SOHANTHAKUR GODAOUN TOLA,Shallow tubewell,Ground Water,IN TOLA,HandPump,NC/PC(0002400768)
17,MURAJPUR,TIYAR TOLA,Shallow tubewell,Ground Water,IN TOLA,HandPump,NC/PC(0001957403)
18,MURAJPUR,VARUA,Shallow tubewell,Ground Water,IN TOLA,HandPump,NC/PC(0001957405)
