Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BARAHSER,BARASHER NORTH TOLA,Shallow tubewell,Ground Water,BARASHER NORTH TOLA,HandPump,NC/PC 2012- 13(0004728238)
2,BARAHSER,BARASHER NORTH TOLA,Shallow tubewell,Ground Water,Near Manal Pasw an,HandPump,NC/PC(0001958033)
3,BARAHSER,BARASHER NORTH TOLA,Shallow tubewell,Ground Water,In Tola,HandPump,NC/PC(0004115183)
4,BARAHSER,BARSAHAR,Shallow tubewell,Ground Water,Aganw adi Center Code- 7 Sarkari Chabutra,HandPump,Aaganw adi(0005848880)
5,BARAHSER,BARSAHAR,Shallow tubewell,Ground Water,Botal Manjhi,HandPump,HP-IRP(0005829161)
6,BARAHSER,BARSAHAR,Shallow tubewell,Ground Water,BARASHAR,HandPump,NC/PC 2012- 13(0004689679)
7,BARAHSER,BARSAHAR,Shallow tubewell,Ground Water,MOKIU,HandPump,NC/PC(0001986700)
8,BARAHSER,BARSAHAR,Shallow tubewell,Ground Water,UOIYT,HandPump,NC/PC(0004115183)
9,BARAHSER,BARSAHAR,Deep tubewell,Ground Water,Primary School Brahsher,HandPump,Satar Kataiya School Scheme(0002728022)
10,BARAHSER,BARSAHAR,Shallow tubewell,Ground Water,Primary School Brahsher,HandPump,School(0001970523)
11,BARAHSER,BHUMIHAR TOLA,Shallow tubewell,Ground Water,Bhumihar Tola,HandPump,NC/PC(0001957117)
12,BARAHSER,BHUMIHAR TOLA,Shallow tubewell,Ground Water,Near Ram Chandar Pasw an,HandPump,NC/PC(0001958041)
13,BARAHSER,BHUMIHAR TOLA,Shallow tubewell,Ground Water,P Chodari,HandPump,NC/PC(0005520837)
14,BARAHSER,CHAMAR TOLA,Shallow tubewell,Ground Water,CHAMAR TOLA,HandPump,NC/PC 2012- 13(0004728243)
15,BARAHSER,CHAMAR TOLA,Shallow tubewell,Ground Water,Prithvi Ram,HandPump,NC/PC(0002401025)
16,BARAHSER,CHAMAR TOLA,Shallow tubewell,Ground Water,In Tola,HandPump,NC/PC(0004115183)
17,BARAHSER,CHAMAR TOLA,Deep tubewell,Ground Water,Near Chamar Tola,HandPump,Near Mangal Kisku(0001330368)
18,BARAHSER,GANDOUL TOLA,Shallow tubewell,Ground Water,GANDOUL TOLA,HandPump,NC/PC 2012- 13(0004728253)
19,BARAHSER,GANDOUL TOLA,Shallow tubewell,Ground Water,Near Gandoul,HandPump,NC/PC(0004115183)
20,BARAHSER,GANDOUL TOLA,Deep tubewell,Ground Water,In Tola,HandPump,Near Musho Mukhiya(0001330370)
21,BARAHSER,GHAT TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006533524)
22,BARAHSER,GHAT TOLA,Deep tubewell,Ground Water,Godhi Tola,HandPump,IM-II Hand Pump(0006586159)
23,BARAHSER,GHAT TOLA,Shallow tubewell,Ground Water,Ghat Tola,HandPump,NC/PC(0004115183)
24,BARAHSER,GHAT TOLA,Deep tubewell,Ground Water,T/W 2,HandPump,Satar Kataiya QA Scheme(0007120017)
25,BARAHSER,GHAT TOLA,Deep tubewell,Ground Water,T/W 1,HandPump,Satar Kataiya QA Scheme(0007120017)
26,BARAHSER,KUMHAR TOLA,Shallow tubewell,Ground Water,KUMHAR TOLA,HandPump,NC/PC 2012- 13(0004728264)
27,BARAHSER,KUMHAR TOLA,Shallow tubewell,Ground Water,In Tola,HandPump,NC/PC(0002401026)
28,BARAHSER,KUMHAR TOLA,Shallow tubewell,Ground Water,In Tola,HandPump,NC/PC(0004115183)
29,BARAHSER,MAHTO TOLA,Shallow tubewell,Ground Water,Near Uttam Yadav,HandPump,NC/PC(0001958030)
30,BARAHSER,MAHTO TOLA,Shallow tubewell,Ground Water,Mohoito Tola,HandPump,NC/PC(0002401031)
31,BARAHSER,MAHTO TOLA,Shallow tubewell,Ground Water,In Tola,HandPump,NC/PC(0004115183)
32,BARAHSER,MAJHOUL,Deep tubewell,Ground Water,,PWS,Mini PWS(0005220362)
33,BARAHSER,MAJHOUL,Shallow tubewell,Ground Water,MAJHOUL,HandPump,NC/PC 2012- 13(0004728271)
34,BARAHSER,MAJHOUL,Shallow tubewell,Ground Water,UKO,HandPump,NC/PC(0004115183)
35,BARAHSER,MALLAH TOLA,Shallow tubewell,Ground Water,MALLAH TOLA,HandPump,NC/PC 2012- 13(0004728274)
36,BARAHSER,MALLAH TOLA,Shallow tubewell,Ground Water,In Tola,HandPump,NC/PC(0004115240)
37,BARAHSER,NAHAR TOLA . BRAHMIN,Shallow tubewell,Ground Water,In Tola,HandPump,NC/PC(0002401032)
38,BARAHSER,NAHAR TOLA . BRAHMIN,Shallow tubewell,Ground Water,In Tola,HandPump,NC/PC(0004115240)
39,BARAHSER,SANTHAL TOLA,Shallow tubewell,Ground Water,Nandkisor,HandPump,HP-IRP(0003773723)
40,BARAHSER,SANTHAL TOLA,Shallow tubewell,Ground Water,SANTHAL TOLA,HandPump,NC/PC 2012- 13(0004724421)
41,BARAHSER,SANTHAL TOLA,Shallow tubewell,Ground Water,In Tola,HandPump,NC/PC(0001957118)
42,BARAHSER,SANTHAL TOLA,Shallow tubewell,Ground Water,Near Raghu Mali,HandPump,NC/PC(0001958027)
