Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,MAKUNA,CHAMAR TOLA,Shallow tubewell,Ground Water,Near Saran Modi,HandPump,HP-IRP(0005621726)
2,MAKUNA,CHAMAR TOLA,Shallow tubewell,Ground Water,Near Raja Ram Mochi,HandPump,NC/PC(0002402899)
3,MAKUNA,CHOUDHARY TOLA,Shallow tubewell,Ground Water,Near School,HandPump,HP-IRP(0005621741)
4,MAKUNA,CHOUDHARY TOLA,Shallow tubewell,Ground Water,Near Manjo Devi,HandPump,NC/PC(0001957803)
5,MAKUNA,EAST TOLA,Shallow tubewell,Ground Water,Near Suresh Pasw an,HandPump,HP-IRP(0005621751)
6,MAKUNA,EAST TOLA,Shallow tubewell,Ground Water,Near Ragho Devi,HandPump,NC/PC(0002402900)
7,MAKUNA,EAST TOLA,Deep tubewell,Ground Water,Hand Pump 5,HandPump,Satar Kataiya QA Scheme(0007120017)
8,MAKUNA,GORHI TOLA,Shallow tubewell,Ground Water,Near Bhalo Devi,HandPump,HP-IRP(0005621760)
9,MAKUNA,GORHI TOLA,Shallow tubewell,Ground Water,NEAR GORHI TOLA,HandPump,NC/PC(0004539198)
10,MAKUNA,HALWAY TOLA,Shallow tubewell,Ground Water,Near School,HandPump,HP-IRP(0005621606)
11,MAKUNA,HALWAY TOLA,Shallow tubewell,Ground Water,Near Bhano Yadav,HandPump,NC/PC(0002402902)
12,MAKUNA,MAHTO TOLA,Shallow tubewell,Ground Water,Subhash Yadav,HandPump,NC/PC(0001957818)
13,MAKUNA,MAHTO TOLA,Deep tubewell,Ground Water,Hand Pump 1,HandPump,Satar Kataiya QA Scheme(0007120017)
14,MAKUNA,MIDDLE TOLA,Shallow tubewell,Ground Water,Near School,HandPump,NC/PC(0001957210)
15,MAKUNA,MOKNA,Shallow tubewell,Ground Water,Aganw adi Center Code- 20 Sarkari Chabutra,HandPump,Aaganw adi(0005834899)
16,MAKUNA,MOKNA,Shallow tubewell,Ground Water,Near Dilip Ram,HandPump,NC/PC(0001957827)
