Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,SATTAR,CHAMAR TOLA,Shallow tubewell,Ground Water,Near Bechan Ram,HandPump,HP-IRP(0003775374)
2,SATTAR,CHAMAR TOLA,Shallow tubewell,Ground Water,Near Shyam Yadav,HandPump,NC/PC(0001957230)
3,SATTAR,CHAMAR TOLA,Shallow tubewell,Ground Water,Near Baijnath Yadav,HandPump,NC/PC(0001958009)
4,SATTAR,KHADIPUR,Deep tubewell,Ground Water,IN VILLEGE,PWS,Mini PWS(0006534341)
5,SATTAR,KHADIPUR,Shallow tubewell,Ground Water,KHADIPUR,HandPump,NC/PC 2012- 13(0004690363)
6,SATTAR,KHADIPUR,Shallow tubewell,Ground Water,KHADIPUR,HandPump,NC/PC 2012- 13(0004725199)
7,SATTAR,KHADIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001986781)
8,SATTAR,KHADIPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0004115293)
9,SATTAR,KHARAGPUR,Shallow tubewell,Ground Water,KHARAGPUR,HandPump,NC/PC 2012- 13(0004690366)
10,SATTAR,KHARAGPUR,Shallow tubewell,Ground Water,Near School,HandPump,NC/PC(0001957232)
11,SATTAR,KHARAGPUR,Shallow tubewell,Ground Water,Near Valmiki Yadav,HandPump,NC/PC(0004115293)
12,SATTAR,KHONHA,Shallow tubewell,Ground Water,"NEAR M.SCHOOL, KHONHA",HandPump,HP-IRP(0003512362)
13,SATTAR,KHONHA,Deep tubewell,Ground Water,IN VILLEGE,PWS,Mini PWS(0006534348)
14,SATTAR,KHONHA,Shallow tubewell,Ground Water,Neaar Chandeshw ari Yadav,HandPump,NC/PC(0001958024)
15,SATTAR,KHONHA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001986783)
16,SATTAR,KHONHA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0004115293)
17,SATTAR,MANDAL TOLA,Shallow tubewell,Ground Water,Near Bikash Yadav,HandPump,HP-IRP(0003775396)
18,SATTAR,MANDAL TOLA,Shallow tubewell,Ground Water,Near Sita Ram Yadav,HandPump,NC/PC(0001957233)
19,SATTAR,MANDAL TOLA,Deep tubewell,Ground Water,Near Budhan Ram,HandPump,Near Jua Lal Yadav(0001330299)
20,SATTAR,MUKLA,Shallow tubewell,Ground Water,KUKLA,HandPump,NC/PC 2012- 13(0004725213)
