Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,SIHAUL,BAJRANG JHA TOLA,Shallow tubewell,Ground Water,Near Prem Baba,HandPump,NC/PC(0001986797)
2,SIHAUL,CHAKLA TOLA,Shallow tubewell,Ground Water,Ram Sagar Singh,HandPump,HP-IRP(0004115398)
3,SIHAUL,CHAKLA TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0005220816)
4,SIHAUL,DOM TOLA,Shallow tubewell,Ground Water,Aganw adi Center Code- 58 Samudayik Bhaw an Pakka,HandPump,Aaganw adi(0005849526)
5,SIHAUL,DOM TOLA,Shallow tubewell,Ground Water,Rohit Raj,HandPump,HP-IRP(0004115398)
6,SIHAUL,DOM TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0004963826)
7,SIHAUL,DOM TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0004963827)
8,SIHAUL,DOM TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0004963829)
9,SIHAUL,DOM TOLA,Shallow tubewell,Ground Water,Rakesh Bhagat,HandPump,NC/PC(0002403019)
10,SIHAUL,HARIJAN TOLA,Shallow tubewell,Ground Water,Aganw adi Center Code- 32 Samudayik Bhaw an Pakka,HandPump,Aaganw adi(0005849437)
11,SIHAUL,HARIJAN TOLA,Shallow tubewell,Ground Water,Bhola Singh,HandPump,HP-IRP(0004115398)
12,SIHAUL,HARIJAN TOLA,Shallow tubewell,Ground Water,Near Road Side,HandPump,NC/PC(0001986802)
13,SIHAUL,KUMHAR TOLA,Shallow tubewell,Ground Water,Near School,HandPump,HP-IRP(0004115398)
14,SIHAUL,KUMHAR TOLA,Shallow tubewell,Ground Water,Near Sani Pandit,HandPump,NC/PC(0001958165)
15,SIHAUL,KUMHAR TOLA,Shallow tubewell,Ground Water,Near Md. Aftab,HandPump,NC/PC(0001958266)
16,SIHAUL,KUWAR BRAHMIN TOLA,Shallow tubewell,Ground Water,Bhagat Jee,HandPump,HP-IRP(0004115398)
17,SIHAUL,KUWAR BRAHMIN TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0004963826)
18,SIHAUL,KUWAR BRAHMIN TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0004963827)
19,SIHAUL,KUWAR BRAHMIN TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0004963829)
20,SIHAUL,KUWAR BRAHMIN TOLA,Shallow tubewell,Ground Water,KUWAR BRAHMIN TOLA,HandPump,NC/PC 2012- 13(0004725302)
21,SIHAUL,KUWAR BRAHMIN TOLA,Shallow tubewell,Ground Water,Brahaman Tola,HandPump,NC/PC(0001986804)
22,SIHAUL,MALLAH TOLA,Shallow tubewell,Ground Water,Aganw adi Center Code- 56 Samudayik Bhaw an Pakka,HandPump,Aaganw adi(0005849477)
23,SIHAUL,MALLAH TOLA,Shallow tubewell,Ground Water,Aganw adi Center Code- 56 Samudayik Bhaw an Pakka,HandPump,Aaganw adi(0006049623)
24,SIHAUL,MALLAH TOLA,Shallow tubewell,Ground Water,Ruchir Mahto,HandPump,HP-IRP(0004115398)
25,SIHAUL,MALLAH TOLA,Shallow tubewell,Ground Water,Sari Kale,HandPump,HP-IRP(0005615924)
26,SIHAUL,MALLAH TOLA,Shallow tubewell,Ground Water,Rago Yadav,HandPump,NC/PC(0002403021)
27,SIHAUL,MUSALMAN TOLA,Shallow tubewell,Ground Water,Rupesh Jha,HandPump,HP-IRP(0003775912)
