Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,KARHARA,HARIJAN TOLA,Shallow tubewell,Ground Water,KARHARA TOLA,HandPump,HP- IRP(0004120411)
2,KARHARA,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC 2012- 13(0004667753)
3,KARHARA,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC 2012- 13(0004728499)
4,KARHARA,KARHARA GOTH,Shallow tubewell,Ground Water,NEAR MANDIR,HandPump,HP- IRP(0004120415)
5,KARHARA,KARHARA GOTH,Shallow tubewell,Ground Water,KARHARA GOTH,HandPump,NC/PC 2012- 13(0004667760)
6,KARHARA,KARHARA GOTH,Shallow tubewell,Ground Water,KARHARA GOTH,HandPump,NC/PC 2012- 13(0004729597)
7,KARHARA,KARHARA HINDU TOLA,Shallow tubewell,Ground Water,NEAR MANDIR,HandPump,NC/PC(0001953749)
8,KARHARA,KARHARA HINDU TOLA,Shallow tubewell,Ground Water,KARHARA HINDU TOLA,HandPump,NC/PC(0002386786)
9,KARHARA,KARHARA HINDU TOLA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Near Dip Narayan Sah(0001336098)
10,KARHARA,KARHARA HINDU TOLA,Deep tubewell,Ground Water,HINDU TOLA,HandPump,Near Manoj Sah(0001336094)
11,KARHARA,KARNARA,Shallow tubewell,Ground Water,NEAR THAKO SADA HOUSE,HandPump,HP- IRP(0003474270)
12,KARHARA,KARNARA,Shallow tubewell,Ground Water,NEAR MASJID,HandPump,NC/PC(0001953754)
13,KARHARA,KARNARA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002386787)
14,KARHARA,NEW KARHARA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP- IRP(0004120422)
15,KARHARA,NEW KARHARA,Shallow tubewell,Ground Water,NEW KARHARA,HandPump,NC/PC 2012- 13(0004667766)
16,KARHARA,NEW KARHARA,Shallow tubewell,Ground Water,NEW KARHARA,HandPump,NC/PC 2012- 13(0004729599)
