Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,JALAI,CHAKLA,Shallow tubewell,Ground Water,Aghanu,HandPump,HP-IRP(0003808169)
2,JALAI,CHAKLA,Deep tubewell,Ground Water,Jivach,HandPump,MAHISI HT SCHEME(0002689734)
3,JALAI,CHAKLA,Shallow tubewell,Ground Water,CHAKLA,HandPump,NC/PC 2012- 13(0004687102)
4,JALAI,CHAKLA,Shallow tubewell,Ground Water,CHAKLA,HandPump,NC/PC 2012- 13(0004721595)
5,JALAI,CHAKLA,Shallow tubewell,Ground Water,Mahadev,HandPump,NC/PC(0001955268)
6,JALAI,CHAKLA,Shallow tubewell,Ground Water,Bich,HandPump,NC/PC(0002387320)
7,JALAI,FUKURNALON,Shallow tubewell,Ground Water,Devi,HandPump,HP-IRP(0003808335)
8,JALAI,FUKURNALON,Deep tubewell,Ground Water,Mabir,HandPump,MAHISI HT SCHEME(0002689734)
9,JALAI,FUKURNALON,Shallow tubewell,Ground Water,FUKURNALON,HandPump,NC/PC 2012- 13(0004687152)
10,JALAI,FUKURNALON,Shallow tubewell,Ground Water,FUKURNALON,HandPump,NC/PC 2012- 13(0004721597)
11,JALAI,FUKURNALON,Shallow tubewell,Ground Water,Sardara,HandPump,NC/PC(0001955271)
12,JALAI,FUKURNALON,Shallow tubewell,Ground Water,Jay Parkash,HandPump,NC/PC(0002387322)
13,JALAI,HARIJAN TOLA,Shallow tubewell,Ground Water,Tul Mohan,HandPump,HP-IRP(0003806827)
14,JALAI,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC 2012- 13(0004721600)
15,JALAI,HARIJAN TOLA,Shallow tubewell,Ground Water,Jagarnath,HandPump,NC/PC(0001955276)
16,JALAI,HARIJAN TOLA,Shallow tubewell,Ground Water,Amrnath Kamat,HandPump,NC/PC(0002387324)
17,JALAI,JALAI,Shallow tubewell,Ground Water,"NEAR KHATA NO.- 55, KHESRA NO.- 2461",HandPump,HP-IRP(0003480283)
18,JALAI,JALAI,Shallow tubewell,Ground Water,"NEAR KHATA NO.- 771, KHESRA NO.- 3021",HandPump,HP-IRP(0003480301)
19,JALAI,JALAI,Deep tubewell,Ground Water,In Village,PWS,Mini PWS(0006534204)
20,JALAI,JALAI,Shallow tubewell,Ground Water,MAUNAR,HandPump,NC/PC(0001988963)
21,JALAI,JALAI,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002387583)
22,JALAI,JALAI,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002387586)
23,JALAI,JALAI,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002387588)
24,JALAI,JALAI,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002387590)
25,JALAI,JALAI,Deep tubewell,Ground Water,JALAI,HandPump,Near Road Chock(0001336112)
26,JALAI,JALAI PUNCHBAS,Shallow tubewell,Ground Water,MAUNAR,HandPump,HP-IRP(0005613895)
27,JALAI,JALAI PUNCHBAS,Shallow tubewell,Ground Water,JALAI PUNCHBAS,HandPump,NC/PC(0001955282)
28,JALAI,JALAI PUNCHBAS,Shallow tubewell,Ground Water,JALAI,HandPump,NC/PC(0002387593)
29,JALAI,JHOUTA,Shallow tubewell,Ground Water,Chok,HandPump,HP-IRP(0003808433)
30,JALAI,JHOUTA,Deep tubewell,Ground Water,Mahdev,HandPump,MAHISI HT SCHEME(0002689734)
31,JALAI,JHOUTA,Shallow tubewell,Ground Water,Suresh,HandPump,NC/PC(0001955287)
32,JALAI,JHOUTA,Shallow tubewell,Ground Water,Alihasan,HandPump,NC/PC(0002387596)
33,JALAI,MOBARAK PUR,Shallow tubewell,Ground Water,Parmod,HandPump,HP-IRP(0003808463)
34,JALAI,MOBARAK PUR,Deep tubewell,Ground Water,Shiv Narayan,HandPump,MAHISI HT SCHEME(0002689734)
35,JALAI,MOBARAK PUR,Shallow tubewell,Ground Water,MOBARAK PUR,HandPump,NC/PC 2012- 13(0004721603)
36,JALAI,MOBARAK PUR,Shallow tubewell,Ground Water,Mavir Mandir,HandPump,NC/PC(0001955294)
37,JALAI,MOBARAK PUR,Shallow tubewell,Ground Water,Yadav,HandPump,NC/PC(0002387598)
38,JALAI,ROUH,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006524655)
39,JALAI,ROUH,Deep tubewell,Ground Water,NEAR ROAD,HandPump,MAHISI HT SCHEME(0002689734)
40,JALAI,ROUH,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0001955296)
41,JALAI,ROUH,Shallow tubewell,Ground Water,ROUH,HandPump,NC/PC(0002387600)
42,JALAI,SHANKAR PUR,Shallow tubewell,Ground Water,SHANKAR PUR,HandPump,NC/PC(0001955304)
43,JALAI,SHANKAR PUR,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002387602)
44,JALAI,SHANR TOLA,Shallow tubewell,Ground Water,Ram Jee,HandPump,HP-IRP(0003819140)
45,JALAI,SHANR TOLA,Deep tubewell,Ground Water,In Tola,HandPump,MAHISI HT SCHEME(0002689734)
46,JALAI,SHANR TOLA,Shallow tubewell,Ground Water,SHANR TOLA,HandPump,NC/PC 2012- 13(0004721606)
47,JALAI,SHANR TOLA,Shallow tubewell,Ground Water,Parmesw ar,HandPump,NC/PC(0001955307)
48,JALAI,SHANR TOLA,Shallow tubewell,Ground Water,Umesh,HandPump,NC/PC(0002387610)
49,JALAI,SHEUKORPUR PUSA,Shallow tubewell,Ground Water,Babajee,HandPump,HP-IRP(0003819157)
50,JALAI,SHEUKORPUR PUSA,Deep tubewell,Ground Water,Dukha,HandPump,MAHISI HT SCHEME(0002689734)
51,JALAI,SHEUKORPUR PUSA,Shallow tubewell,Ground Water,SHEUKORPUR PUSA,HandPump,NC/PC 2012- 13(0004721610)
52,JALAI,SHEUKORPUR PUSA,Shallow tubewell,Ground Water,Thkubari,HandPump,NC/PC(0001955310)
53,JALAI,SHEUKORPUR PUSA,Shallow tubewell,Ground Water,Banarsi,HandPump,NC/PC(0002387612)
54,JALAI,TALAI DIH,Deep tubewell,Ground Water,Laxman,HandPump,MAHISI HT SCHEME(0002689734)
55,JALAI,TALAI DIH,Shallow tubewell,Ground Water,Bhagbat,HandPump,NC/PC(0001955346)
56,JALAI,TALAI DIH,Shallow tubewell,Ground Water,In Tola,HandPump,NC/PC(0002387615)
57,MANAUR,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0003806837)
58,MANAUR,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC 2012- 13(0004721613)
59,MANAUR,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC(0001955350)
60,MANAUR,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002387617)
61,MANAUR,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002387638)
62,MANAUR,ISBMO PUR,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0003806843)
