Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,AMAHI,AMAHI,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006526434)
2,AMAHI,AMAHI,Shallow tubewell,Ground Water,MAHENDRA RAM/ KANHIYA RAM,HandPump,HP-IRP(0003472728)
3,AMAHI,AMAHI H T,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006526455)
4,AMAHI,AMAHI H T,Shallow tubewell,Ground Water,In Tola,HandPump,HP-IRP(0003806756)
5,AMAHI,AMAHI RAJPUT TOLA,Shallow tubewell,Ground Water,AMAHI RAJPUT TOLA,HandPump,NC/PC(0001955613)
6,AMAHI,AMAHI RAJPUT TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002391230)
7,AMAHI,MOHANPUR,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006526472)
8,AMAHI,MOHANPUR,Shallow tubewell,Ground Water,NEAR MOHANPUR,HandPump,NC/PC(0004530657)
9,AMAHI,MOHANPUR H T,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006526487)
10,AMAHI,MOHANPUR H T,Shallow tubewell,Ground Water,NEAR MOHANPUR H T,HandPump,NC/PC(0004530662)
11,AMAHI,MOHANPUR RAJPUT TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006526509)
12,AMAHI,MOHANPUR RAJPUT TOLA,Shallow tubewell,Ground Water,NEAR MOHANPUR RAJPUT TOLA,HandPump,NC/PC(0004530669)
13,VIRGOAN,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0003807449)
14,VIRGOAN,HARIJAN TOLA,Shallow tubewell,Ground Water,Harijan Tola,HandPump,HP-IRP(0005829345)
15,VIRGOAN,HARIJAN TOLA,Shallow tubewell,Ground Water,Abdul Hasan,HandPump,HP-IRP(0005829350)
16,VIRGOAN,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC 2012- 13(0004723333)
17,VIRGOAN,HARIJAN TOLA,Shallow tubewell,Ground Water,VIRGOAN,HandPump,NC/PC(0001955615)
18,VIRGOAN,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002391232)
19,VIRGOAN,KOUA KHAN,Deep tubewell,Ground Water,Mushahari Tola,HandPump,IM-II Hand Pump(0006588545)
20,VIRGOAN,KOUA KHAN,Deep tubewell,Ground Water,NEAR ROAD,HandPump,MAHISI HT SCHEME(0002689734)
21,VIRGOAN,KOUA KHAN,Shallow tubewell,Ground Water,KOUA KHAN,HandPump,NC/PC(0001989045)
22,VIRGOAN,KOUA KHAN,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002391234)
23,VIRGOAN,NAYA TOLA,Shallow tubewell,Ground Water,NAYA TOLA,HandPump,NC/PC(0001955617)
24,VIRGOAN,NAYA TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002391240)
25,VIRGOAN,NAYA TOLA,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Mahishi(0007086772)
26,VIRGOAN,NEW BIRGOAN,Shallow tubewell,Ground Water,NEW BIRGOAN,HandPump,NC/PC(0001989048)
27,VIRGOAN,NEW BIRGOAN,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002391244)
28,VIRGOAN,NEW BIRGOAN,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002391246)
29,VIRGOAN,NEW BIRGOAN,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002391248)
30,VIRGOAN,NEW BIRGOAN,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002391250)
31,VIRGOAN,NEW BIRGOAN,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002391252)
32,VIRGOAN,NEW BIRGOAN,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002391254)
33,VIRGOAN,NEW BIRGOAN,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002391256)
34,VIRGOAN,NEW BIRGOAN,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Mahishi(0007086772)
35,VIRGOAN,PACHPAMIA TOLA,Shallow tubewell,Ground Water,NEAR PACHPAMIA TOLA,HandPump,NC/PC(0004530676)
36,VIRGOAN,PACHPAMIA TOLA,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Mahishi(0007086772)
37,VIRGOAN,RAJPUT TOLA,Shallow tubewell,Ground Water,NEAR RAJPUT TOLA,HandPump,NC/PC(0004530685)
38,VIRGOAN,RAJPUT TOLA,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Mahishi(0007086772)
39,VIRGOAN,VIRGOAN,Shallow tubewell,Ground Water,Aganw adis Center Tarhi Code- 1,HandPump,Angaw adis(0004948252)
40,VIRGOAN,VIRGOAN,Deep tubewell,Ground Water,NEAR ROAD,HandPump,MAHISI HT SCHEME(0002689734)
41,VIRGOAN,VIRGOAN,Shallow tubewell,Ground Water,VIRGOAN,HandPump,NC/PC(0001989050)
42,VIRGOAN,VIRGOAN,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002391263)
43,VIRGOAN,VIRGOAN,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002391266)
44,VIRGOAN,VIRGOAN,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002391272)
45,VIRGOAN,VIRGOAN,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002391274)
46,VIRGOAN,VIRGOAN,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Mahishi(0007086772)
47,VIRGOAN,WEST BIRGOAN,Shallow tubewell,Ground Water,WEST BIRGOAN,HandPump,NC/PC(0001955619)
48,VIRGOAN,WEST BIRGOAN,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002391276)
