Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,AKARH,AKARH,Shallow tubewell,Ground Water,Bharo Sthan,HandPump,HP-IRP(0005820605)
2,AKARH,AKARH,Deep tubewell,Ground Water,,PWS,Mini PWS(0005242412)
3,AKARH,AKARH,Deep tubewell,Ground Water,Middle School Akardh,HandPump,Nauhatta School Scheme(0002727974)
4,AKARH,AKARH,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/[C(0004114969)
5,AKARH,AKARH,Shallow tubewell,Ground Water,Middle School Akardh,HandPump,School(0001966254)
6,AKARH,BASAIR TOLA,Shallow tubewell,Ground Water,BASAIR TOLA,HandPump,HP-IRP(0003804848)
7,AKARH,BASAIR TOLA,Shallow tubewell,Ground Water,BASAIR TOLA,HandPump,NC/[C(0004114969)
8,AKARH,BASAIR TOLA,Shallow tubewell,Ground Water,BASAIR TOLA,HandPump,NC/PC 2012- 13(0004723146)
9,AKARH,BASAIR TOLA,Shallow tubewell,Ground Water,BASAIR TOLA,HandPump,NC/PC(0001957323)
10,AKARH,BRAHMAN TOLA,Shallow tubewell,Ground Water,NEAR CHAUK,HandPump,HP-IRP(0005598596)
11,AKARH,BRAHMAN TOLA,Deep tubewell,Ground Water,In Village,PWS,Mini PWS(0006534190)
12,AKARH,BRAHMAN TOLA,Deep tubewell,Ground Water,T/W 1,HandPump,Nauhatta QA Scheme(0007096918)
13,AKARH,BRAHMAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0001989134)
14,AKARH,GANGA GODEVI TOLA,Shallow tubewell,Ground Water,NEAR GODEVI TOLA,HandPump,NC/[C(0004114969)
15,AKARH,GOPI MISHRA TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/[C(0004114969)
16,AKARH,JWALA MUKHI TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/[C(0004114969)
17,AKARH,KALWAR TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/[C(0004114969)
18,AKARH,KHON MUSHARI,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006526588)
19,AKARH,KHON MUSHARI,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002400076)
20,AKARH,KRISHN MANDIR TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006526599)
21,AKARH,KRISHN MANDIR TOLA,Shallow tubewell,Ground Water,KRISHN MANDIR TOLA,HandPump,HP-IRP(0003804864)
22,AKARH,KRISHN MANDIR TOLA,Shallow tubewell,Ground Water,KRISHN MANDIR TOLA,HandPump,NC/PC 2012- 13(0004687374)
23,AKARH,KRISHN MANDIR TOLA,Shallow tubewell,Ground Water,KRISHN MANDIR TOLA,HandPump,NC/PC(0001957324)
24,AKARH,MOCHI TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/[C(0004114969)
25,AKARH,MOCHI TOLA,Shallow tubewell,Ground Water,NEAR MANDIR,HandPump,NC/PC(0002400075)
26,AKARH,YADAV TOLA,Shallow tubewell,Ground Water,NEAR VILLAGE ROAD,HandPump,HP-IRP(0005598978)
27,AKARH,YADAV TOLA,Shallow tubewell,Ground Water,,HandPump,HP-IRP(0005598998)
28,AKARH,YADAV TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0001957325)
29,CHANDRAIN,BRAHMIN TOLA,Deep tubewell,Ground Water,,PWS,Naw hatta(0004964181)
30,CHANDRAIN,BRAHMIN TOLA,Shallow tubewell,Ground Water,NEAR MANDIR,HandPump,NC/PC(0001957326)
31,CHANDRAIN,CHANDRAIN,Shallow tubewell,Ground Water,NEAR RIVER,HandPump,HP-IRP(0003804909)
32,CHANDRAIN,CHANDRAIN,Shallow tubewell,Ground Water,Pr.Vidyalaya Road Kinare,HandPump,HP-IRP(0005820617)
33,CHANDRAIN,CHANDRAIN,Shallow tubewell,Ground Water,Dara Tola,HandPump,HP-IRP(0005822171)
34,CHANDRAIN,CHANDRAIN,Deep tubewell,Ground Water,Bhagw ati Sthan,HandPump,IM-II Hand Pump(0006585254)
35,CHANDRAIN,CHANDRAIN,Deep tubewell,Ground Water,Anandi Ram,HandPump,IM-II Hand Pump(0006585256)
36,CHANDRAIN,CHANDRAIN,Deep tubewell,Ground Water,,PWS,Mini PWS(0005031986)
