Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BIRJAIN,BIRJAIN,Shallow tubewell,Ground Water,BIRJAIN,HandPump,HP-IRP(0005623157)
2,BIRJAIN,BIRJAIN,Deep tubewell,Ground Water,Pramary School Koyla,HandPump,Nauhatta School Scheme(0002727974)
3,BIRJAIN,BIRJAIN,Deep tubewell,Ground Water,Pramary School Birjain,HandPump,Nauhatta School Scheme(0002727974)
4,BIRJAIN,BIRJAIN,Shallow tubewell,Ground Water,MS BIRJAEIN,Others,School(0006077784)
5,BIRJAIN,BIRJAIN GOATH,Shallow tubewell,Ground Water,JAIN GOATH,HandPump,HP-IRP(0005623277)
6,BIRJAIN,BIRJAIN GOATH,Shallow tubewell,Ground Water,NEAR BIRJAIN GOATH,HandPump,NC/PC(0004534013)
7,BIRJAIN,HARIJAN TOLA,Shallow tubewell,Ground Water,: HARIJAN TOLA,HandPump,HP-IRP(0005623301)
8,BIRJAIN,HARIJAN TOLA,Shallow tubewell,Ground Water,JAN TOL,HandPump,NC/PC(0002400865)
9,BIRJAIN,NEW BIRJAIN,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006529431)
10,BIRJAIN,NEW BIRJAIN,Shallow tubewell,Ground Water,NEAR NEW BIRJAIN,HandPump,NC/PC(0004534019)
11,BIRJAIN,YADAV TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006529456)
12,BIRJAIN,YADAV TOLA,Shallow tubewell,Ground Water,NEAR YADAV TOLA,HandPump,NC/PC(0004534031)
13,NARAINPUR,DHOBI TOLA,Shallow tubewell,Ground Water,NEAR DHOBI TOLA,HandPump,NC/PC(0004534041)
14,NARAINPUR,DHOBI TOLA,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Nauhatta(0007096937)
15,NARAINPUR,MOCHI TOLA,Shallow tubewell,Ground Water,IN TOLA,HandPump,NC/PC(0002400872)
16,NARAINPUR,MOCHI TOLA,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Nauhatta(0007096937)
17,NARAINPUR,MUSHAHRI,Shallow tubewell,Ground Water,NEAR MUSHAHRI,HandPump,NC/PC(0004539017)
18,NARAINPUR,MUSHAHRI,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Nauhatta(0007096937)
19,NARAINPUR,NARAYAN PUR,Shallow tubewell,Ground Water,Bich Yadav Tola,HandPump,HP-IRP(0005822165)
20,NARAINPUR,NARAYAN PUR,Deep tubewell,Ground Water,School Campus ,PWS,Mini Nauhatta(0007137894)
21,NARAINPUR,NARAYAN PUR,Deep tubewell,Ground Water,Pramary School Narayan Pur,HandPump,Nauhatta School Scheme(0002727974)
22,NARAINPUR,NARAYAN PUR,Shallow tubewell,Ground Water,NARAYAN PUR,HandPump,NC/PC(0001989289)
23,NARAINPUR,NARAYAN PUR,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Nauhatta(0007096937)
24,NARAINPUR,NARAYAN PUR,Shallow tubewell,Ground Water,MS NARAYANPUR,Others,School(0006077780)
25,NARAINPUR,NARAYAN PUR GOATH,Shallow tubewell,Ground Water,IN TOLA,HandPump,NC/PC(0001989290)
26,NARAINPUR,NARAYAN PUR GOATH,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Nauhatta(0007096937)
27,NARAINPUR,NARAYAN PUR GOATH,Deep tubewell,Ground Water,T/W 2,HandPump,QA Scheme For Nauhatta(0007096937)
28,NARAINPUR,NEW NARAYAN PUR,Shallow tubewell,Ground Water,,HandPump,HP-IRP(0003806131)
29,NARAINPUR,NEW NARAYAN PUR,Shallow tubewell,Ground Water,IN TOLA,HandPump,HP-IRP(0003806146)
30,NARAINPUR,NEW NARAYAN PUR,Shallow tubewell,Ground Water,NEW NARAYANPUR,HandPump,NC/PC 2012- 13(0004724350)
31,NARAINPUR,NEW NARAYAN PUR,Shallow tubewell,Ground Water,IN TOLA,HandPump,NC/PC(0001957424)
32,NARAINPUR,YADAV TOLA,Shallow tubewell,Ground Water,NEAR YADAV TOLA,HandPump,NC/PC(0004539020)
33,NARAINPUR,YADAV TOLA,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Nauhatta(0007096937)
34,NARGA,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR HARIJAN TOLA,HandPump,NC/PC(0004539023)
35,NARGA,HARIJAN TOLA,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Nauhatta(0007096937)
36,NARGA,NARANGA,Shallow tubewell,Ground Water,NEAR NARANGA,HandPump,NC/PC(0004539029)
37,NARGA,NARANGA,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Nauhatta(0007096937)
38,NARGA,NARANGA GOATH,Shallow tubewell,Ground Water,: NARANGA GOATH,HandPump,NC/PC(0002400871)
39,NARGA,NARANGA GOATH,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Nauhatta(0007096937)
40,NARGA,YADAV TOLA,Shallow tubewell,Ground Water,NEAR YADAV TOLA,HandPump,NC/PC(0004539034)
41,NARGA,YADAV TOLA,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Nauhatta(0007096937)
42,SATAUR,BARUA,Shallow tubewell,Ground Water,NEAR BARUA,HandPump,NC/PC(0004539036)
43,SATAUR,BARUA,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Nauhatta(0007096937)
44,SATAUR,BELHI TOLA,Shallow tubewell,Ground Water,BICH TOLA,HandPump,NC/PC(0001957425)
45,SATAUR,BELHI TOLA,Deep tubewell,Ground Water,SCHOOL,HandPump,Near Sikandar(0001333957)
46,SATAUR,BELHI TOLA,Deep tubewell,Ground Water,IN TOLA,HandPump,Near Sudhir Kumar(0001333944)
47,SATAUR,BELHI TOLA,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Nauhatta(0007096937)
48,SATAUR,BELHI YADAV TOLA,Shallow tubewell,Ground Water,YADAV TOLA,HandPump,NC/PC(0001957426)
49,SATAUR,BELHI YADAV TOLA,Deep tubewell,Ground Water,BAIHI,HandPump,Near Enlish Kumar(0001333968)
50,SATAUR,BELHI YADAV TOLA,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Nauhatta(0007096937)
51,ATAUR,KOYALA H.T,Shallow tubewell,Ground Water,NEAR KOYALA H.T,HandPump,NC/PC(0004539037)
52,ATAUR,KOYALA H.T,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Nauhatta(0007096937)
53,ATAUR,MOCHI TOLA,Shallow tubewell,Ground Water,NEAR MOCHI TOLA,HandPump,NC/PC(0004539040)
54,ATAUR,MOCHI TOLA,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Nauhatta(0007096937)
