Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,PACHGACHHIA,BISHHARI TOLA,Shallow tubewell,Ground Water,,HandPump,HP-IRP(000377479 ) 0
2,PACHGACHHIA,BISHHARI TOLA,Shallow tubewell,Ground Water,BISHHARI TOLA,HandPump,NC/PC 2012- 13(0004690300)
3,PACHGACHHIA,BISHHARI TOLA,Shallow tubewell,Ground Water,BISHHARI TOLA,HandPump,NC/PC 2012- 13(0004725471)
4,PACHGACHHIA,BISHHARI TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001986726)
5,PACHGACHHIA,BISHHARI TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001986728)
6,PACHGACHHIA,BISHHARI TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0004115366)
7,PACHGACHHIA,BRAHMIN TOLA,Deep tubewell,Ground Water,Sardar Singh,HandPump,IM-II Hand Pump(0006586089)
8,PACHGACHHIA,BRAHMIN TOLA,Shallow tubewell,Ground Water,Near Tola,HandPump,NC/PC(0001986741)
9,PACHGACHHIA,BRAHMIN TOLA,Deep tubewell,Ground Water,,PWS,Panchgachiya Ptori(0004964214)
10,PACHGACHHIA,DURGAPUR,Shallow tubewell,Ground Water,Praveen Anand,HandPump,HP-IRP(0005829092)
11,PACHGACHHIA,DURGAPUR,Shallow tubewell,Ground Water,DURGAPUR,HandPump,NC/PC 2012- 13(0004690306)
12,PACHGACHHIA,DURGAPUR,Shallow tubewell,Ground Water,DURGAPUR,HandPump,NC/PC 2012- 13(0004725479)
13,PACHGACHHIA,DURGAPUR,Shallow tubewell,Ground Water,Near Pipal Tree,HandPump,NC/PC(0001957196)
14,PACHGACHHIA,DURGAPUR,Shallow tubewell,Ground Water,Near Bhola Baba,HandPump,NC/PC(0004115366)
15,PACHGACHHIA,DURGAPUR,Deep tubewell,Ground Water,Near School,HandPump,Near Kedar Mukhya(0001330574)
16,PACHGACHHIA,DURGAPUR,Deep tubewell,Ground Water,M School DORMA,HandPump,Satar Kataiya School Scheme(0002728022)
17,PACHGACHHIA,DURGAPUR,Shallow tubewell,Ground Water,M School DORMA,HandPump,School(0001970451)
18,PACHGACHHIA,MUHAPATRA TOLA,Shallow tubewell,Ground Water,,HandPump,HP-IRP(0003774919)
19,PACHGACHHIA,MUHAPATRA TOLA,Shallow tubewell,Ground Water,NEAR VIKRAM JHA CHAPAKAL WITH I.R.P.,HandPump,HP-IRP(0004095691)
20,PACHGACHHIA,MUHAPATRA TOLA,Shallow tubewell,Ground Water,MUHAPATRA TOLA,HandPump,NC/PC 2012- 13(0004690314)
