Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,PURIKH,BRAHMIN TOLA,Shallow tubewell,Ground Water,"NEAR M.SCHOOL, PURIKH",HandPump,HP-IRP(0003512303)
2,PURIKH,BRAHMIN TOLA,Shallow tubewell,Ground Water,Near Pipal Tree,HandPump,NC/PC(0001986763)
3,PURIKH,CHAMAR TOLA,Shallow tubewell,Ground Water,NEAR SURENDRA RAM,HandPump,HP-IRP(0003512332)
4,PURIKH,CHAMAR TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0004964497)
5,PURIKH,DOM TOLA,Shallow tubewell,Ground Water,Near Pasw an,HandPump,HP-IRP(0005615572)
6,PURIKH,DOM TOLA,Shallow tubewell,Ground Water,Near School,HandPump,NC/PC(0002402882)
7,PURIKH,MELA TOLA,Shallow tubewell,Ground Water,Near School,HandPump,HP-IRP(0005621711)
8,PURIKH,MELA TOLA,Shallow tubewell,Ground Water,Tola,HandPump,NC/PC(0002402885)
9,PURIKH,MELA TOLA,Deep tubewell,Ground Water,Mela NORTH TOLA,HandPump,Near Rameshw ar Choudhary(0001332185)
10,PURIKH,MIYAN TOLA,Shallow tubewell,Ground Water,Near Maimol Khatoon,HandPump,NC/PC(0001957988)
11,PURIKH,MIYAN TOLA,Shallow tubewell,Ground Water,Near Ram Sagar,HandPump,NC/PC(0002402886)
12,PURIKH,MIYAN TOLA,Deep tubewell,Ground Water,Near School,HandPump,Near Sahlendar Kamat(0001332183)
13,PURIKH,MUSHARI,Shallow tubewell,Ground Water,Near Sonu Mochi,HandPump,HP-IRP(0003773540)
14,PURIKH,MUSHARI,Deep tubewell,Ground Water,Agun Mushahar,HandPump,IM-II Hand Pump(0006586062)
15,PURIKH,MUSHARI,Shallow tubewell,Ground Water,MUSHARI,HandPump,NC/PC 2012- 13(0004690337)
16,PURIKH,MUSHARI,Shallow tubewell,Ground Water,Near School,HandPump,NC/PC(0001957208)
17,PURIKH,PURIKH,Shallow tubewell,Ground Water,Aganw adi Center Code- 18 Sarkari Bhaw an,HandPump,Aaganw adi(0005834807)
18,PURIKH,PURIKH,Shallow tubewell,Ground Water,Aganw adis Center Naw toliya,HandPump,Angaw adis(0004952574)
19,PURIKH,PURIKH,Shallow tubewell,Ground Water,NEAR PANCHAYAT BHAWAN,HandPump,HP-IRP(0003512282)
20,PURIKH,PURIKH,Shallow tubewell,Ground Water,Aganw adis Center Naw toliya Santhali Tola Code- 16,HandPump,HP-IRP(0004952606)
21,PURIKH,PURIKH,Shallow tubewell,Ground Water,PURIKH,HandPump,NC/PC 2012- 13(0004732546)
22,PURIKH,PURIKH,Shallow tubewell,Ground Water,Near Bhola,HandPump,NC/PC(0001986765)
23,PURIKH,PURIKH,Deep tubewell,Ground Water,Near Tola,HandPump,Near Ashok Kumar Singh(0001330406)
24,PURIKH,PURIKH,Deep tubewell,Ground Water,Near School,HandPump,Near Bhla Sarma(0001330400)
25,PURIKH,PURIKH,Deep tubewell,Ground Water,Primary School Puriks,HandPump,Satar Kataiya School Scheme(0002728022)
26,PURIKH,PURIKH,Shallow tubewell,Ground Water,Primary School Puriks,HandPump,School(0001970529)
27,PURIKH,RAJPUT TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006533562)
28,PURIKH,RAJPUT TOLA,Shallow tubewell,Ground Water,NEAR RAJPUT TOLA,HandPump,NC/PC(0004539194)
29,PURIKH,SANTHAL KAMAT TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006533564)
30,PURIKH,SANTHAL KAMAT TOLA,Deep tubewell,Ground Water,Primary School Santhal Tola,HandPump,Satar Kataiya School Scheme(0002728022)
31,PURIKH,SANTHAL KAMAT TOLA,Shallow tubewell,Ground Water,Primary School Santhal Tola,HandPump,School(0001970535)
32,PURIKH,SHAH TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006533373)
33,PURIKH,SHAH TOLA,Shallow tubewell,Ground Water,Near Soman Kamat,HandPump,NC/PC(0001957985)
34,PURIKH,SHAH TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002402887)
35,PURIKH,SOUTH BRAHMIN TOLA,Shallow tubewell,Ground Water,Amit Jha,HandPump,NC/PC(0001986767)
36,PURIKH,TANTI TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006533415)
37,PURIKH,TANTI TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002402889)
38,TUNIAHI,CHOWK TUNIYAHI,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006533416)
39,TUNIAHI,CHOWK TUNIYAHI,Shallow tubewell,Ground Water,Near Agam Mushar,HandPump,NC/PC(0001957980)
40,TUNIAHI,JOLHA TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006533417)
41,TUNIAHI,JOLHA TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002402891)
42,TUNIAHI,JOLHA TOLA,Deep tubewell,Ground Water,,HandPump,Near Agnideo Sarma(0001330386)
43,TUNIAHI,NEASR NORTH SANTHAL TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006533419)
44,TUNIAHI,NEASR NORTH SANTHAL TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002402895)
45,TUNIAHI,NORTH TUNIYAHI,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006533420)
46,TUNIAHI,NORTH TUNIYAHI,Deep tubewell,Ground Water,,HandPump,Near Minu Sah(0001330390)
47,TUNIAHI,SOUTH TUNIYAHI,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006533422)
48,TUNIAHI,SOUTH TUNIYAHI,Shallow tubewell,Ground Water,Near Manhara Chok,HandPump,NC/PC(0001957904)
49,TUNIAHI,SOUTH TUNIYAHI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002402896)
50,TUNIAHI,TUNIYAHI,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006533426)
51,TUNIAHI,TUNIYAHI,Shallow tubewell,Ground Water,NEAR RAIN BASERA CHOUQUE,HandPump,HP-IRP(0003512268)
52,TUNIAHI,TUNIYAHI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001957209)
53,TUNIAHI,TUNIYAHI,Deep tubewell,Ground Water,Primary School Tunyahi,HandPump,Satar Kataiya School Scheme(0002728022)
54,TUNIAHI,TUNIYAHI,Shallow tubewell,Ground Water,Primary School Tunyahi,HandPump,School(0001970541)
