Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,CHAINPUR,CHAINPUR,Shallow tubewell,Ground Water,Aganw adi Center Code- 103 Sharma Tola,HandPump,Aaganw adi(0006049495)
2,CHAINPUR,CHAINPUR,Shallow tubewell,Ground Water,Aganw adi Center Code- 104 Harijan Tola,HandPump,Aaganw adi(0006049507)
3,CHAINPUR,CHAINPUR,Shallow tubewell,Ground Water,Neelkanth Mandir,HandPump,HP-IRP(0005820503)
4,CHAINPUR,CHAINPUR,Deep tubewell,Ground Water,Mahai Ram,HandPump,IM-II Hand Pump(0006576116)
5,CHAINPUR,CHAINPUR,Deep tubewell,Ground Water,Umakant Kamat,HandPump,IM-II Hand Pump(0006576131)
6,CHAINPUR,CHAINPUR,Deep tubewell,Ground Water,Moki,HandPump,KAHARA HT SCHEME(0002689658)
7,CHAINPUR,CHAINPUR,Deep tubewell,Ground Water,Nps Sada Tola Dhamaira Chainpur,Others,Mini PWS(0006542432)
8,CHAINPUR,CHAINPUR,Shallow tubewell,Ground Water,Loki,HandPump,NC/PC(0001986046)
9,CHAINPUR,DHOLI,Shallow tubewell,Ground Water,Gitesh Thakur,HandPump,HP-IRP(0003757591)
10,CHAINPUR,DHOLI,Shallow tubewell,Ground Water,Subhash Jha,HandPump,NC/PC(0001955807)
11,CHAINPUR,DHOLI,Shallow tubewell,Ground Water,Near Naya Kali Sthan,HandPump,NC/PC(0001957581)
12,CHAINPUR,DHOLI,Shallow tubewell,Ground Water,Near Dharm Ran Sthan,HandPump,NC/PC(0001957584)
13,CHAINPUR,DURGA STHAN DEVENDR THAKUR TOLA,Shallow tubewell,Ground Water,Dipak Kumar,HandPump,HP-IRP(0004112491)
14,CHAINPUR,DURGA STHAN DEVENDR THAKUR TOLA,Shallow tubewell,Ground Water,Tiran Kumar,HandPump,NC/PC 2012- 13(0004727878)
15,CHAINPUR,DURGA STHAN DEVENDR THAKUR TOLA,Deep tubewell,Ground Water,,PWS,Parri Chainpur(0005071935)
16,HAINPUR,EAST TOLA PRAMUKH TOLA,Shallow tubewell,Ground Water,Dilip Choudhari,HandPump,NC/PC(0001955810)
17,HAINPUR,KALISTHAN TOLA,Deep tubewell,Ground Water,IN TOLA,HandPump,HP(0006524100)
18,HAINPUR,KALISTHAN TOLA,Shallow tubewell,Ground Water,Dayanath Jha,HandPump,HP-IRP(0005820494)
19,HAINPUR,KALISTHAN TOLA,Shallow tubewell,Ground Water,NEAR KALISTHAN TOLA,HandPump,NC/PC(0004522675)
20,HAINPUR,LATURI JHA TEACHER TOLA,Shallow tubewell,Ground Water,Amrendar Singh,HandPump,HP-IRP(0004112503)
21,HAINPUR,LATURI JHA TEACHER TOLA,Shallow tubewell,Ground Water,Binrendar Singh,HandPump,NC/PC 2012- 13(0004727879)
22,HAINPUR,NEW KALISTHAN TOLA,Shallow tubewell,Ground Water,Subha Chandra Misra,HandPump,NC/PC(0001955814)
23,HAINPUR,NILKANTH TOLA,Shallow tubewell,Ground Water,Hareram Sah,HandPump,NC/PC(0001955818)
24,HAINPUR,NORTH TOLA,Shallow tubewell,Ground Water,Pranv Kumar,HandPump,NC/PC(0001955822)
25,HAINPUR,SAROBAR JHA KULO JHA TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001955826)
26,HAINPUR,SOUTH TOLA,Shallow tubewell,Ground Water,Saryug Ram,HandPump,NC/PC(0001955828)
27,HAINPUR,SOUTH TOLA,Deep tubewell,Ground Water,Chndesw ar Sah,HandPump,Near Anu Devi(0001329998)
28,HAINPUR,SOUTH TOLA,Deep tubewell,Ground Water,Kamr Sthan Sitala Mandir,HandPump,Near Mahishi Chinpur Road(0001330002)
29,HAINPUR,SOUTH TOLA,Deep tubewell,Ground Water,Budhan Bhagta,HandPump,Near Nirmatl Devi(0001330006)
30,HAINPUR,WEST TOLA,Shallow tubewell,Ground Water,Near Nilkanth Mandir,HandPump,HP-IRP(0003463702)
31,HAINPUR,WEST TOLA,Deep tubewell,Ground Water,High School,HandPump,KAHARA HT SCHEME(0002689658)
32,HAINPUR,WEST TOLA,Shallow tubewell,Ground Water,Near Of Bajrang Bali Sthan,HandPump,NC/PC(0001957578)
33,HAINPUR,WEST TOLA,Shallow tubewell,Ground Water,Near Of Durga Sthan,HandPump,NC/PC(0001957580)
34,HAINPUR,WEST TOLA,Shallow tubewell,Ground Water,School,HandPump,NC/PC(0001986047)
