Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,SIRADE PATTI,BHARRAHI,Shallow tubewell,Ground Water,BHARRAHI,HandPump,NC/PC(0001956060)
2,SIRADE PATTI,BHARRAHI EAST TOLA,Shallow tubewell,Ground Water,EAST TOLA,HandPump,NC/PC(0001956065)
3,SIRADE PATTI,CHAMAR TOLA,Deep tubewell,Ground Water,Bich Tola,HandPump,HP IRP(0006524259)
4,SIRADE PATTI,CHAMAR TOLA,Shallow tubewell,Ground Water,Chamar Tola,HandPump,HP-IRP(0004117619)
5,SIRADE PATTI,CHAMAR TOLA,Shallow tubewell,Ground Water,Chamat\R Tola,HandPump,NC/PC(0002399833)
6,SIRADE PATTI,GARALI,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006524260)
7,SIRADE PATTI,GARALI,Shallow tubewell,Ground Water,Garali,HandPump,HP-IRP(0004117627)
8,SIRADE PATTI,HARIJAN TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006524263)
9,SIRADE PATTI,HARIJAN TOLA,Shallow tubewell,Ground Water,Bich Tola,HandPump,HP-IRP(0004117638)
10,SIRADE PATTI,HARIJAN TOLA,Shallow tubewell,Ground Water,Raja,HandPump,NC/PC(0002399835)
11,SIRADE PATTI,RAJAK TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006524269)
12,SIRADE PATTI,RAJAK TOLA,Shallow tubewell,Ground Water,Bich Tola,HandPump,HP-IRP(0004117646)
13,SIRADE PATTI,RAJAK TOLA,Shallow tubewell,Ground Water,Near Shankar Rajak,HandPump,NC/PC(0001957665)
14,SIRADE PATTI,SIRADE HAT,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006524272)
15,SIRADE PATTI,SIRADE HAT,Deep tubewell,Ground Water,SP 1,PWS,Mini PWS Kahara(0007137911)
16,SIRADE PATTI,SIRADE HAT,Shallow tubewell,Ground Water,Near Rubi Devi,HandPump,NC/PC(0001957651)
17,SIRADE PATTI,SIRADE HAT,Deep tubewell,Ground Water,Sirade Hat,HandPump,Near Bhara Thakur(0001332057)
18,SIRADE PATTI,SIRADE PATTI,Deep tubewell,Ground Water,SP 1,PWS,Mini PWS Kahara(0007137911)
19,SIRADE PATTI,SIRADE PATTI,Shallow tubewell,Ground Water,Near Road,HandPump,NC/PC(0001986075)
20,SIRADE PATTI,SIRADE POKHAR TOLA,Shallow tubewell,Ground Water,POKHAR TOLA,HandPump,NC/PC(0001956066)
21,SIRADE PATTI,SIRADE SOUTH,Shallow tubewell,Ground Water,LOKHA RAM,HandPump,HP-IRP(0003756828)
22,SIRADE PATTI,SIRADE SOUTH,Deep tubewell,Ground Water,SIRADE SOUTH,HandPump,KAHARA HT SCHEME(0002689658)
23,SIRADE PATTI,SIRADE SOUTH,Shallow tubewell,Ground Water,RADE SOUTH,HandPump,NC/PC(0001956070)
24,SIRADE PATTI,SIRADE SOUTH,Shallow tubewell,Ground Water,Near Subodh Jha,HandPump,NC/PC(0001957659)
25,SIRADE PATTI,SIRADE SOUTH,Shallow tubewell,Ground Water,Near Sarsw ati Mela Sthan,HandPump,NC/PC(0001957663)
26,SIRADE PATTI,TANTI TOLA,Shallow tubewell,Ground Water,TANTI TOLA,HandPump,HP-IRP(0003754338)
27,SIRADE PATTI,TANTI TOLA,Shallow tubewell,Ground Water,TANTI TOLA,HandPump,HP-IRP(0003754535)
28,SIRADE PATTI,TANTI TOLA,Shallow tubewell,Ground Water,TANTI TOLA,HandPump,NC/PC(0001956073)
