Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,SAUR,HARIJAN TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006531253)
2,SAUR,HARIJAN TOLA,Shallow tubewell,Ground Water,Near,HandPump,NC/PC(0002403156)
3,SAUR,HARIJAN TOLA,Deep tubewell,Ground Water,Near,HandPump,Saur Bazar QA Scheme(0004115861)
4,SAUR,HARIJAN TOLA,Deep tubewell,Ground Water,Near Block Hospital,PWS,Sour Bazaar Pipe Water Supply Scheme(0001957527)
5,SAUR,MUSHAHARI,Deep tubewell,Ground Water,IN VILLEGE,PWS,Mini PWS(0006534199)
6,SAUR,MUSHAHARI,Shallow tubewell,Ground Water,Near,HandPump,NC/PC(0002403157)
7,SAUR,MUSHAHARI,Deep tubewell,Ground Water,Near,HandPump,Saur Bazar QA Scheme(0004115861)
8,SAUR,PULGHAT,Shallow tubewell,Ground Water,Guran Ram,HandPump,HP-IRP(0003771488)
9,SAUR,PULGHAT,Shallow tubewell,Ground Water,School,HandPump,HP-IRP(0005622137)
10,SAUR,PULGHAT,Shallow tubewell,Ground Water,PULGHAT,HandPump,NC/PC 2012- 13(0004725734)
11,SAUR,PULGHAT,Shallow tubewell,Ground Water,Rupa Devi,HandPump,NC/PC(0001957498)
12,SAUR,PULGHAT,Deep tubewell,Ground Water,Mandir,HandPump,Saur Bazar QA Scheme(0004115861)
