Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,DHAPARI,DHAPARI,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0003807549)
2,DHAPARI,DHAPARI,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0003807554)
3,DHAPARI,DHAPARI,Deep tubewell,Ground Water,DHAPARI TOLA,HandPump,MAHISI HT SCHEME(0002689734)
4,DHAPARI,DHAPARI,Shallow tubewell,Ground Water,DHAPARI,HandPump,NC/PC 2012- 13(0004685821)
5,DHAPARI,DHAPARI,Shallow tubewell,Ground Water,DHAPARI,HandPump,NC/PC 2012- 13(0004721526)
6,DHAPARI,DHAPARI,Shallow tubewell,Ground Water,NEAR ROAD DHAPARI,HandPump,NC/PC(0001988721)
7,DHAPARI,DHAPARI,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002386882)
8,DHAPARI,DHAPARI,Shallow tubewell,Ground Water,NEAR MANDIR,HandPump,NC/PC(0002386883)
9,DHAPARI,DHAPARI GOTH,Shallow tubewell,Ground Water,PARE GOTH,HandPump,HP-IRP(0004121027)
10,DHAPARI,DHAPARI GOTH,Shallow tubewell,Ground Water,DHAPARI GOTH,HandPump,HP-IRP(0005572810)
11,DHAPARI,NEWDHAPARI,Shallow tubewell,Ground Water,NEWDHAPARI,HandPump,HP-IRP(0004121036)
12,DHAPARI,PIPER PAUTI,Shallow tubewell,Ground Water,PIPER PAUTI,HandPump,HP-IRP(0004121048)
13,DUMRI,DUMARI,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0003807571)
14,DUMRI,DUMARI,Deep tubewell,Ground Water,DUMARI,HandPump,MAHISI HT SCHEME(0002689734)
15,DUMRI,DUMARI,Shallow tubewell,Ground Water,NEAR ROAD DUMARI,HandPump,NC/PC(0001954324)
16,DUMRI,DUMARI,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002386889)
17,DUMRI,DUMARI GOTH,Shallow tubewell,Ground Water,DUMARI GOTH,HandPump,HP-IRP(0004122805)
18,DUMRI,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR HARIZAN TOLA,HandPump,HP-IRP(0003474288)
19,DUMRI,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0004122814)
20,DUMRI,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC(0002399913)
21,GHOGHPUR,AURAHI VARNA,Shallow tubewell,Ground Water,NEAR ROAD AURAHI VARNA,HandPump,HP-IRP(0004122836)
22,GHOGHPUR,AURAHI VARNA,Deep tubewell,Ground Water,AURAHI VARNA,HandPump,Rambilas Mushar(0001175874)
23,GHOGHPUR,BELBHAR,Shallow tubewell,Ground Water,BELBHAR,HandPump,HP-IRP(0004122852)
24,GHOGHPUR,BELBHAR,Deep tubewell,Ground Water,Primary School Belhar,HandPump,Mahishi School Scheme(0002727800)
25,GHOGHPUR,CHOURA,Shallow tubewell,Ground Water,CHOURA,HandPump,HP-IRP(0004122884)
26,GHOGHPUR,GHOGHE PUR,Shallow tubewell,Ground Water,NEAR MUKESH SAH BANDH KE NICHE,HandPump,HP-IRP(0003474302)
27,GHOGHPUR,GHOGHE PUR,Shallow tubewell,Ground Water,Prathmik Vidyalaya,HandPump,HP-IRP(0005829555)
28,GHOGHPUR,GHOGHE PUR,Shallow tubewell,Ground Water,Thakur Tola,HandPump,HP-IRP(0005829559)
29,GHOGHPUR,GHOGHE PUR,Deep tubewell,Ground Water,CHAMAR TOLA,HandPump,MAHISI HT SCHEME(0002689734)
30,GHOGHPUR,GHOGHE PUR,Deep tubewell,Ground Water,In Shankarthuw a,PWS,Mini Pipe Water Supply Scheme (Solar) (0007078961)
31,GHOGHPUR,GHOGHE PUR,Shallow tubewell,Ground Water,GHOGHEPUR,HandPump,NC/PC 2012- 13(0004685839)
32,GHOGHPUR,GHOGHE PUR,Shallow tubewell,Ground Water,GHOGHE PUR,HandPump,NC/PC(0001988724)
33,GHOGHPUR,GHOGHE PUR,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002386988)
34,GHOGHPUR,GHOGHE PUR,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002386991)
35,GHOGHPUR,GHOGHE PUR,Shallow tubewell,Ground Water,NEAR MANDIR,HandPump,NC/PC(0002386995)
36,GHOGHPUR,GHOGHE PUR,Shallow tubewell,Ground Water,GHOGHE PUR,HandPump,NC/PC(0002386996)
37,GHOGHPUR,GHOGHE PUR,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC(0002386997)
38,GHOGHPUR,GHOGHE PUR,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002386999)
39,GHOGHPUR,GHOGHE PUR,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002387000)
40,GHOGHPUR,GHOGHE PUR,Shallow tubewell,Ground Water,GHOGHEPUR,HandPump,NC/PC(0002387008)
41,GHOGHPUR,HARIJAN KATTA VARNA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0004122895)
42,GHOGHPUR,HARIJAN KATTA VARNA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0005572868)
43,GHOGHPUR,HARIJAN KATTA VARNA,Shallow tubewell,Ground Water,HARIJAN KATTA VARNA,HandPump,NC/PC(0002399916)
44,GHOGHPUR,JHAKHRA,Shallow tubewell,Ground Water,JHAKHRA,HandPump,HP-IRP(0004123082)
45,GHOGHPUR,JHAKHRA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0005621800)
46,GHOGHPUR,LANKA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0004123091)
47,GHOGHPUR,LANKA,Shallow tubewell,Ground Water,LANKA,HandPump,HP-IRP(0005621800)
48,GHOGHPUR,LANKA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0005621828)
49,GHOGHPUR,LAXMI PUR,Shallow tubewell,Ground Water,LAXMI PUR,HandPump,HP-IRP(0004123121)
50,GHOGHPUR,LAXMI PUR,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0005621840)
51,GHOGHPUR,MUBARAK PUR,Shallow tubewell,Ground Water,Bhaw an Center Code -43,HandPump,Aganw adi(0005787504)
52,GHOGHPUR,MUBARAK PUR,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0004123134)
53,GHOGHPUR,MUBARAK PUR,Deep tubewell,Ground Water,T/W 1,HandPump,Mahishi QA Scheme(0007086760)
54,GHOGHPUR,MUBARAK PUR,Deep tubewell,Ground Water,MUBARAK PUR,HandPump,Near Of Md. Abdul Alam(0001175886)
55,GHOGHPUR,NAULAKHA VARNA,Shallow tubewell,Ground Water,NAULAKHA VARNA,HandPump,HP-IRP(0004123145)
56,GHOGHPUR,NAULAKHA VARNA,Deep tubewell,Ground Water,T/W 1,HandPump,Mahishi QA Scheme(0007086760)
57,GHOGHPUR,SAHORBA,Shallow tubewell,Ground Water,SAHORBA,HandPump,HP-IRP(0004123229)
58,GHOGHPUR,SAHORBA,Deep tubewell,Ground Water,T/W 1,HandPump,Mahishi QA Scheme(0007086760)
59,GHOGHPUR,UDRAHI,Shallow tubewell,Ground Water,UDRAHI,HandPump,HP-IRP(0004123241)
60,GHOGHPUR,UDRAHI,Deep tubewell,Ground Water,T/W 1,HandPump,Mahishi QA Scheme(0007086760)
61,NAWADA,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0003807622)
62,NAWADA,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,HP-IRP(0003807643)
63,NAWADA,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0005613317)
64,NAWADA,HARIJAN TOLA,Deep tubewell,Ground Water,NEAR MANDIR,HandPump,MAHISI HT SCHEME(0002689734)
65,NAWADA,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC 2012- 13(0004685849)
66,NAWADA,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC 2012- 13(0004721530)
67,NAWADA,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0001954325)
68,NAWADA,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC(0002387002)
69,NAWADA,MUSAHARI,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006524418)
70,NAWADA,MUSAHARI,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0004123254)
71,NAWADA,MUSAHARI,Shallow tubewell,Ground Water,MUSAHARI,HandPump,NC/PC(0002399926)
72,NAWADA,NAWADA,Deep tubewell,Ground Water,In Village,PWS,Mini PWS(0006533905)
73,NAWADA,NAWADA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0001988725)
74,NAWADA,NAWADA,Shallow tubewell,Ground Water,NAWADA TOLA,HandPump,NC/PC(0002387003)
75,NAWADA,NAWADA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002387014)
76,NAWADA,NAWADA,Shallow tubewell,Ground Water,NEAR MANDIR,HandPump,NC/PC(0002387015)
77,NAWADA,NAWADA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002387017)
78,NAWADA,NAWADA,Shallow tubewell,Ground Water,NAWADA,HandPump,NC/PC(0002387024)
79,NAWADA,NAWADA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002387027)
80,NAWADA,NAWADA,Shallow tubewell,Ground Water,NAWADA,HandPump,NC/PC(0002387029)
81,NAWADA,NAWADA GOTH,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0003806774)
82,NAWADA,NAWADA GOTH,Shallow tubewell,Ground Water,NAWADA GOTH,HandPump,NC/PC 2012- 13(0004685851)
83,NAWADA,NAWADA GOTH,Shallow tubewell,Ground Water,NEAR MADARSA,HandPump,NC/PC 2012- 13(0004721531)
84,NAWADA,NAWADA GOTH,Shallow tubewell,Ground Water,NAWADA GOTH,HandPump,NC/PC(0001954326)
85,NAWADA,NAWADA GOTH,Shallow tubewell,Ground Water,NEAR MANDIR,HandPump,NC/PC(0002387030)
86,NAWADA,NEW NAWADA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,MAHISI HT SCHEME(0002689734)
87,NAWADA,NEW NAWADA,Shallow tubewell,Ground Water,NEW NAWADA,HandPump,NC/PC(0001954327)
88,NAWADA,NEW NAWADA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002387034)
89,NAWADA,PACHPARIA TOLA,Shallow tubewell,Ground Water,PACHPARIA TOLA,HandPump,HP-IRP(0003807656)
90,NAWADA,PACHPARIA TOLA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,MAHISI HT SCHEME(0002689734)
91,NAWADA,PACHPARIA TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0001954328)
92,NAWADA,PACHPARIA TOLA,Shallow tubewell,Ground Water,PACHPARIA TOLA,HandPump,NC/PC(0002387038)
93,SONKURTHUA,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR HARIJAN CHABUTRA,HandPump,HP-IRP(0003480003)
94,SONKURTHUA,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,HP-IRP(0004123274)
95,SONKURTHUA,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002399923)
96,SONKURTHUA,KAMAL PUR,Shallow tubewell,Ground Water,KAMAL PUR,HandPump,HP-IRP(0004123296)
97,SONKURTHUA,SHANKAR GOTH,Shallow tubewell,Ground Water,SHANKAR GOTH,HandPump,HP-IRP(0004123304)
98,SONKURTHUA,SHANKAR THUA,Shallow tubewell,Ground Water,SONKURTHUA,HandPump,HP-IRP(0004123351)
99,SONKURTHUA,SHANKAR THUA,Deep tubewell,Ground Water,Primary School Sankar Thua,HandPump,Mahishi School Scheme(0002727800)
100,SONKURTHUA,SHANKAR THUA,Deep tubewell,Ground Water,School Campus,PWS,Mini PWS Mahishi(0007137889)
101,SONKURTHUA,SHANKAR THUA,Shallow tubewell,Ground Water,SHANKAR THUA,HandPump,NC/PC(0002400009)
