Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,GAURI,BAGEWA H TOLI,Shallow tubewell,Ground Water,NEAR BAGEWA H TOLI,HandPump,HP-IRP(0005621782)
2,GAURI,BAGEWA H TOLI,Shallow tubewell,Ground Water,NEAR BAGEWA H TOLI,HandPump,NC/PC(0004539095)
3,GAURI,BAGTEWA,Shallow tubewell,Ground Water,NEAR BAGTEWA,HandPump,HP-IRP(0005554483)
4,GAURI,BAGTEWA,Shallow tubewell,Ground Water,NEAR BAGTEWA,HandPump,NC/PC(0004539097)
5,GAURI,GTORI DIH,Shallow tubewell,Ground Water,NEAR GTORI DIH,HandPump,HP-IRP(0005554475)
6,GAURI,GTORI DIH,Shallow tubewell,Ground Water,NEAR GTORI DIH,HandPump,NC/PC(0004539100)
7,GAURI,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,HP-IRP(0005554458)
8,GAURI,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC(0002400998)
9,GAURI,MIYAN JAGIR,Shallow tubewell,Ground Water,MIYAN JAGIR,HandPump,HP-IRP(0003781009)
10,GAURI,MIYAN JAGIR,Shallow tubewell,Ground Water,MIYAN JAGIR,HandPump,NC/PC 2012- 13(0004671881)
11,GAURI,MIYAN JAGIR,Shallow tubewell,Ground Water,MIYAN JAGIR,HandPump,NC/PC(0001955743)
12,GAURI,PIPRA,Shallow tubewell,Ground Water,Aganw ari Center Code 49,HandPump,Aganw adi(0005796325)
13,GAURI,PIPRA,Shallow tubewell,Ground Water,PIPRA,HandPump,HP-IRP(0003780976)
14,GAURI,PIPRA,Shallow tubewell,Ground Water,PIPRA,HandPump,NC/PC 2012- 13(0004671886)
15,GAURI,PIPRA,Shallow tubewell,Ground Water,PIPRA,HandPump,NC/PC(0001955746)
16,KAMRA,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR HARIJAN TOLA,HandPump,NC/PC(0004539101)
17,KAMRA,HARIJAN TOLA,Deep tubewell,Ground Water,T/W 7,HandPump,Salkhua QA Scheme(0007116681)
18,KAMRA,HARIJAN TOLA,Deep tubewell,Ground Water,T/W 8,HandPump,Salkhua QA Scheme(0007116681)
19,KAMRA,HARIJAN TOLA,Deep tubewell,Ground Water,T/W 1,HandPump,Salkhua QA Scheme(0007116681)
20,KAMRA,KAMRA DIH,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002398989)
21,KAMRA,KAMRA DIH,Deep tubewell,Ground Water,T/W 1,HandPump,Salkhua QA Scheme(0007116681)
22,KAMRA,PARMANPUR,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002401000)
23,KAMRA,PARMANPUR,Deep tubewell,Ground Water,T/W 9,HandPump,Salkhua QA Scheme(0007116681)
24,KAMRA,PARMANPUR,Deep tubewell,Ground Water,T/W 1,HandPump,Salkhua QA Scheme(0007116681)
25,KAMRA,TENGTRAHA,Shallow tubewell,Ground Water,NEAR TENGTRAHA,HandPump,NC/PC(0004539102)
26,KAMRA,TENGTRAHA,Deep tubewell,Ground Water,T/W 1,HandPump,Salkhua QA Scheme(0007116681)
27,UTESRA,BAHUARWA,Shallow tubewell,Ground Water,BAHUARWA,HandPump,NC/PC 2012- 13(0004728161)
28,UTESRA,BAHUARWA,Shallow tubewell,Ground Water,BAHUARWA,HandPump,NC/PC(0004115148)
29,UTESRA,DHOBI TOLA,Shallow tubewell,Ground Water,DHOBI TOLA,HandPump,NC/PC 2012- 13(0004728168)
30,UTESRA,DHOBI TOLA,Shallow tubewell,Ground Water,DHOBI TOLA,HandPump,NC/PC(0004115148)
31,UTESRA,DOM TOLA,Shallow tubewell,Ground Water,DOM TOLA,HandPump,NC/PC 2012- 13(0004728170)
32,UTESRA,DOM TOLA,Shallow tubewell,Ground Water,DOM TOLA,HandPump,NC/PC(0002401002)
33,UTESRA,DOM TOLA,Shallow tubewell,Ground Water,DOM TOLA,HandPump,NC/PC(0004115148)
34,UTESRA,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,HP-IRP(0003783780)
35,UTESRA,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,HP-IRP(0003783797)
36,UTESRA,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC(0001955750)
37,UTESRA,HARIJAN TOLA,Deep tubewell,Ground Water,HARIJAN TOLA,HandPump,Near Chandirika Devi(0001129945)
38,UTESRA,MUSAHARI,Shallow tubewell,Ground Water,MUSAHARI,HandPump,NC/PC 2012- 13(0004728178)
39,UTESRA,MUSAHARI,Shallow tubewell,Ground Water,MUSAHARI,HandPump,NC/PC(0002401003)
40,UTESRA,MUSAHARI,Shallow tubewell,Ground Water,MUSAHARI,HandPump,NC/PC(0004115148)
41,UTESRA,MUSAHARI,Deep tubewell,Ground Water,Pramary School Gori Musahari,HandPump,Salkhua School Scheme(0002727864)
42,UTESRA,MUSAHARI,Shallow tubewell,Ground Water,Pramary School Gori Musahari,HandPump,School(0001970274)
43,UTESRA,PASWAN TOLA,Shallow tubewell,Ground Water,PASWAN TOLA,HandPump,NC/PC 2012- 13(0004728191)
44,UTESRA,PASWAN TOLA,Shallow tubewell,Ground Water,PASWAN TOLA,HandPump,NC/PC(0004115148)
45,UTESRA,UTESARA,Shallow tubewell,Ground Water,NEAR CHANDRIKA DEVI CHAPAKAL,HandPump,HP-IRP(0004197302)
46,UTESRA,UTESARA,Shallow tubewell,Ground Water,Pramary School,HandPump,NC/PC(0002398992)
47,UTESRA,UTESARA,Deep tubewell,Ground Water,Pramary School Tengaraha,HandPump,Salkhua School Scheme(0002727864)
48,UTESRA,UTESARA,Shallow tubewell,Ground Water,Pramary School Tengaraha,HandPump,School(0001970267)
