Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BHAUARA,BHAURA,Deep tubewell,Ground Water,NPS BHAUARA NORTH,Well,Mini PWS(0006542328)
2,BHAUARA,BHAURA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001987136)
3,BHAUARA,HARIZAN TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006532153)
4,BHAUARA,HARIZAN TOLA,Deep tubewell,Ground Water,,HandPump,Near Raja Ram Rajak(0001130412)
5,BHAUARA,RAMHAR PAR,Shallow tubewell,Ground Water,NEAR PAPU RAJAK/ BRAHAMDEO,HandPump,HP-IRP(0003471029)
6,BHAUARA,RAMHAR PAR,Shallow tubewell,Ground Water,NEAR RAJENDRA SHARMA,HandPump,HP-IRP(0003471096)
7,BHAUARA,RAMHAR PAR,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771353)
8,BHAUARA,RAMHAR PAR,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771356)
9,BHAUARA,RAMHAR PAR,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771367)
10,BHAUARA,RAMHAR PAR,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771372)
11,BHAUARA,RAMHAR PAR,Shallow tubewell,Ground Water,RAMHAR PAR,HandPump,NC/PC 2012- 13(0004672657)
12,BHAUARA,RAMHAR PAR,Shallow tubewell,Ground Water,Bhumi Das,HandPump,NC/PC(0001954397)
13,BHAUARA,RAMHAR PAR,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001987252)
14,KHAMAUTI,ALMA,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771175)
15,KHAMAUTI,ALMA,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771176)
16,KHAMAUTI,ALMA,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771187)
17,KHAMAUTI,ALMA,Shallow tubewell,Ground Water,ALMA,HandPump,NC/PC 2012- 13(0004672660)
18,KHAMAUTI,H. TOLA,Shallow tubewell,Ground Water,Aganw adi Center Code- 47 IN School,HandPump,Aaganw adi(0005849784)
19,KHAMAUTI,H. TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771003)
20,KHAMAUTI,H. TOLA,Shallow tubewell,Ground Water,H. TOLA,HandPump,NC/PC 2012- 13(0004672668)
21,KHAMAUTI,H. TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001956358)
22,KHAMAUTI,KHAMAUTI,Shallow tubewell,Ground Water,NEAR GULAY YADAV,HandPump,HP-IRP(0003471059)
23,KHAMAUTI,KHAMAUTI,Shallow tubewell,Ground Water,NEAR SHIV NANDAN PD. YADAV,HandPump,HP-IRP(0003471233)
24,KHAMAUTI,KHAMAUTI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001987256)
25,KHAMAUTI,KHAMAUTI,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001987257)
26,KUSMI,BARIYARPUR,Shallow tubewell,Ground Water,Aganw adi Center Code- 54 Panchyat Bhaw an`,HandPump,Aaganw adi(0005849814)
27,KUSMI,BARIYARPUR,Shallow tubewell,Ground Water,"NEAR BINDESHWARI YADAV, S/O.- DHAIR YADAV",HandPump,HP-IRP(0003471155)
28,KUSMI,BARIYARPUR,Shallow tubewell,Ground Water,NEAR JITENDRA PRASAD YADAV,HandPump,HP-IRP(0003471196)
29,KUSMI,BARIYARPUR,Shallow tubewell,Ground Water,Vijay Yadav,HandPump,NC/PC(0001954394)
30,KUSMI,BARIYARPUR,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001956493)
31,KUSMI,KUSHMI,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003767331)
32,KUSMI,KUSHMI,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001956497)
33,KUSMI,NAYA TOLA,Shallow tubewell,Ground Water,NEAR NAYA TOLA,HandPump,NC/PC(0004553004)
34,MADHUBAN,HARIZAN TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006532171)
35,MADHUBAN,HARIZAN TOLA,Shallow tubewell,Ground Water,Manoj Ram,HandPump,NC/PC(0001954392)
36,MADHUBAN,JAGIR TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006532185)
37,MADHUBAN,JAGIR TOLA,Shallow tubewell,Ground Water,NEAR JAGIR TOLA,HandPump,NC/PC(0004553008)
38,MADHUBAN,MADHUBAN,Shallow tubewell,Ground Water,Aganw adis Center Madhuban Code- 52,HandPump,Aganw adis(0004977494)
39,MADHUBAN,MADHUBAN,Shallow tubewell,Ground Water,Aganw adis Center Madhuban Code- 52,HandPump,Angaw adis(0004946413)
40,MADHUBAN,MADHUBAN,Shallow tubewell,Ground Water,NEAR GULAB SHARMA,HandPump,HP-IRP(0003471267)
41,MADHUBAN,MADHUBAN,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001987258)
