Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,MAHKHAR,BAGROULI,Shallow tubewell,Ground Water,NEAR DAMODAR DASS,HandPump,HP-IRP(0003473066)
2,MAHKHAR,BAGROULI,Shallow tubewell,Ground Water,Jolo Das,HandPump,HP-IRP(0005829578)
3,MAHKHAR,BAGROULI,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001987259)
4,MAHKHAR,BICH TOLA,Shallow tubewell,Ground Water,NEAR BICH TOLA,HandPump,NC/PC(0004553015)
5,MAHKHAR,CHAKLA HANUMAN NAGAR,Shallow tubewell,Ground Water,NEAR AFSANA KHTOON MD. AHIYA,HandPump,HP-IRP(0003473043)
6,MAHKHAR,CHAKLA HANUMAN NAGAR,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771006)
7,MAHKHAR,CHAKLA HANUMAN NAGAR,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001956503)
8,MAHKHAR,CHAMAR TOLA,Shallow tubewell,Ground Water,NEAR CHAMAR TOLA,HandPump,NC/PC(0004553045)
9,MAHKHAR,CHAUKIDAR TOLA,Shallow tubewell,Ground Water,NEAR CHAUKIDAR TOLA,HandPump,NC/PC(0004553048)
10,MAHKHAR,GOSAI TOLA,Deep tubewell,Ground Water,In Gosai Tola,PWS,Mini Pipe Water Supply Scheme (Solar) (0007078961)
11,MAHKHAR,GOSAI TOLA,Deep tubewell,Ground Water,Sw asth Kendra,PWS,Mini PWS Simri Bakhtiarpur(0007137900)
12,MAHKHAR,GOSAI TOLA,Shallow tubewell,Ground Water,NEAR GOSAI TOLA,HandPump,NC/PC(0004553055)
13,MAHKHAR,H. TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771011)
14,MAHKHAR,H. TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771013)
15,MAHKHAR,H. TOLA,Shallow tubewell,Ground Water,H. TOLA,HandPump,NC/PC 2012- 13(0004726564)
16,MAHKHAR,HUSSAIN CHAK,Shallow tubewell,Ground Water,NEAR SRI JAGDISH DAS,HandPump,HP-IRP(0003471735)
17,MAHKHAR,HUSSAIN CHAK,Shallow tubewell,Ground Water,NEAR SRI JAGDISH DAS,HandPump,HP-IRP(0003471771)
18,AHKHAR,HUSSAIN CHAK,Shallow tubewell,Ground Water,NEAR MD. SAMAD ALI,HandPump,HP-IRP(0003472117)
19,AHKHAR,HUSSAIN CHAK,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001987261)
20,AHKHAR,HUSSAIN CHAK,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001987269)
21,AHKHAR,KARIYANI,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771194)
22,AHKHAR,KARIYANI,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771199)
23,AHKHAR,KARIYANI,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771201)
24,AHKHAR,KARIYANI,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001987295)
25,AHKHAR,MAHKHAR,Shallow tubewell,Ground Water,Aganw adi Center Code- 185 Aganw adi Bhaw an,HandPump,Aaganw adi(0005849987)
26,AHKHAR,MAHKHAR,Shallow tubewell,Ground Water,Aganw adi Center Code- 186 Aganw adi Bhaw an,HandPump,Aaganw adi(0005850123)
27,AHKHAR,MAHKHAR,Shallow tubewell,Ground Water,Yugeshw ar Pasw an,HandPump,HP-IRP(0005829573)
28,AHKHAR,MAHKHAR,Shallow tubewell,Ground Water,A Prathmik School,HandPump,HP-IRP(0005829583)
29,AHKHAR,MAHKHAR,Shallow tubewell,Ground Water,Sw asthya Upkendra,HandPump,HP-IRP(0005829590)
30,AHKHAR,MAHKHAR,Shallow tubewell,Ground Water,NEAR MAHKHAR,HandPump,NC/PC(0004553059)
31,AHKHAR,MASTER TOLA,Shallow tubewell,Ground Water,NEAR MASTER TOLA,HandPump,NC/PC(0004553064)
32,AHKHAR,MIYA TOLA,Shallow tubewell,Ground Water,NEAR MIYA TOLA,HandPump,NC/PC(0004553071)
33,AHKHAR,MUKHIA TOLA,Shallow tubewell,Ground Water,NEAR MUKHIA TOLA,HandPump,NC/PC(0004553077)
34,AHKHAR,MUSAHARI,Shallow tubewell,Ground Water,NEAR MUSAHARI,HandPump,NC/PC(0004553082)
35,AHKHAR,PASI TOLA,Shallow tubewell,Ground Water,NEAR PASI TOLA,HandPump,NC/PC(0004553086)
36,AHKHAR,SARPANCH TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003767363)
37,AHKHAR,SARPANCH TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001956507)
38,AHKHAR,YADAW TOLA,Shallow tubewell,Ground Water,NEAR YADAW TOLA,HandPump,NC/PC(0004553100)
