Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,ASHRAF CHAK,ASRAFCHAK,Deep tubewell,Ground Water,IN VILLEGE,PWS,Mini PWS(0006533999)
2,ASHRAF CHAK,ASRAFCHAK,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001987395)
3,ASHRAF CHAK,BHORAHA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006532323)
4,ASHRAF CHAK,BHORAHA,Shallow tubewell,Ground Water,NEAR BHORAHA,HandPump,NC/PC(0004553208)
5,BALHAMPUR,BADIA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001987399)
6,BALHAMPUR,BALAHAMPUR,Shallow tubewell,Ground Water,Aganw adi Center Code- 184 Balhampur,HandPump,Aaganw adi(0005849678)
7,BALHAMPUR,BALAHAMPUR,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771205)
8,BALHAMPUR,BALAHAMPUR,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771207)
9,BALHAMPUR,BALAHAMPUR,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771208)
10,BALHAMPUR,BALAHAMPUR,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771209)
11,BALHAMPUR,BALAHAMPUR,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001987406)
12,BALHAMPUR,HARIZAN TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006532338)
13,BALHAMPUR,HARIZAN TOLA,Shallow tubewell,Ground Water,NEAR HARIZAN TOLA,HandPump,NC/PC(0004553215)
14,BALHAMPUR,LALPUR,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006532343)
15,BALHAMPUR,LALPUR,Deep tubewell,Ground Water,,HandPump,Near Sandeep Yadav(0001329888)
16,BALHAMPUR,MOULAPUR,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006532352)
