Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAGHOUR BARAITHA,BAGHOUR BARAITHA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0003806851)
2,BAGHOUR BARAITHA,BAGHOUR BARAITHA,Deep tubewell,Ground Water,Primary School Baghour,HandPump,Mahishi School Scheme(0002727800)
3,BAGHOUR BARAITHA,BAGHOUR BARAITHA,Shallow tubewell,Ground Water,BAGHOUR BARAITHA,HandPump,NC/PC 2012- 13(0004721619)
4,BAGHOUR BARAITHA,BAGHOUR BARAITHA,Shallow tubewell,Ground Water,BAGHOUR BARAITHA,HandPump,NC/PC(0001955367)
5,BAGHOUR BARAITHA,BAGHOUR BARAITHA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002387720)
6,BAGHOUR BARAITHA,BAGHOUR BARAITHA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002387729)
7,BAGHOUR BARAITHA,BAGHOUR BARAITHA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002387731)
8,BAGHOUR BARAITHA,BAGHOUR BARAITHA,Shallow tubewell,Ground Water,Primary School Baghour,HandPump,School(0001965987)
9,BAGHOUR BARAITHA,BARAITHA,Shallow tubewell,Ground Water,Near Road,HandPump,NC/PC(0001955372)
10,BAGHOUR BARAITHA,BARAITHA,Shallow tubewell,Ground Water,Near Chabutra,HandPump,NC/PC(0002387751)
11,BAGHOUR BARAITHA,HARIJAN TOLA,Shallow tubewell,Ground Water,BAGHOUR BARAITHA,HandPump,HP-IRP(0003806862)
12,BAGHOUR BARAITHA,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0005622002)
13,BAGHOUR BARAITHA,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR HARIJAN TOLA,HandPump,NC/PC 2012- 13(0004722404)
14,BAGHOUR BARAITHA,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC(0001955374)
15,BAGHOUR BARAITHA,WEST KOSHI BANDH,Shallow tubewell,Ground Water,Pich0,HandPump,NC/PC(0001955377)
16,BAGHOUR BARAITHA,WEST KOSHI BANDH,Shallow tubewell,Ground Water,Brinch,HandPump,NC/PC(0002387862)
17,MAINA ARAZI,MAINA ARAJI,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006524661)
18,MAINA ARAZI,MAINA ARAJI,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0005614263)
19,MAINA ARAZI,MAINA ARAJI,Shallow tubewell,Ground Water,NEAR MAINA ARAJI,HandPump,NC/PC(0004524403)
20,AINA RAZI,MAINAARAJI GOTH,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006524671)
21,AINA RAZI,MAINAARAJI GOTH,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0005614345)
22,AINA RAZI,MAINAARAJI GOTH,Shallow tubewell,Ground Water,NEAR MAINAARAJI GOTH,HandPump,NC/PC(0004598909)
23,AHARWA,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0001955385)
24,AHARWA,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC(0002387860)
25,AHARWA,NAHAR BAR,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0005614345)
26,AHARWA,NAHAR BAR,Deep tubewell,Ground Water,Primary School Nharw ar,HandPump,Mahishi School Scheme(0002727800)
27,AHARWA,NAHAR BAR,Deep tubewell,Ground Water,In Village,PWS,Mini PWS(0006534212)
28,AHARWA,NAHAR BAR,Shallow tubewell,Ground Water,Primary School Nharw ar,HandPump,School(0001966016)
29,AHARWA,NORTH NAHAR PAR,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0001988969)
30,AHARWA,NORTH NAHAR PAR,Shallow tubewell,Ground Water,NORTH NAHAR PAR,HandPump,NC/PC(0002387865)
31,AHARWA,NORTH NAHAR PAR,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002387867)
32,AHARWA,NORTH NAHAR PAR,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0002387868)
