Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BANGANWAN,BANGAWAN,Shallow tubewell,Ground Water,BANGAWAN,HandPump,HP-IRP(0003783660)
2,BANGANWAN,BANGAWAN,Shallow tubewell,Ground Water,BANGAWAN,HandPump,NC/PC 2012- 13(0004671269)
3,BANGANWAN,BANGAWAN,Shallow tubewell,Ground Water,BANGAWAN,HandPump,NC/PC 2012- 13(0004724401)
4,BANGANWAN,BANGAWAN,Shallow tubewell,Ground Water,BANGAWAN,HandPump,NC/PC(0001955738)
5,BANGANWAN,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR HARIJAN TOLA,HandPump,HP-IRP(0005615161)
6,BANGANWAN,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR HARIJAN TOLA,HandPump,NC/PC(0004539093)
7,KOTWALIA,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,HP-IRP(0005615173)
8,KOTWALIA,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC(0002400997)
9,KOTWALIA,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC(0004115148)
10,KOTWALIA,HARIJAN TOLA 1,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006533509)
11,KOTWALIA,HARIJAN TOLA 1,Shallow tubewell,Ground Water,,HandPump,NC/PC(0004115148)
12,KOTWALIA,HARIPUR,Shallow tubewell,Ground Water,HARIPUR,HandPump,HP-IRP(0005615204)
13,KOTWALIA,HARIPUR,Shallow tubewell,Ground Water,HARIPUR,HandPump,NC/PC(0004115148)
14,KOTWALIA,KOTWALIA,Shallow tubewell,Ground Water,Siya Ram Singh,HandPump,HP-IRP(0005831094)
15,KOTWALIA,KOTWALIA,Deep tubewell,Ground Water,IN VILLEGE,PWS,Mini PWS(0006534335)
16,KOTWALIA,KOTWALIA,Shallow tubewell,Ground Water,KOTWALIA,HandPump,NC/PC 2012- 13(0004671863)
17,KOTWALIA,KOTWALIA,Shallow tubewell,Ground Water,KOTWALIA,HandPump,NC/PC 2012- 13(0004724407)
18,KOTWALIA,KOTWALIA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002398982)
19,KOTWALIA,KOTWALIA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0004115148)
20,OTWALIA,MAHADEO MATH,Shallow tubewell,Ground Water,TOLA,HandPump,1NC/PC 2012- 3(0004728157)
21,OTWALIA,MAHADEO MATH,shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC(0004115148)
22,ITUAHI,CHAKLA,shallow tubewell,Ground Water,,HandPump,HP-IRP(0005621772)
23,ITUAHI,CHAKLA,shallow tubewell,Ground Water,,HandPump,NC/PC(0002398984)
24,ITUAHI,MORKAHI,shallow tubewell,Ground Water,,HandPump,HP-IRP(0003783700)
25,ITUAHI,MORKAHI,shallow tubewell,Ground Water,,HandPump,NC/PC(0001955739)
26,ITUAHI,RAM TOLA,shallow tubewell,Ground Water,,HandPump,HP-IRP(0003783730)
27,ITUAHI,RAM TOLA,shallow tubewell,Ground Water,,HandPump,HP-IRP(0003783756)
28,ITUAHI,RAM TOLA,shallow tubewell,Ground Water,RAM TOLA,HandPump,NC/PC 2012- 13(0004671869)
29,ITUAHI,RAM TOLA,shallow tubewell,Ground Water,,HandPump,NC/PC(0001955742)
30,ITUAHI,SITUAHA,shallow tubewell,Ground Water,Middle School Situaha,HandPump,HP-IRP(0003780925)
31,ITUAHI,SITUAHA,shallow tubewell,Ground Water,Middle School Situaha,HandPump,HP-IRP(0003780952)
32,ITUAHI,SITUAHA,shallow tubewell,Ground Water,NEAR SHYAM SUNDER YADAV CHAPAKAL,HandPump,HP-IRP(0004197338)
33,ITUAHI,SITUAHA,shallow tubewell,Ground Water,NEAR KUMKUM YADAV CHAPAKAL,HandPump,HP-IRP(0004197342)
34,ITUAHI,SITUAHA,shallow tubewell,Ground Water,NEAR MUSHO MISTRI CHAPAKAL,HandPump,HP-IRP(0004197349)
35,ITUAHI,SITUAHA,shallow tubewell,Ground Water,NEAR SURENDRA PANJI YADAV CHAPAKAL,HandPump,HP-IRP(0004197355)
36,ITUAHI,SITUAHA,shallow tubewell,Ground Water,SITUAHA,HandPump,NC/PC 2012- 13(0004671875)
37,ITUAHI,SITUAHA,shallow tubewell,Ground Water,Middle School Situaha,HandPump,NC/PC(0002398987)
38,ITUAHI,SITUAHA,Deep tubewell,Ground Water,Primary School Hri Pur Situaha,HandPump,Salkhua School Scheme(0002727864)
39,ITUAHI,SITUAHA,Deep tubewell,Ground Water,Middle School Situaha,HandPump,Salkhua School Scheme(0002727864)
40,ITUAHI,SITUAHA,shallow tubewell,Ground Water,Primary School Hri Pur Situaha,HandPump,School(0001970080)
41,ITUAHI,SITUAHA,shallow tubewell,Ground Water,Middle School Situaha,HandPump,School(0001970344)
