Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BHATAUNI,BARWA,Shallow tubewell,Ground Water,NEAR HANUMAR MANDIR,HandPump,HP-IRP(0003473261)
2,BHATAUNI,BARWA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001956127)
3,BHATAUNI,BHAGWANPUR,Shallow tubewell,Ground Water,NEAR RUBE DEVI S/O BIGO SADA,HandPump,HP-IRP(0003473336)
4,BHATAUNI,BHAGWANPUR,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001956132)
5,BHATAUNI,BHATTAUNI,Shallow tubewell,Ground Water,NEAR RAMPARWESH SADA,HandPump,HP-IRP(0003473352)
6,BHATAUNI,BHATTAUNI,Shallow tubewell,Ground Water,Prathmik Vidyalaya,HandPump,HP-IRP(0005829596)
7,BHATAUNI,BHATTAUNI,Shallow tubewell,Ground Water,Vindeshw ari Mahto,HandPump,HP-IRP(0005829600)
8,BHATAUNI,BHATTAUNI,Shallow tubewell,Ground Water,Paltan Sada,HandPump,HP-IRP(0005829603)
9,BHATAUNI,BHATTAUNI,Deep tubewell,Ground Water,SP 2,PWS,Mini PWS Simri Bakhtiarpur(0007137900)
10,BHATAUNI,BHATTAUNI,Deep tubewell,Ground Water,SP 1,PWS,Mini PWS Simri Bakhtiarpur(0007137900)
11,BHATAUNI,BHATTAUNI,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001986895)
12,BHATAUNI,BHATTAUNI,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001986902)
13,BHATAUNI,CHABI TOLA,Shallow tubewell,Ground Water,In Tola,HandPump,HP-IRP(0004115444)
14,BHATAUNI,CHABI TOLA,Deep tubewell,Ground Water,Chabhi Tola,HandPump,Near Of Mulo Sada(0001329700)
15,BHATAUNI,HARIZAN TOLA,Shallow tubewell,Ground Water,NEAR SIKENDAR,HandPump,HP-IRP(0003473284)
16,BHATAUNI,HARIZAN TOLA,Shallow tubewell,Ground Water,Mohan Pasw an,HandPump,NC/PC(0001954404)
17,BHATAUNI,HARIZAN TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001956136)
18,BHATAUNI,PASWAN TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0004115444)
19,BHATAUNI,PASWAN TOLA,Shallow tubewell,Ground Water,PASWAN TOLA,HandPump,NC/PC 2012- 13(0004731313)
20,HATAUNI,PASWAN TOLA,Deep tubewell,Ground Water,Road Side,HandPump,Near Of Maohar Pasw an(0001329704)
21,HATAUNI,TENGARAHA,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771155)
22,HATAUNI,TENGARAHA,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771156)
23,HATAUNI,TENGARAHA,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003771157)
24,HATAUNI,TENGARAHA,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0004115444)
25,HATAUNI,TENGARAHA,Shallow tubewell,Ground Water,TENGRAHA,HandPump,NC/PC 2012- 13(0004672628)
26,HATAUNI,TENGARAHA,Shallow tubewell,Ground Water,TENGARAHA,HandPump,NC/PC 2012- 13(0004726477)
27,HATAUNI,TULSIYANI,Shallow tubewell,Ground Water,Aganw adi Center Code- 2 Nirmandhin Bhaw an,HandPump,Aaganw adi(0005849757)
28,HATAUNI,TULSIYANI,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0004115444)
29,AMIDPUR,BHATPURA,Shallow tubewell,Ground Water,NEAR SRI RAM YADAV,HandPump,HP-IRP(0003473387)
30,AMIDPUR,BHATPURA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001986910)
31,AMIDPUR,H. TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0004115444)
32,AMIDPUR,H. TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0005622804)
33,AMIDPUR,H. TOLA,Shallow tubewell,Ground Water,H. TOLA,HandPump,NC/PC 2012- 13(0004731324)
34,AMIDPUR,HAMIDPUR,Shallow tubewell,Ground Water,NEAR MD. TAMIN UDDIN,HandPump,HP-IRP(0003473368)
35,AMIDPUR,HAMIDPUR,Shallow tubewell,Ground Water,Bholu Sah,HandPump,NC/PC(0001954407)
36,AMIDPUR,HAMIDPUR,Deep tubewell,Ground Water,Road Side,HandPump,Near Of Rabiya Devi(0001329730)
37,AINPUR,H. TOLA,Shallow tubewell,Ground Water,NEAR BILASH SADA,HandPump,HP-IRP(0003473317)
38,AINPUR,H. TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003764624)
39,AINPUR,H. TOLA,Shallow tubewell,Ground Water,Sani Sada,HandPump,NC/PC(0001954401)
40,AINPUR,H. TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001956140)
41,AINPUR,NAINPUR,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0003765584)
42,AINPUR,NAINPUR,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0004115444)
43,AINPUR,NAINPUR,Shallow tubewell,Ground Water,Road Side,HandPump,HP-IRP(0005622828)
44,AINPUR,NAINPUR,Shallow tubewell,Ground Water,NAINPUR,HandPump,NC/PC 2012- 13(0004731329)
