Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,DHANUPRA,BARKA TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001956230)
2,DHANUPRA,BHAMRI TOLA,Shallow tubewell,Ground Water,NEAR KOSHI SHTAN,HandPump,HP- IRP(0003470674)
3,DHANUPRA,BHAMRI TOLA,Shallow tubewell,Ground Water,NEAR RAJENDRA MAHTO,HandPump,HP- IRP(0003470889)
4,DHANUPRA,BHAMRI TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001987094)
5,DHANUPRA,CHAMAINI,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001956237)
6,DHANUPRA,CHATRA TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,HP- IRP(0005622925)
7,DHANUPRA,CHATRA TOLA,Shallow tubewell,Ground Water,CHATRA TOLA,HandPump,NC/PC 2012- 13(0004731482)
8,DHANUPRA,CHATRA TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0004115509)
9,DHANUPRA,DHANUPRA,Shallow tubewell,Ground Water,Road Side,HandPump,HP- IRP(0003766361)
10,DHANUPRA,DHANUPRA,Shallow tubewell,Ground Water,DHANUPRA,HandPump,NC/PC 2012- 13(0004672632)
11,DHANUPRA,DHANUPRA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001987096)
12,DHANUPRA,DHANUPRA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001987102)
13,DHANUPRA,DHANUPRA,Deep tubewell,Ground Water,Road Side,HandPump,Near Of Sohan Das(0001329711)
14,DHANUPRA,DHANUPRA,Deep tubewell,Ground Water,Road Side,HandPump,Near Of Vijay Singh(0001329738)
15,DHANUPRA,H TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0004115509)
16,DHANUPRA,H. TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,HP- IRP(0003768279)
17,DHANUPRA,H. TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,HP- IRP(0003768288)
18,DHANUPRA,H. TOLA,Shallow tubewell,Ground Water,H TOLA,HandPump,NC/PC 2012- 13(0004726506)
19,DHANUPRA,H. TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001956242)
20,DHANUPRA,H. TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001987098)
21,DHANUPRA,KAWAIYA,Shallow tubewell,Ground Water,Road Side,HandPump,HP- IRP(0005623090)
22,DHANUPRA,KAWAIYA,Shallow tubewell,Ground Water,KAWAIYA,HandPump,NC/PC 2012- 13(0004731495)
23,DHANUPRA,KAWAIYA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0004115509)
24,DHANUPRA,PANCH KHUTTI,Shallow tubewell,Ground Water,PANCH KHUTTI,HandPump,NC/PC 2012- 13(0004731502)
25,DHANUPRA,PANCH KHUTTI,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0004115509)
26,DHANUPRA,PASWAN TOLA,Shallow tubewell,Ground Water,,HandPump,HP- IRP(0003771334)
27,DHANUPRA,PASWAN TOLA,Shallow tubewell,Ground Water,,HandPump,HP- IRP(0003771336)
28,DHANUPRA,PASWAN TOLA,Shallow tubewell,Ground Water,,HandPump,HP- IRP(0003771338)
29,DHANUPRA,PASWAN TOLA,Shallow tubewell,Ground Water,,HandPump,HP- IRP(0003771347)
30,DHANUPRA,PASWAN TOLA,Shallow tubewell,Ground Water,,HandPump,HP- IRP(0005623104)
31,DHANUPRA,PASWAN TOLA,Deep tubewell,Ground Water,IN VILLEGE,PWS,Mini PWS(0006534109)
32,DHANUPRA,PASWAN TOLA,Shallow tubewell,Ground Water,PASWAN TOLA,HandPump,NC/PC 2012- 13(0004726506)
33,DHANUPRA,PASWAN TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0004115509)
34,DHANUPRA,RAM NAGAR,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001987106)
35,DHANUPRA,RAM TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,HP- IRP(0005623128)
36,DHANUPRA,RAM TOLA,Shallow tubewell,Ground Water,RAM TOLA,HandPump,NC/PC 2012- 13(0004731510)
37,DHANUPRA,RAM TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0004115509)
38,DHANUPRA,RAM TOLA,Deep tubewell,Ground Water,Road Side,HandPump,Near Of Ramdular Ram(0001329720)
39,DHANUPRA,SHIMA TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,HP- IRP(0005623294)
40,DHANUPRA,SHIMA TOLA,Shallow tubewell,Ground Water,SHIMA TOLA,HandPump,NC/PC 2012- 13(0004731518)
41,DHANUPRA,SHIMA TOLA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0004115509)
42,DHANUPRA,SONBARSA,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC(0001956250)
