Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,GHORDAUR,BARAH POLEHARIA,Shallow tubewell,Ground Water,Near,HandPump,HP-IRP(0005546767)
2,GHORDAUR,BARAH POLEHARIA,Deep tubewell,Ground Water,Near Beech Tola,HandPump,Kari Yadav(0001129367)
3,GHORDAUR,BARAH POLEHARIA,Shallow tubewell,Ground Water,Near Rameshw ar Singh,HandPump,NC/PC(0001947861)
4,GHORDAUR,BARAH POLEHARIA,Shallow tubewell,Ground Water,Near Subhas Yadav,HandPump,NC/PC(0001947865)
5,GHORDAUR,BARAH POLEHARIA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001947879)
6,GHORDAUR,BARAH POLEHARIA,Shallow tubewell,Ground Water,Near,HandPump,NC/PC(0001955620)
7,GHORDAUR,BHAGWANPUR,Shallow tubewell,Ground Water,Aganw adi Bahaw an Center Code-17,HandPump,Aganw adi(0005792879)
8,GHORDAUR,BHAGWANPUR,Shallow tubewell,Ground Water,Near River,HandPump,HP-IRP(0005546776)
9,GHORDAUR,BHAGWANPUR,Deep tubewell,Ground Water,Near Masjid,HandPump,Md.Kamal(0001129351)
10,GHORDAUR,DENIA TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006524107)
11,GHORDAUR,DENIA TOLA,Deep tubewell,Ground Water,In Tola,PWS,HP-IRP(0006523074)
12,GHORDAUR,DENIA TOLA,Shallow tubewell,Ground Water,Near Denia Tola,HandPump,NC/PC(0004521628)
13,GHORDAUR,DOM TOLA,Deep tubewell,Ground Water,Near Dalit Tola,HandPump,Chalitar Mukhiya(0001129377)
14,GHORDAUR,DOM TOLA,Deep tubewell,Ground Water,Near Dalit Tola,HandPump,Chalitar Mukhiya(0001129385)
15,GHORDAUR,DOM TOLA,Shallow tubewell,Ground Water,Near Chauraha,HandPump,NC/PC(0002399174)
16,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Bhagw anpur Middle,HandPump,Aganw adis(0004977416)
17,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Bhagw anpur Middle,HandPump,Angaw adis(0004946299)
18,GHORDAUR,GHORDOUR,Deep tubewell,Ground Water,"Primary School,Ghordour",HandPump,Banma Itarhi School Scheme(0002727757)
19,GHORDAUR,GHORDOUR,Deep tubewell,Ground Water,"Primary School,Ghordour",HandPump,Banma Itarhi School Scheme(0002727757)
20,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Near Dular Chandra Das,HandPump,HP-IRP(0003454588)
21,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,NEAR DULARCHANDRA DAS,HandPump,HP-IRP(0003473920)
22,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Hari Lal Yadav,HandPump,HP-IRP(0005831112)
23,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Sukdev Das,HandPump,HP-IRP(0005831113)
24,GHORDAUR,GHORDOUR,Deep tubewell,Ground Water,"Primary School,Ghordour",HandPump,Kahara School Scheme(0004152952)
25,GHORDAUR,GHORDOUR,Deep tubewell,Ground Water,In Village,PWS,Mini PWS(0006523112)
26,GHORDAUR,GHORDOUR,Deep tubewell,Ground Water,In Village,PWS,Mini PWS(0006533915)
27,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Near Mandir,HandPump,NC/PC(0001985877)
28,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Near Village Road,HandPump,NC/PC(0002385379)
29,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Near Chauraha,HandPump,NC/PC(0002385381)
30,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Near Masjid,HandPump,NC/PC(0002385382)
31,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Near Basbari,HandPump,NC/PC(0002385383)
32,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Near Yadav Tola,HandPump,NC/PC(0002385385)
33,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Near Yadav Tola,HandPump,NC/PC(0002385390)
34,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Near,HandPump,NC/PC(0002385390)
35,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Near Village,HandPump,NC/PC(0002385391)
36,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Near Samudaik Bhaw an,HandPump,NC/PC(0002385393)
37,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Near Chabutra,HandPump,NC/PC(0002385499)
38,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Near Panchayat,HandPump,NC/PC(0002385500)
39,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Near Mandir,HandPump,NC/PC(0002385503)
40,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Near,HandPump,NC/PC(0002385503)
41,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,Near Village Road,HandPump,NC/PC(0002385505)
42,GHORDAUR,GHORDOUR,Treated Surface Water,Surface Water,Near Village Road,HandPump,NC/PC(0003378027)
43,GHORDAUR,GHORDOUR,Shallow tubewell,Ground Water,"Primary School,Ghordour",Well,School(0002718630)
