Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,KASIMPUR,KASIM PUR,Shallow tubewell,Ground Water,Kasimpur Tolba,HandPump,Aganw adis(0004977484)
2,KASIMPUR,KASIM PUR,Shallow tubewell,Ground Water,Kasimpur Tolba,HandPump,Angaw adis(0004946365)
3,KASIMPUR,KASIM PUR,Deep tubewell,Ground Water,T/W 1,HandPump,Banma Itarhi QA Scheme(0007078994)
4,KASIMPUR,KASIM PUR,Deep tubewell,Ground Water,NPS Kasimpur North,Others,Mini PWS(0006542910)
5,KASIMPUR,KASIM PUR,Shallow tubewell,Ground Water,Kasimpur Tola,HandPump,NC/PC(0001985911)
6,KASIMPUR,KASIM PUR,Shallow tubewell,Ground Water,Kasimpur Tola,HandPump,NC/PC(0002386571)
7,KASIMPUR,KASIM PUR,Shallow tubewell,Ground Water,Kasimpur Tola,HandPump,NC/PC(0002386574)
8,KASIMPUR,KASIM PUR,Shallow tubewell,Ground Water,Kasimpur Tola,HandPump,NC/PC(0002386577)
9,KASIMPUR,KASIM PUR,Shallow tubewell,Ground Water,Kasimpur Tola,HandPump,NC/PC(0002386580)
10,KASIMPUR,KASIM PUR,Shallow tubewell,Ground Water,Kasimpur Tola,HandPump,NC/PC(0002386582)
11,KASIMPUR,KASIM PUR,Shallow tubewell,Ground Water,Kasimpur Tola,HandPump,NC/PC(0002386589)
12,KASIMPUR,KASIM PUR,Shallow tubewell,Ground Water,Kasimpur Tola,HandPump,NC/PC(0002386590)
13,KASIMPUR,KASIM PUR,Shallow tubewell,Ground Water,Kasimpur Tola,HandPump,NC/PC(0002386596)
14,KASIMPUR,KASIM PUR,Deep tubewell,Ground Water,Kasimpur Tola,HandPump,Sahan Choudhry(0001129326)
15,KASIMPUR,PASI TOLA,Deep tubewell,Ground Water,,HandPump,ARWSP(0001129297)
16,KASIMPUR,PASI TOLA,Shallow tubewell,Ground Water,PASI TOLA,HandPump,NC/PC 2012- 13(0004727333)
17,KASIMPUR,PASI TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002399231)
18,KASIMPUR,PASI TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0004114023)
19,KASIMPUR,TALAWA,Shallow tubewell,Ground Water,Chauk,HandPump,HP-IRP(0005554129)
20,KASIMPUR,TALAWA,Shallow tubewell,Ground Water,Talw a,HandPump,NC/PC(0001985913)
21,KASIMPUR,TALAWA,Shallow tubewell,Ground Water,Talw a,HandPump,NC/PC(0002386598)
22,KASIMPUR,TALAWA,Shallow tubewell,Ground Water,Talw a Bazar,HandPump,NC/PC(0002386600)
23,KUSMHI,BARAHI TOLA,Shallow tubewell,Ground Water,Near Samudaik,HandPump,HP-IRP(0005554137)
24,KUSMHI,BARAHI TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0005642124)
25,KUSMHI,BARAHI TOLA,Shallow tubewell,Ground Water,Near Road,HandPump,NC/PC(0001955652)
26,KUSMHI,BARAHI TOLA,Shallow tubewell,Ground Water,Near Village Road,HandPump,NC/PC(0002386605)
27,KUSMHI,KUSHMI,Deep tubewell,Ground Water,Yadav Tola,HandPump,ARWSP(0001129282)
28,KUSMHI,KUSHMI,Shallow tubewell,Ground Water,Yadav Tola,HandPump,HP-IRP(0003801942)
29,KUSMHI,KUSHMI,Shallow tubewell,Ground Water,Yadav Tola,HandPump,HP-IRP(0003802020)
30,KUSMHI,KUSHMI,Shallow tubewell,Ground Water,Yadav Tola,HandPump,HP-IRP(0005567810)
31,KUSMHI,KUSHMI,Shallow tubewell,Ground Water,KUSHMI,HandPump,NC/PC 2012- 13(0004670640)
32,KUSMHI,KUSHMI,Shallow tubewell,Ground Water,Yadav Tola,HandPump,NC/PC(0001985915)
33,KUSMHI,KUSHMI,Shallow tubewell,Ground Water,Yadav Tola,HandPump,NC/PC(0002386602)
34,KUSMHI,KUSHMI,Shallow tubewell,Ground Water,Yadav Tola,HandPump,NC/PC(0002386608)
35,KUSMHI,KUSHMI,Shallow tubewell,Ground Water,Yadav Tola,HandPump,NC/PC(0002386610)
36,KUSMHI,KUSHMI,Shallow tubewell,Ground Water,Yadav Tola,HandPump,NC/PC(0002386614)
37,KUSMHI,KUSHMI,Shallow tubewell,Ground Water,Yadav Tola,HandPump,NC/PC(0002386624)
38,KUSMHI,YADAB TOLA,Shallow tubewell,Ground Water,YADAB TOLA,HandPump,NC/PC 2012- 13(0004721465)
39,KUSMHI,YADAB TOLA,Shallow tubewell,Ground Water,YADAB TOLA,HandPump,NC/PC(0001955654)
40,KUSMHI,YADAB TOLA,Shallow tubewell,Ground Water,YADAB TOLA,HandPump,NC/PC(0002386630)
41,KUSMHI,YADAB TOLA,Shallow tubewell,Ground Water,YADAB TOLA,HandPump,NC/PC(0004114023)
42,SARBELA,CHAKLA,Deep tubewell,Ground Water,T/W 2,HandPump,Banma Itarhi QA Scheme(0007078994)
43,SARBELA,CHAKLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001985917)
44,SARBELA,CHAKLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002386633)
45,SARBELA,CHAKLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002386636)
46,SARBELA,CHAKLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002386637)
47,SARBELA,CHAKLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002386639)
48,SARBELA,DHOBI TOLA,Shallow tubewell,Ground Water,DHOBI TOLA,HandPump,NC/PC 2012- 13(0004727341)
49,SARBELA,DHOBI TOLA,Shallow tubewell,Ground Water,DHOBI TOLA,HandPump,NC/PC(0002399240)
50,SARBELA,DHOBI TOLA,Shallow tubewell,Ground Water,DHOBI TOLA,HandPump,NC/PC(0004114040)
51,SARBELA,DOM TOLA,Shallow tubewell,Ground Water,DOM TOLA,HandPump,NC/PC 2012- 13(0004727345)
52,SARBELA,DOM TOLA,Shallow tubewell,Ground Water,DOM TOLA,HandPump,NC/PC(0002399245)
53,SARBELA,DOM TOLA,Shallow tubewell,Ground Water,DOM TOLA,HandPump,NC/PC(0004114040)
54,SARBELA,HARIJAN TOLA,Deep tubewell,Ground Water,T/W 3,HandPump,Banma Itarhi QA Scheme(0007078994)
55,SARBELA,HARIJAN TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001955655)
56,SARBELA,HARIJAN TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002386642)
57,SARBELA,NATLIN TOLA,Deep tubewell,Ground Water,T/W 4,HandPump,Banma Itarhi QA Scheme(0007078994)
58,SARBELA,NATLIN TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001955656)
59,SARBELA,NATLIN TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002386645)
60,SARBELA,PASWAN TOLA,Shallow tubewell,Ground Water,Near,HandPump,NC/PC(0002399251)
61,SARBELA,PASWAN TOLA1,Shallow tubewell,Ground Water,Near Road Side,HandPump,NC/PC 2012- 13(0004727351)
62,SARBELA,PASWAN TOLA1,Shallow tubewell,Ground Water,Near Road Side,HandPump,NC/PC(0004114040)
63,SARBELA,ROON TOLA,Shallow tubewell,Ground Water,Near Village,HandPump,NC/PC 2012- 13(0004727356)
64,SARBELA,ROON TOLA,Shallow tubewell,Ground Water,Near,HandPump,NC/PC(0004114040)
65,SARBELA,SARBELA,Shallow tubewell,Ground Water,Aganw adi Bahaw an Center Code- 29,HandPump,Aganw adi(0005793022)
66,SARBELA,SARBELA,Deep tubewell,Ground Water,T/W 5,HandPump,Banma Itarhi QA Scheme(0007078994)
67,SARBELA,SARBELA,Shallow tubewell,Ground Water,NEAR CHEDAN SARMA,HandPump,HP-IRP(0003474123)
68,SARBELA,SARBELA,Shallow tubewell,Ground Water,NEAR AKSHA ALAM,HandPump,HP-IRP(0003474123)
69,SARBELA,SARBELA,Shallow tubewell,Ground Water,Jarif Uddin,HandPump,HP-IRP(0005831109)
70,SARBELA,SARBELA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001985919)
71,SARBELA,SARBELA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002386646)
72,SARBELA,SARBELA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002386650)
73,SARBELA,SARBELA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002386652)
74,SARBELA,SARBELA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002386655)
75,SARBELA,SARBELA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002386659)
76,SARBELA,SARBELA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002386661)
77,SARBELA,SARBELA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002386663)
78,SARBELA,TELI HALT,Treated Surface Water,Surface Water,,HandPump,ARWSP(0001129229)
