Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,SOHA,DHOBI TOLA,Shallow tubewell,Ground Water,NEAR CHAUK,HandPump,HP-IRP(0003765807)
2,SOHA,DHOBI TOLA,Shallow tubewell,Ground Water,NEAR SAMUDAIK BHAWAN,HandPump,HP-IRP(0005630510)
3,SOHA,DHOBI TOLA,Deep tubewell,Ground Water,,PWS,Mini PWS(0005658042)
4,SOHA,DHOBI TOLA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Near Gopal Rajak(0001130556)
5,SOHA,DHOBI TOLA,Deep tubewell,Ground Water,NEAR CHABUTRA,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
6,SOHA,DHOBI TOLA 1,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0003765863)
7,SOHA,DHOBI TOLA 1,Deep tubewell,Ground Water,NEAR VILLAGE ROAD,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
8,SOHA,DOM TOLA,Shallow tubewell,Ground Water,NEAR RIVER,HandPump,HP-IRP(0003765888)
9,SOHA,DOM TOLA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Near Sanjay Dom(0001130567)
10,SOHA,DOM TOLA,Deep tubewell,Ground Water,NEAR MANDIR,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
11,SOHA,HARIJAN TOLA,Shallow tubewell,Ground Water,NEAR VILLAGE ROAD,HandPump,NC/PC(0001957093)
12,SOHA,HARIJAN TOLA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Near Hartap Sada(0001130538)
13,SOHA,HARKHAR TOLA,Shallow tubewell,Ground Water,NEAR HARKHAR TOLA,HandPump,NC/PC(0001957095)
14,SOHA,KUMAHAR TOLA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
15,SOHA,LADARI,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,HP-IRP(0003460835)
16,SOHA,LADARI,Shallow tubewell,Ground Water,NEAR CHAUK,HandPump,NC/PC(0001957103)
17,SOHA,LADARI,Shallow tubewell,Ground Water,NEAR SAMUDAIK BHAWAN,HandPump,NC/PC(0001957103)
18,SOHA,PASWAN TOLA,Deep tubewell,Ground Water,NEAR CHAUK,HandPump,Near Milan Pasw an(0001130574)
19,SOHA,PASWAN TOLA,Deep tubewell,Ground Water,NEAR BAZAR,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
20,SOHA,RAJAWARA,Shallow tubewell,Ground Water,NEAR ROAD,HandPump,NC/PC(0001957104)
21,SOHA,RAJAWARA HARIJAN TOLA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
22,SOHA,RAM TOLA,Deep tubewell,Ground Water,NEAR ROAD,HandPump,Sonbarsa QA Hab. Scheme(0004112798)
23,SOHA,SONA,Shallow tubewell,Ground Water,Aganw adi Center Code-9,HandPump,Aaganw adi(0005850982)
24,SOHA,SONA,Shallow tubewell,Ground Water,Aganw adi Center Code-9,HandPump,Aganw adi(0006078026)
25,SOHA,SONA,Shallow tubewell,Ground Water,"NEAR AMRENDRA SINGH, S/O.- RAMBHADUR SINGH",HandPump,HP-IRP(0003641143)
26,SOHA,SONA,Shallow tubewell,Ground Water,"NEAR SANJAY SINGH, S/O JAWAHAR SINGH",HandPump,HP-IRP(0003641154)
27,SOHA,SONA,Shallow tubewell,Ground Water,"NEAR SHALAINDRA SINGH, S/O GOURI SHANKAR SINGH",HandPump,HP-IRP(0003641176)
28,SOHA,SONA,Shallow tubewell,Ground Water,NEAR CHABUTRA,HandPump,HP-IRP(0003758677)
29,SOHA,SONA,Shallow tubewell,Ground Water,NEAR SAMUDAIK BHAWAN,HandPump,HP-IRP(0003758695)
30,SOHA,SONA,Shallow tubewell,Ground Water,Fulay Sada,HandPump,HP-IRP(0005850091)
31,SOHA,SONA,Shallow tubewell,Ground Water,NEAR CHAUK,HandPump,NC/PC(0001986341)
