Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,MURLI,BARWA,Shallow tubewell,Ground Water,Aganw adi Bahaw an Center Code- 45,HandPump,Aganw adi(0005793069)
2,MURLI,BARWA,Shallow tubewell,Ground Water,NEAR SUBHASH YADAV,HandPump,HP-IRP(0003474049)
3,MURLI,BARWA,Shallow tubewell,Ground Water,Near Babulaal,HandPump,HP-IRP(0005554093)
4,MURLI,BARWA,Deep tubewell,Ground Water,In Barw a,PWS,Mini Pipe Water Supply Scheme (Solar)150(0007079049)
5,MURLI,BARWA,Deep tubewell,Ground Water,SP 1,PWS,Mini PWS(0007137919)
6,MURLI,BARWA,Shallow tubewell,Ground Water,Near Barw a Bazar,HandPump,NC/PC(0001985901)
7,MURLI,BARWA,Shallow tubewell,Ground Water,Near Road,HandPump,NC/PC(0002386500)
8,MURLI,BARWA,Shallow tubewell,Ground Water,Near Community Hall,HandPump,NC/PC(0002386501)
9,MURLI,BARWA,Shallow tubewell,Ground Water,Near Samudaik,HandPump,NC/PC(0002386502)
10,MURLI,BARWA,Shallow tubewell,Ground Water,Near Community,HandPump,NC/PC(0002386505)
11,MURLI,BARWA,Shallow tubewell,Ground Water,Near Village Road,HandPump,NC/PC(0002386506)
12,MURLI,HARIJAN TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006524119)
13,MURLI,HARIJAN TOLA,Deep tubewell,Ground Water,In Tola,PWS,Hp(0006524016)
14,MURLI,HARIJAN TOLA,Shallow tubewell,Ground Water,,HandPump,HP-IRP(0003802274)
15,MURLI,HARIJAN TOLA,Shallow tubewell,Ground Water,,HandPump,HP-IRP(0005554033)
16,MURLI,HARIJAN TOLA,Deep tubewell,Ground Water,In Village,PWS,Mini PWS(0006534089)
17,MURLI,HARIJAN TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001955640)
18,MURLI,HARIJAN TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0001985903)
19,MURLI,HARIJAN TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002386507)
20,MURLI,HARIJAN TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002386508)
21,MURLI,HARIJAN TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002386509)
22,MURLI,HARIJAN TOLA,Deep tubewell,Ground Water,,HandPump,Phuliya Devi(0001129478)
23,MURLI,HARIJAN TOLA1,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006524123)
24,MURLI,HARIJAN TOLA1,Deep tubewell,Ground Water,In Tola,PWS,Hp(0006524022)
25,MURLI,HARIJAN TOLA1,Shallow tubewell,Ground Water,Harijan Tola,HandPump,NC/PC(0002386510)
26,MURLI,MURLI,Deep tubewell,Ground Water,Primary School Sarma Tola Murli,HandPump,Banma Itarhi School Scheme(0002727757)
27,MURLI,MURLI,Deep tubewell,Ground Water,Primary School Sarma Tola Murli,HandPump,Banma Itarhi School Scheme(0002727757)
28,MURLI,MURLI,Deep tubewell,Ground Water,Primary School Sarma Tola Murli,HandPump,Banma Itarhi School Scheme(0002727757)
29,MURLI,MURLI,Deep tubewell,Ground Water,Primary School Sarma Tola Murli,HandPump,Banma Itarhi School Scheme(0002727757)
30,MURLI,MURLI,Shallow tubewell,Ground Water,NEAR INDREDEV CHOUDRY,HandPump,HP-IRP(0003474070)
31,MURLI,MURLI,Deep tubewell,Ground Water,Primary School Sarma Tola Murli,HandPump,Kahara School Scheme(0004152952)
32,MURLI,MURLI,Deep tubewell,Ground Water,SP 1,PWS,Mini PWS(0007137919)
